district_id,district_code,district_name,headquarters,latitude,longitude,population,administrative_zone
1,CHN,Chennai,Chennai,13.0827,80.2707,7100000,NORTH_METRO
2,CBE,Coimbatore,Coimbatore,11.0168,76.9558,3450000,WEST_KONGU
3,MDU,Madurai,Madurai,9.9252,78.1198,3038000,SOUTH_CENTRAL
4,SLM,Salem,Salem,11.6643,78.146,3480000,WEST_CENTRAL
5,TRY,Tiruchirappalli,Tiruchirappalli,10.7905,78.7047,2722000,CENTRAL_DELTA
6,TNI,Tirunelveli,Tirunelveli,8.7139,77.7567,1665000,SOUTH_WEST
7,ERD,Erode,Erode,11.341,77.7172,2250000,WEST_KONGU
8,TPR,Tiruppur,Tiruppur,11.1085,77.3411,2479000,WEST_KONGU
9,VEL,Vellore,Vellore,12.9165,79.1325,1614000,NORTH_GATEWAY
10,KRI,Krishnagiri,Krishnagiri,12.5186,78.2137,1879000,NORTH_BORDER
11,DGL,Dindigul,Dindigul,10.3673,77.9803,2159000,SOUTH_CENTRAL
12,TNJ,Thanjavur,Thanjavur,10.787,79.1378,2405000,CENTRAL_DELTA
13,TUT,Thoothukudi,Thoothukudi,8.7642,78.1348,1750000,SOUTH_COAST
14,KKI,Kanniyakumari,Nagercoil,8.0883,77.5385,1870000,SOUTH_TIP
15,TSI,Tenkasi,Tenkasi,8.9594,77.3152,1407000,SOUTH_WEST
16,KCP,Kancheepuram,Kancheepuram,12.8342,79.7036,1166000,NORTH_METRO
17,CGL,Chengalpattu,Chengalpattu,12.6819,79.9888,2556000,NORTH_COAST
18,TLR,Tiruvallur,Tiruvallur,13.1432,79.9079,3728000,NORTH_BORDER
19,CUD,Cuddalore,Cuddalore,11.748,79.7714,2605000,EAST_COAST
20,VLP,Viluppuram,Viluppuram,11.9401,79.4861,2093000,NORTH_CENTRAL
21,KLK,Kallakurichi,Kallakurichi,11.7383,78.9639,1370000,NORTH_CENTRAL
22,DPI,Dharmapuri,Dharmapuri,12.1211,78.1582,1506000,NORTH_WEST
23,NMK,Namakkal,Namakkal,11.2189,78.1674,1726000,WEST_CENTRAL
24,NIL,Nilgiris,Udhagamandalam,11.4102,76.695,735000,WEST_HILLS
25,KRR,Karur,Karur,10.9601,78.0766,1064000,CENTRAL
26,ARI,Ariyalur,Ariyalur,11.1401,79.0786,754000,CENTRAL_DELTA
27,PBL,Perambalur,Perambalur,11.2342,78.882,565000,CENTRAL
28,PDK,Pudukkottai,Pudukkottai,10.3797,78.8208,1618000,CENTRAL_SOUTH
29,SVG,Sivaganga,Sivaganga,9.8433,78.4809,1339000,SOUTH_CENTRAL
30,RMD,Ramanathapuram,Ramanathapuram,9.3639,78.8395,1353000,SOUTH_COAST
31,VRD,Virudhunagar,Virudhunagar,9.568,77.9624,1942000,SOUTH_WEST
32,THI,Theni,Theni,10.0104,77.4768,1245000,SOUTH_WEST
33,TVR,Thiruvarur,Thiruvarur,10.7725,79.6365,1264000,CENTRAL_DELTA
34,NGP,Nagapattinam,Nagapattinam,10.7672,79.8449,697000,EAST_COAST
35,MYD,Mayiladuthurai,Mayiladuthurai,11.1075,79.6522,918000,EAST_COAST
36,RNP,Ranipet,Ranipet,12.9272,79.333,1210000,NORTH_GATEWAY
37,TPR_N,Tirupathur,Tirupathur,12.4926,78.5678,1111000,NORTH_WEST
38,TVM,Tiruvannamalai,Tiruvannamalai,12.2253,79.0747,2464000,NORTH_CENTRAL
