taluk_id,district_id,district_name,taluk_name,latitude,longitude,population
1,1,Chennai,Chennai North,13.1025,80.3166,302692
2,1,Chennai,Chennai South,13.0886,80.2678,151306
3,1,Chennai,Chennai East,13.0644,80.2460,287567
4,1,Chennai,Chennai West,13.0602,80.2822,342869
5,1,Chennai,Chennai Central,13.0557,80.2857,166881
6,2,Coimbatore,Coimbatore North,11.0680,76.9550,377462
7,2,Coimbatore,Coimbatore South,11.0555,76.9591,364470
8,2,Coimbatore,Coimbatore East,11.0041,76.9956,313595
9,2,Coimbatore,Coimbatore West,11.0007,77.0038,401083
10,2,Coimbatore,Coimbatore Central,11.0300,77.0045,420304
11,3,Madurai,Madurai North,9.9560,78.1624,402362
12,3,Madurai,Madurai South,9.8915,78.0862,462810
13,3,Madurai,Madurai East,9.9184,78.1371,265982
14,3,Madurai,Madurai West,9.8856,78.1766,184970
15,3,Madurai,Madurai Central,9.9364,78.1651,450009
16,4,Salem,Salem North,11.6720,78.2013,275537
17,4,Salem,Salem South,11.6807,78.1736,201917
18,4,Salem,Salem East,11.6494,78.0866,347840
19,4,Salem,Salem West,11.6778,78.1042,392795
20,4,Salem,Salem Central,11.6897,78.1799,232393
21,5,Tiruchirappalli,Tiruchirappalli North,10.8008,78.6869,433799
22,5,Tiruchirappalli,Tiruchirappalli South,10.7880,78.7274,189459
23,5,Tiruchirappalli,Tiruchirappalli East,10.7443,78.7567,331664
24,5,Tiruchirappalli,Tiruchirappalli West,10.8033,78.6852,474335
25,5,Tiruchirappalli,Tiruchirappalli Central,10.7863,78.6590,246394
26,6,Tirunelveli,Tirunelveli North,8.6923,77.7298,251958
27,6,Tirunelveli,Tirunelveli South,8.7573,77.7440,238118
28,6,Tirunelveli,Tirunelveli East,8.7004,77.7802,397844
29,6,Tirunelveli,Tirunelveli West,8.7358,77.7827,313876
30,6,Tirunelveli,Tirunelveli Central,8.7269,77.7081,155626
31,7,Erode,Erode North,11.2939,77.6742,253784
32,7,Erode,Erode South,11.3104,77.6839,381425
33,7,Erode,Erode East,11.3242,77.7040,337316
34,7,Erode,Erode West,11.3280,77.7752,392561
35,7,Erode,Erode Central,11.3309,77.7112,415022
36,8,Tiruppur,Tiruppur North,11.1103,77.3282,250771
37,8,Tiruppur,Tiruppur South,11.1511,77.3947,302507
38,8,Tiruppur,Tiruppur East,11.1181,77.2881,272872
39,8,Tiruppur,Tiruppur West,11.0980,77.3523,408168
40,8,Tiruppur,Tiruppur Central,11.0678,77.2851,237563
41,9,Vellore,Vellore North,12.9596,79.1630,392398
42,9,Vellore,Vellore South,12.9643,79.0920,226402
43,9,Vellore,Vellore East,12.9666,79.1752,453635
44,9,Vellore,Vellore West,12.9111,79.1026,219680
45,9,Vellore,Vellore Central,12.8819,79.1061,466229
46,10,Krishnagiri,Krishnagiri North,12.5610,78.2109,313416
47,10,Krishnagiri,Krishnagiri South,12.5206,78.1895,327076
48,10,Krishnagiri,Krishnagiri East,12.5447,78.2067,231908
49,10,Krishnagiri,Krishnagiri West,12.5762,78.2386,151648
50,10,Krishnagiri,Krishnagiri Central,12.5273,78.1708,192712
51,11,Dindigul,Dindigul North,10.3520,77.9205,213226
52,11,Dindigul,Dindigul South,10.4184,78.0264,280884
53,11,Dindigul,Dindigul East,10.4076,77.9418,156974
54,11,Dindigul,Dindigul West,10.3669,78.0263,452946
55,11,Dindigul,Dindigul Central,10.4182,77.9992,325732
56,12,Thanjavur,Thanjavur North,10.8001,79.1832,297137
57,12,Thanjavur,Thanjavur South,10.7361,79.0937,156444
58,12,Thanjavur,Thanjavur East,10.7911,79.1660,257092
59,12,Thanjavur,Thanjavur West,10.8244,79.1540,231806
60,12,Thanjavur,Thanjavur Central,10.7743,79.1458,325762
61,13,Thoothukudi,Thoothukudi North,8.7149,78.1257,154808
62,13,Thoothukudi,Thoothukudi South,8.7275,78.1457,352498
63,13,Thoothukudi,Thoothukudi East,8.7300,78.1550,376355
64,13,Thoothukudi,Thoothukudi West,8.7813,78.1470,367698
65,13,Thoothukudi,Thoothukudi Central,8.7758,78.0923,398072
66,14,Kanniyakumari,Kanniyakumari North,8.0962,77.5679,186566
67,14,Kanniyakumari,Kanniyakumari South,8.0754,77.5196,423483
68,14,Kanniyakumari,Kanniyakumari East,8.0294,77.5021,396979
69,14,Kanniyakumari,Kanniyakumari West,8.1235,77.5220,450325
70,14,Kanniyakumari,Kanniyakumari Central,8.0841,77.5167,456160
71,15,Tenkasi,Tenkasi North,8.9392,77.2581,465482
72,15,Tenkasi,Tenkasi South,8.9050,77.2563,425757
73,15,Tenkasi,Tenkasi East,8.9203,77.2944,193892
74,15,Tenkasi,Tenkasi West,8.9989,77.2785,281643
75,15,Tenkasi,Tenkasi Central,9.0177,77.2789,188326
76,16,Kancheepuram,Kancheepuram North,12.8915,79.7266,287674
77,16,Kancheepuram,Kancheepuram South,12.8437,79.6568,435249
78,16,Kancheepuram,Kancheepuram East,12.8458,79.6514,333029
79,16,Kancheepuram,Kancheepuram West,12.8052,79.7342,203294
80,16,Kancheepuram,Kancheepuram Central,12.8360,79.7015,479028
81,17,Chengalpattu,Chengalpattu North,12.6892,79.9949,478155
82,17,Chengalpattu,Chengalpattu South,12.6671,80.0469,428995
83,17,Chengalpattu,Chengalpattu East,12.7390,79.9772,326796
84,17,Chengalpattu,Chengalpattu West,12.6776,80.0410,366812
85,17,Chengalpattu,Chengalpattu Central,12.6506,80.0207,192926
86,18,Tiruvallur,Tiruvallur North,13.1574,79.9378,457347
87,18,Tiruvallur,Tiruvallur South,13.1903,79.9451,244055
88,18,Tiruvallur,Tiruvallur East,13.1387,79.8682,394867
89,18,Tiruvallur,Tiruvallur West,13.0882,79.8883,238949
