locality_id,taluk_id,district_id,district_name,locality_name,locality_type,latitude,longitude
1,1,1,Chennai,Chennai North Market,INDUSTRIAL_PARK,13.0857,80.3236
2,1,1,Chennai,Chennai North Campus Zone,RESIDENTIAL_WARD,13.1183,80.3270
3,1,1,Chennai,Chennai North Industrial Bypass,TRANSIT_JUNCTION,13.0947,80.3322
4,2,1,Chennai,Chennai South Market,RESIDENTIAL_WARD,13.0975,80.2551
5,2,1,Chennai,Chennai South Campus Zone,RESIDENTIAL_WARD,13.0975,80.2499
6,2,1,Chennai,Chennai South Industrial Bypass,COMMERCIAL_RETAIL,13.0728,80.2773
7,3,1,Chennai,Chennai East Market,INDUSTRIAL_PARK,13.0456,80.2449
8,3,1,Chennai,Chennai East Campus Zone,RESIDENTIAL_WARD,13.0528,80.2366
9,3,1,Chennai,Chennai East Industrial Bypass,COMMERCIAL_RETAIL,13.0721,80.2549
10,4,1,Chennai,Chennai West Market,COMMERCIAL_RETAIL,13.0560,80.2913
11,4,1,Chennai,Chennai West Campus Zone,COMMERCIAL_RETAIL,13.0491,80.2980
12,4,1,Chennai,Chennai West Industrial Bypass,INDUSTRIAL_PARK,13.0551,80.2927
13,5,1,Chennai,Chennai Central Market,COMMERCIAL_RETAIL,13.0712,80.2870
14,5,1,Chennai,Chennai Central Campus Zone,COMMERCIAL_RETAIL,13.0475,80.3041
15,5,1,Chennai,Chennai Central Industrial Bypass,TRANSIT_JUNCTION,13.0418,80.2843
16,6,2,Coimbatore,Coimbatore North Market,TRANSIT_JUNCTION,11.0694,76.9580
17,6,2,Coimbatore,Coimbatore North Campus Zone,TRANSIT_JUNCTION,11.0848,76.9708
18,6,2,Coimbatore,Coimbatore North Industrial Bypass,COMMERCIAL_RETAIL,11.0567,76.9461
19,7,2,Coimbatore,Coimbatore South Market,RESIDENTIAL_WARD,11.0497,76.9459
20,7,2,Coimbatore,Coimbatore South Campus Zone,RESIDENTIAL_WARD,11.0724,76.9592
21,7,2,Coimbatore,Coimbatore South Industrial Bypass,RESIDENTIAL_WARD,11.0646,76.9644
22,8,2,Coimbatore,Coimbatore East Market,CAMPUS_SECTOR,10.9971,76.9806
23,8,2,Coimbatore,Coimbatore East Campus Zone,INDUSTRIAL_PARK,10.9934,77.0041
24,8,2,Coimbatore,Coimbatore East Industrial Bypass,INDUSTRIAL_PARK,11.0231,76.9891
25,9,2,Coimbatore,Coimbatore West Market,CAMPUS_SECTOR,10.9993,76.9938
26,9,2,Coimbatore,Coimbatore West Campus Zone,TRANSIT_JUNCTION,11.0119,77.0232
27,9,2,Coimbatore,Coimbatore West Industrial Bypass,RESIDENTIAL_WARD,11.0109,77.0094
28,10,2,Coimbatore,Coimbatore Central Market,TRANSIT_JUNCTION,11.0149,77.0197
29,10,2,Coimbatore,Coimbatore Central Campus Zone,RESIDENTIAL_WARD,11.0223,76.9858
30,10,2,Coimbatore,Coimbatore Central Industrial Bypass,CAMPUS_SECTOR,11.0408,76.9899
31,11,3,Madurai,Madurai North Market,CAMPUS_SECTOR,9.9708,78.1586
32,11,3,Madurai,Madurai North Campus Zone,COMMERCIAL_RETAIL,9.9754,78.1750
33,11,3,Madurai,Madurai North Industrial Bypass,INDUSTRIAL_PARK,9.9570,78.1810
34,12,3,Madurai,Madurai South Market,CAMPUS_SECTOR,9.8798,78.0952
35,12,3,Madurai,Madurai South Campus Zone,COMMERCIAL_RETAIL,9.8780,78.1038
36,12,3,Madurai,Madurai South Industrial Bypass,COMMERCIAL_RETAIL,9.9005,78.0793
37,13,3,Madurai,Madurai East Market,COMMERCIAL_RETAIL,9.9127,78.1417
38,13,3,Madurai,Madurai East Campus Zone,TRANSIT_JUNCTION,9.9205,78.1209
39,13,3,Madurai,Madurai East Industrial Bypass,TRANSIT_JUNCTION,9.9191,78.1260
40,14,3,Madurai,Madurai West Market,COMMERCIAL_RETAIL,9.8837,78.1854
41,14,3,Madurai,Madurai West Campus Zone,COMMERCIAL_RETAIL,9.8857,78.1688
42,14,3,Madurai,Madurai West Industrial Bypass,TRANSIT_JUNCTION,9.8965,78.1790
43,15,3,Madurai,Madurai Central Market,COMMERCIAL_RETAIL,9.9275,78.1495
44,15,3,Madurai,Madurai Central Campus Zone,TRANSIT_JUNCTION,9.9298,78.1724
45,15,3,Madurai,Madurai Central Industrial Bypass,CAMPUS_SECTOR,9.9379,78.1792
46,16,4,Salem,Salem North Market,INDUSTRIAL_PARK,11.6603,78.2038
47,16,4,Salem,Salem North Campus Zone,COMMERCIAL_RETAIL,11.6776,78.2136
48,16,4,Salem,Salem North Industrial Bypass,INDUSTRIAL_PARK,11.6868,78.1943
49,17,4,Salem,Salem South Market,TRANSIT_JUNCTION,11.6849,78.1795
50,17,4,Salem,Salem South Campus Zone,COMMERCIAL_RETAIL,11.6934,78.1913
51,17,4,Salem,Salem South Industrial Bypass,RESIDENTIAL_WARD,11.6675,78.1820
52,18,4,Salem,Salem East Market,INDUSTRIAL_PARK,11.6490,78.0841
53,18,4,Salem,Salem East Campus Zone,INDUSTRIAL_PARK,11.6379,78.0809
54,18,4,Salem,Salem East Industrial Bypass,INDUSTRIAL_PARK,11.6363,78.0997
55,19,4,Salem,Salem West Market,RESIDENTIAL_WARD,11.6944,78.1225
56,19,4,Salem,Salem West Campus Zone,COMMERCIAL_RETAIL,11.6740,78.0845
57,19,4,Salem,Salem West Industrial Bypass,RESIDENTIAL_WARD,11.6619,78.0985
58,20,4,Salem,Salem Central Market,CAMPUS_SECTOR,11.6921,78.1852
59,20,4,Salem,Salem Central Campus Zone,RESIDENTIAL_WARD,11.6725,78.1601
60,20,4,Salem,Salem Central Industrial Bypass,COMMERCIAL_RETAIL,11.6822,78.1856
61,21,5,Tiruchirappalli,Tiruchirappalli North Market,INDUSTRIAL_PARK,10.7831,78.6698
62,21,5,Tiruchirappalli,Tiruchirappalli North Campus Zone,INDUSTRIAL_PARK,10.7824,78.6725
63,21,5,Tiruchirappalli,Tiruchirappalli North Industrial Bypass,CAMPUS_SECTOR,10.7875,78.7067
64,22,5,Tiruchirappalli,Tiruchirappalli South Market,CAMPUS_SECTOR,10.7859,78.7109
65,22,5,Tiruchirappalli,Tiruchirappalli South Campus Zone,INDUSTRIAL_PARK,10.7775,78.7403
66,22,5,Tiruchirappalli,Tiruchirappalli South Industrial Bypass,RESIDENTIAL_WARD,10.7745,78.7308
67,23,5,Tiruchirappalli,Tiruchirappalli East Market,CAMPUS_SECTOR,10.7550,78.7618
68,23,5,Tiruchirappalli,Tiruchirappalli East Campus Zone,TRANSIT_JUNCTION,10.7399,78.7576
69,23,5,Tiruchirappalli,Tiruchirappalli East Industrial Bypass,CAMPUS_SECTOR,10.7465,78.7762
70,24,5,Tiruchirappalli,Tiruchirappalli West Market,CAMPUS_SECTOR,10.7889,78.6978
71,24,5,Tiruchirappalli,Tiruchirappalli West Campus Zone,TRANSIT_JUNCTION,10.7986,78.6724
72,24,5,Tiruchirappalli,Tiruchirappalli West Industrial Bypass,INDUSTRIAL_PARK,10.8190,78.6923
73,25,5,Tiruchirappalli,Tiruchirappalli Central Market,COMMERCIAL_RETAIL,10.7951,78.6565
74,25,5,Tiruchirappalli,Tiruchirappalli Central Campus Zone,INDUSTRIAL_PARK,10.7996,78.6737
75,25,5,Tiruchirappalli,Tiruchirappalli Central Industrial Bypass,RESIDENTIAL_WARD,10.7751,78.6452
76,26,6,Tirunelveli,Tirunelveli North Market,RESIDENTIAL_WARD,8.7116,77.7166
77,26,6,Tirunelveli,Tirunelveli North Campus Zone,CAMPUS_SECTOR,8.6957,77.7306
78,26,6,Tirunelveli,Tirunelveli North Industrial Bypass,TRANSIT_JUNCTION,8.6996,77.7436
79,27,6,Tirunelveli,Tirunelveli South Market,INDUSTRIAL_PARK,8.7535,77.7543
80,27,6,Tirunelveli,Tirunelveli South Campus Zone,COMMERCIAL_RETAIL,8.7688,77.7633
81,27,6,Tirunelveli,Tirunelveli South Industrial Bypass,INDUSTRIAL_PARK,8.7612,77.7579
82,28,6,Tirunelveli,Tirunelveli East Market,TRANSIT_JUNCTION,8.7147,77.7622
83,28,6,Tirunelveli,Tirunelveli East Campus Zone,TRANSIT_JUNCTION,8.6939,77.7748
84,28,6,Tirunelveli,Tirunelveli East Industrial Bypass,CAMPUS_SECTOR,8.6942,77.7608
85,29,6,Tirunelveli,Tirunelveli West Market,RESIDENTIAL_WARD,8.7386,77.7643
86,29,6,Tirunelveli,Tirunelveli West Campus Zone,TRANSIT_JUNCTION,8.7360,77.7812
87,29,6,Tirunelveli,Tirunelveli West Industrial Bypass,RESIDENTIAL_WARD,8.7404,77.7881
88,30,6,Tirunelveli,Tirunelveli Central Market,COMMERCIAL_RETAIL,8.7197,77.6897
89,30,6,Tirunelveli,Tirunelveli Central Campus Zone,RESIDENTIAL_WARD,8.7351,77.7224
90,30,6,Tirunelveli,Tirunelveli Central Industrial Bypass,CAMPUS_SECTOR,8.7229,77.7053
91,31,7,Erode,Erode North Market,RESIDENTIAL_WARD,11.3047,77.6671
92,31,7,Erode,Erode North Campus Zone,TRANSIT_JUNCTION,11.2888,77.6806
93,31,7,Erode,Erode North Industrial Bypass,TRANSIT_JUNCTION,11.2777,77.6858
94,32,7,Erode,Erode South Market,TRANSIT_JUNCTION,11.3278,77.6788
95,32,7,Erode,Erode South Campus Zone,RESIDENTIAL_WARD,11.3241,77.6795
96,32,7,Erode,Erode South Industrial Bypass,INDUSTRIAL_PARK,11.3077,77.6680
97,33,7,Erode,Erode East Market,CAMPUS_SECTOR,11.3309,77.7196
98,33,7,Erode,Erode East Campus Zone,COMMERCIAL_RETAIL,11.3320,77.6988
99,33,7,Erode,Erode East Industrial Bypass,RESIDENTIAL_WARD,11.3378,77.7008
100,34,7,Erode,Erode West Market,CAMPUS_SECTOR,11.3336,77.7911
101,34,7,Erode,Erode West Campus Zone,RESIDENTIAL_WARD,11.3171,77.7763
102,34,7,Erode,Erode West Industrial Bypass,TRANSIT_JUNCTION,11.3199,77.7558
103,35,7,Erode,Erode Central Market,INDUSTRIAL_PARK,11.3349,77.7172
104,35,7,Erode,Erode Central Campus Zone,INDUSTRIAL_PARK,11.3489,77.7309
105,35,7,Erode,Erode Central Industrial Bypass,CAMPUS_SECTOR,11.3233,77.7036
106,36,8,Tiruppur,Tiruppur North Market,COMMERCIAL_RETAIL,11.1042,77.3461
107,36,8,Tiruppur,Tiruppur North Campus Zone,TRANSIT_JUNCTION,11.1043,77.3271
108,36,8,Tiruppur,Tiruppur North Industrial Bypass,COMMERCIAL_RETAIL,11.1014,77.3434
109,37,8,Tiruppur,Tiruppur South Market,TRANSIT_JUNCTION,11.1422,77.3929
110,37,8,Tiruppur,Tiruppur South Campus Zone,CAMPUS_SECTOR,11.1347,77.3941
111,37,8,Tiruppur,Tiruppur South Industrial Bypass,COMMERCIAL_RETAIL,11.1390,77.4016
112,38,8,Tiruppur,Tiruppur East Market,RESIDENTIAL_WARD,11.1087,77.2911
113,38,8,Tiruppur,Tiruppur East Campus Zone,CAMPUS_SECTOR,11.1204,77.2800
114,38,8,Tiruppur,Tiruppur East Industrial Bypass,RESIDENTIAL_WARD,11.1145,77.2756
115,39,8,Tiruppur,Tiruppur West Market,TRANSIT_JUNCTION,11.0840,77.3537
116,39,8,Tiruppur,Tiruppur West Campus Zone,RESIDENTIAL_WARD,11.0985,77.3642
117,39,8,Tiruppur,Tiruppur West Industrial Bypass,COMMERCIAL_RETAIL,11.0913,77.3696
118,40,8,Tiruppur,Tiruppur Central Market,COMMERCIAL_RETAIL,11.0691,77.2853
119,40,8,Tiruppur,Tiruppur Central Campus Zone,TRANSIT_JUNCTION,11.0594,77.2917
120,40,8,Tiruppur,Tiruppur Central Industrial Bypass,CAMPUS_SECTOR,11.0733,77.2803
121,41,9,Vellore,Vellore North Market,CAMPUS_SECTOR,12.9774,79.1592
122,41,9,Vellore,Vellore North Campus Zone,COMMERCIAL_RETAIL,12.9599,79.1660
123,41,9,Vellore,Vellore North Industrial Bypass,TRANSIT_JUNCTION,12.9433,79.1820
124,42,9,Vellore,Vellore South Market,RESIDENTIAL_WARD,12.9488,79.0797
125,42,9,Vellore,Vellore South Campus Zone,INDUSTRIAL_PARK,12.9597,79.0992
126,42,9,Vellore,Vellore South Industrial Bypass,CAMPUS_SECTOR,12.9542,79.0745
127,43,9,Vellore,Vellore East Market,TRANSIT_JUNCTION,12.9865,79.1573
128,43,9,Vellore,Vellore East Campus Zone,COMMERCIAL_RETAIL,12.9830,79.1885
129,43,9,Vellore,Vellore East Industrial Bypass,INDUSTRIAL_PARK,12.9471,79.1784
130,44,9,Vellore,Vellore West Market,TRANSIT_JUNCTION,12.9026,79.1143
131,44,9,Vellore,Vellore West Campus Zone,INDUSTRIAL_PARK,12.9303,79.1220
132,44,9,Vellore,Vellore West Industrial Bypass,COMMERCIAL_RETAIL,12.9206,79.1143
133,45,9,Vellore,Vellore Central Market,CAMPUS_SECTOR,12.8773,79.1182
134,45,9,Vellore,Vellore Central Campus Zone,CAMPUS_SECTOR,12.8931,79.1048
