complaint_id,district_id,district_name,taluk_id,locality_id,locality_name,category_id,category_name,source_id,source_name,reported_at,description_sanitized,verification_status,is_first_time_signal
CMP-2026-00001,36,Ranipet,177,529,Ranipet South Market,1,Commercial Ganja / Cannabis,4,State Anti-Drug Helpline 10583,2025-07-18 08:03:13,Observation reported near Ranipet South Market sector in Ranipet.,NEEDS_VERIFICATION,0
CMP-2026-00002,29,Sivaganga,142,425,Sivaganga South Campus Zone,6,Unclassified / Suspicious Substance,4,State Anti-Drug Helpline 10583,2025-01-02 08:52:51,Observation reported near Sivaganga South Campus Zone sector in Sivaganga.,NEEDS_VERIFICATION,0
CMP-2026-00003,32,Theni,158,473,Theni East Campus Zone,5,Opioid Analogues / Brown Sugar / Heroin,4,State Anti-Drug Helpline 10583,2025-02-08 05:06:14,Observation reported near Theni East Campus Zone sector in Theni.,UNVERIFIED,0
CMP-2026-00004,35,Mayiladuthurai,173,519,Mayiladuthurai East Industrial Bypass,2,Synthetic Stimulants / MDMA / Meth,2,Police FIR & Seizure Register,2026-01-22 17:55:16,Observation reported near Mayiladuthurai East Industrial Bypass sector in Mayiladuthurai.,VERIFIED,0
CMP-2026-00005,32,Theni,156,468,Theni North Industrial Bypass,6,Unclassified / Suspicious Substance,2,Police FIR & Seizure Register,2025-02-04 16:37:11,Observation reported near Theni North Industrial Bypass sector in Theni.,UNVERIFIED,0
CMP-2026-00006,23,Namakkal,115,345,Namakkal Central Industrial Bypass,6,Unclassified / Suspicious Substance,3,State Checkpost Telemetry,2026-04-24 17:10:43,Observation reported near Namakkal Central Industrial Bypass sector in Namakkal.,CORROBORATED,0
CMP-2026-00007,32,Theni,157,469,Theni South Market,5,Opioid Analogues / Brown Sugar / Heroin,2,Police FIR & Seizure Register,2026-03-05 04:50:00,Observation reported near Theni South Market sector in Theni.,VERIFIED,0
CMP-2026-00008,27,Perambalur,132,394,Perambalur South Market,4,Chemical Precursors / Ephedrine,3,State Checkpost Telemetry,2024-10-20 23:24:35,Observation reported near Perambalur South Market sector in Perambalur.,CORROBORATED,1
CMP-2026-00009,28,Pudukkottai,137,410,Pudukkottai South Campus Zone,3,Prescription Narcotics / Codeine / Alprazolam,3,State Checkpost Telemetry,2026-05-19 06:21:03,Observation reported near Pudukkottai South Campus Zone sector in Pudukkottai.,NEEDS_VERIFICATION,0
CMP-2026-00010,17,Chengalpattu,81,243,Chengalpattu North Industrial Bypass,5,Opioid Analogues / Brown Sugar / Heroin,1,Anonymous Citizen Portal,2026-01-13 03:25:11,Observation reported near Chengalpattu North Industrial Bypass sector in Chengalpattu.,CORROBORATED,0
CMP-2026-00011,18,Tiruvallur,89,265,Tiruvallur West Market,1,Commercial Ganja / Cannabis,2,Police FIR & Seizure Register,2026-01-26 04:15:01,Observation reported near Tiruvallur West Market sector in Tiruvallur.,CORROBORATED,0
CMP-2026-00012,17,Chengalpattu,85,254,Chengalpattu Central Campus Zone,5,Opioid Analogues / Brown Sugar / Heroin,1,Anonymous Citizen Portal,2025-11-22 18:43:28,Observation reported near Chengalpattu Central Campus Zone sector in Chengalpattu.,VERIFIED,0
CMP-2026-00013,20,Viluppuram,100,299,Viluppuram Central Campus Zone,3,Prescription Narcotics / Codeine / Alprazolam,3,State Checkpost Telemetry,2026-08-16 21:46:47,Observation reported near Viluppuram Central Campus Zone sector in Viluppuram.,VERIFIED,0
