police_report_id,district_id,district_name,taluk_id,locality_id,station_code,incident_timestamp,operation_type,category_id,category_name,investigation_status
POL-2026-00001,28,Pudukkottai,137,409,PS-PUD-B3,2025-05-05 20:48:07,SEARCH_SEIZURE,5,Opioid Analogues / Brown Sugar / Heroin,PENDING_INVESTIGATION
POL-2026-00002,16,Kancheepuram,78,233,PS-KAN-B2,2026-05-05 03:00:23,SEARCH_SEIZURE,6,Unclassified / Suspicious Substance,ACTION_COMPLETED
POL-2026-00003,38,Tiruvannamalai,190,568,PS-TIR-B3,2024-10-14 23:31:37,ROUTINE_BEAT_PATROL,2,Synthetic Stimulants / MDMA / Meth,ACTION_COMPLETED
POL-2026-00004,7,Erode,35,103,PS-ERO-B4,2024-10-26 04:46:14,ROUTINE_BEAT_PATROL,6,Unclassified / Suspicious Substance,ACTION_COMPLETED
POL-2026-00005,1,Chennai,4,10,PS-CHE-B3,2025-05-22 03:06:55,SEARCH_SEIZURE,1,Commercial Ganja / Cannabis,ACTION_COMPLETED
POL-2026-00006,29,Sivaganga,142,424,PS-SIV-B4,2024-12-17 23:35:57,CHECKPOST_INTERCEPTION,3,Prescription Narcotics / Codeine / Alprazolam,CASE_REGISTERED
POL-2026-00007,17,Chengalpattu,83,249,PS-CHE-B1,2026-01-23 18:51:15,SEARCH_SEIZURE,2,Synthetic Stimulants / MDMA / Meth,PENDING_INVESTIGATION
POL-2026-00008,15,Tenkasi,73,219,PS-TEN-B1,2025-01-10 22:19:56,CHECKPOST_INTERCEPTION,1,Commercial Ganja / Cannabis,CASE_REGISTERED
POL-2026-00009,7,Erode,35,105,PS-ERO-B2,2025-09-22 14:08:31,SEARCH_SEIZURE,1,Commercial Ganja / Cannabis,CASE_REGISTERED
POL-2026-00010,2,Coimbatore,6,16,PS-COI-B4,2026-08-13 04:10:34,SPECIAL_TASK_DRIVE,5,Opioid Analogues / Brown Sugar / Heroin,PENDING_INVESTIGATION
POL-2026-00011,35,Mayiladuthurai,171,512,PS-MAY-B1,2026-07-31 09:55:45,CHECKPOST_INTERCEPTION,6,Unclassified / Suspicious Substance,PENDING_INVESTIGATION
POL-2026-00012,16,Kancheepuram,76,226,PS-KAN-B2,2026-04-01 05:27:24,ROUTINE_BEAT_PATROL,6,Unclassified / Suspicious Substance,CASE_REGISTERED
POL-2026-00013,29,Sivaganga,141,423,PS-SIV-B3,2024-12-29 02:01:19,SPECIAL_TASK_DRIVE,3,Prescription Narcotics / Codeine / Alprazolam,CASE_REGISTERED
POL-2026-00014,20,Viluppuram,96,288,PS-VIL-B3,2026-01-08 21:05:57,SPECIAL_TASK_DRIVE,2,Synthetic Stimulants / MDMA / Meth,CASE_REGISTERED
POL-2026-00015,34,Nagapattinam,168,502,PS-NAG-B2,2026-08-18 05:51:28,ROUTINE_BEAT_PATROL,6,Unclassified / Suspicious Substance,CASE_REGISTERED
POL-2026-00016,5,Tiruchirappalli,21,63,PS-TIR-B1,2025-08-19 11:53:31,ROUTINE_BEAT_PATROL,1,Commercial Ganja / Cannabis,CASE_REGISTERED
POL-2026-00017,8,Tiruppur,40,120,PS-TIR-B2,2025-02-04 21:44:42,SEARCH_SEIZURE,2,Synthetic Stimulants / MDMA / Meth,PENDING_INVESTIGATION
POL-2026-00018,25,Karur,123,367,PS-KAR-B4,2025-04-13 13:58:16,CHECKPOST_INTERCEPTION,4,Chemical Precursors / Ephedrine,PENDING_INVESTIGATION
POL-2026-00019,26,Ariyalur,130,388,PS-ARI-B3,2025-03-12 23:39:06,ROUTINE_BEAT_PATROL,3,Prescription Narcotics / Codeine / Alprazolam,CASE_REGISTERED
POL-2026-00020,34,Nagapattinam,167,499,PS-NAG-B2,2026-02-12 06:42:06,ROUTINE_BEAT_PATROL,5,Opioid Analogues / Brown Sugar / Heroin,ACTION_COMPLETED
POL-2026-00021,23,Namakkal,114,342,PS-NAM-B1,2026-07-27 13:57:38,ROUTINE_BEAT_PATROL,3,Prescription Narcotics / Codeine / Alprazolam,CASE_REGISTERED
POL-2026-00022,10,Krishnagiri,49,145,PS-KRI-B2,2025-02-25 21:19:29,CHECKPOST_INTERCEPTION,6,Unclassified / Suspicious Substance,PENDING_INVESTIGATION
POL-2026-00023,12,Thanjavur,58,174,PS-THA-B2,2024-11-13 16:58:58,SEARCH_SEIZURE,6,Unclassified / Suspicious Substance,PENDING_INVESTIGATION
POL-2026-00024,3,Madurai,15,43,PS-MAD-B1,2025-01-23 00:02:12,CHECKPOST_INTERCEPTION,1,Commercial Ganja / Cannabis,ACTION_COMPLETED
POL-2026-00025,17,Chengalpattu,81,241,PS-CHE-B2,2026-07-26 22:31:28,ROUTINE_BEAT_PATROL,2,Synthetic Stimulants / MDMA / Meth,CASE_REGISTERED
POL-2026-00026,7,Erode,32,96,PS-ERO-B4,2025-08-22 13:30:56,CHECKPOST_INTERCEPTION,2,Synthetic Stimulants / MDMA / Meth,CASE_REGISTERED
POL-2026-00027,15,Tenkasi,75,224,PS-TEN-B2,2024-12-24 22:16:08,ROUTINE_BEAT_PATROL,3,Prescription Narcotics / Codeine / Alprazolam,CASE_REGISTERED
POL-2026-00028,10,Krishnagiri,46,137,PS-KRI-B3,2025-03-17 05:12:44,CHECKPOST_INTERCEPTION,4,Chemical Precursors / Ephedrine,PENDING_INVESTIGATION
POL-2026-00029,24,Nilgiris,120,358,PS-NIL-B2,2025-02-06 18:49:26,SPECIAL_TASK_DRIVE,6,Unclassified / Suspicious Substance,PENDING_INVESTIGATION
POL-2026-00030,30,Ramanathapuram,146,437,PS-RAM-B2,2026-05-02 01:11:49,ROUTINE_BEAT_PATROL,6,Unclassified / Suspicious Substance,CASE_REGISTERED
POL-2026-00031,12,Thanjavur,59,177,PS-THA-B4,2025-05-15 00:43:41,SPECIAL_TASK_DRIVE,4,Chemical Precursors / Ephedrine,CASE_REGISTERED
POL-2026-00032,12,Thanjavur,60,179,PS-THA-B1,2025-07-27 23:59:16,SEARCH_SEIZURE,4,Chemical Precursors / Ephedrine,ACTION_COMPLETED
POL-2026-00033,17,Chengalpattu,85,253,PS-CHE-B2,2025-04-18 10:02:06,SEARCH_SEIZURE,5,Opioid Analogues / Brown Sugar / Heroin,CASE_REGISTERED
POL-2026-00034,11,Dindigul,51,151,PS-DIN-B3,2025-03-29 10:37:00,SPECIAL_TASK_DRIVE,1,Commercial Ganja / Cannabis,CASE_REGISTERED
POL-2026-00035,31,Virudhunagar,153,457,PS-VIR-B4,2025-05-11 19:10:35,SPECIAL_TASK_DRIVE,5,Opioid Analogues / Brown Sugar / Heroin,CASE_REGISTERED
POL-2026-00036,28,Pudukkottai,136,406,PS-PUD-B4,2025-04-18 20:43:04,SEARCH_SEIZURE,1,Commercial Ganja / Cannabis,CASE_REGISTERED
POL-2026-00037,13,Thoothukudi,62,184,PS-THO-B1,2025-05-02 08:32:46,CHECKPOST_INTERCEPTION,6,Unclassified / Suspicious Substance,CASE_REGISTERED
POL-2026-00038,11,Dindigul,52,156,PS-DIN-B2,2025-12-13 04:58:41,SEARCH_SEIZURE,1,Commercial Ganja / Cannabis,CASE_REGISTERED
POL-2026-00039,27,Perambalur,134,400,PS-PER-B3,2025-04-06 15:24:37,SEARCH_SEIZURE,4,Chemical Precursors / Ephedrine,ACTION_COMPLETED
POL-2026-00040,24,Nilgiris,120,360,PS-NIL-B3,2025-12-13 21:29:45,ROUTINE_BEAT_PATROL,6,Unclassified / Suspicious Substance,PENDING_INVESTIGATION
POL-2026-00041,1,Chennai,2,5,PS-CHE-B2,2026-05-01 17:57:17,SPECIAL_TASK_DRIVE,1,Commercial Ganja / Cannabis,CASE_REGISTERED
POL-2026-00042,16,Kancheepuram,76,226,PS-KAN-B4,2025-12-27 19:14:29,SEARCH_SEIZURE,1,Commercial Ganja / Cannabis,ACTION_COMPLETED
POL-2026-00043,37,Tirupathur,181,543,PS-TIR-B3,2026-06-19 21:16:20,SEARCH_SEIZURE,3,Prescription Narcotics / Codeine / Alprazolam,ACTION_COMPLETED
POL-2026-00044,20,Viluppuram,98,294,PS-VIL-B4,2024-10-25 05:38:24,ROUTINE_BEAT_PATROL,6,Unclassified / Suspicious Substance,PENDING_INVESTIGATION
POL-2026-00045,10,Krishnagiri,47,140,PS-KRI-B1,2024-11-11 11:13:52,SEARCH_SEIZURE,6,Unclassified / Suspicious Substance,ACTION_COMPLETED
POL-2026-00046,26,Ariyalur,126,376,PS-ARI-B4,2026-04-08 07:19:57,SEARCH_SEIZURE,1,Commercial Ganja / Cannabis,PENDING_INVESTIGATION
POL-2026-00047,27,Perambalur,131,392,PS-PER-B2,2025-04-04 02:37:22,CHECKPOST_INTERCEPTION,6,Unclassified / Suspicious Substance,ACTION_COMPLETED
