checkpost_report_id,checkpost_name,district_id,district_name,border_corridor,scanned_at,transit_direction,category_id,category_name,volume_band
CHK-2026-00001,V.O.C. Port Terminal,13,Thoothukudi,Maritime Coast,2025-10-15 13:48:30,INBOUND_TO_TN,1,Commercial Ganja / Cannabis,BAND_A_BULK
CHK-2026-00002,Ennore Port Gate,1,Chennai,Maritime Logistics,2026-04-05 14:36:05,INBOUND_TO_TN,3,Prescription Narcotics / Codeine / Alprazolam,BAND_B_MEDIUM
CHK-2026-00003,Puliyarai Checkpost,15,Tenkasi,Kerala (NH-744),2024-09-27 14:35:17,INBOUND_TO_TN,3,Prescription Narcotics / Codeine / Alprazolam,BAND_A_BULK
CHK-2026-00004,Zuzuvadi Checkpost,10,Krishnagiri,Karnataka (NH-48),2026-06-11 22:05:56,INBOUND_TO_TN,6,Unclassified / Suspicious Substance,BAND_B_MEDIUM
CHK-2026-00005,Walayar Checkpost,2,Coimbatore,Kerala (NH-544),2026-03-04 02:08:08,OUTBOUND,2,Synthetic Stimulants / MDMA / Meth,BAND_A_BULK
CHK-2026-00006,Kaliyakkavilai Gate,14,Kanniyakumari,Kerala (NH-66),2025-04-24 21:28:04,OUTBOUND,5,Opioid Analogues / Brown Sugar / Heroin,BAND_A_BULK
CHK-2026-00007,Kaliyakkavilai Gate,14,Kanniyakumari,Kerala (NH-66),2026-04-01 04:39:50,OUTBOUND,1,Commercial Ganja / Cannabis,BAND_B_MEDIUM
CHK-2026-00008,Puliyarai Checkpost,15,Tenkasi,Kerala (NH-744),2026-05-19 09:19:05,TRANSIT_CROSS_STATE,3,Prescription Narcotics / Codeine / Alprazolam,BAND_C_PARCEL
CHK-2026-00009,Kaliyakkavilai Gate,14,Kanniyakumari,Kerala (NH-66),2026-06-10 09:27:09,INBOUND_TO_TN,3,Prescription Narcotics / Codeine / Alprazolam,BAND_A_BULK
CHK-2026-00010,Puliyarai Checkpost,15,Tenkasi,Kerala (NH-744),2025-05-15 14:57:20,TRANSIT_CROSS_STATE,2,Synthetic Stimulants / MDMA / Meth,BAND_B_MEDIUM
CHK-2026-00011,Zuzuvadi Checkpost,10,Krishnagiri,Karnataka (NH-48),2026-05-19 01:35:03,OUTBOUND,1,Commercial Ganja / Cannabis,BAND_A_BULK
CHK-2026-00012,V.O.C. Port Terminal,13,Thoothukudi,Maritime Coast,2025-06-03 10:57:55,TRANSIT_CROSS_STATE,2,Synthetic Stimulants / MDMA / Meth,BAND_B_MEDIUM
CHK-2026-00013,Puliyarai Checkpost,15,Tenkasi,Kerala (NH-744),2024-12-27 11:06:35,OUTBOUND,1,Commercial Ganja / Cannabis,BAND_A_BULK
CHK-2026-00014,Zuzuvadi Checkpost,10,Krishnagiri,Karnataka (NH-48),2024-10-21 09:43:52,OUTBOUND,4,Chemical Precursors / Ephedrine,BAND_A_BULK
CHK-2026-00015,Zuzuvadi Checkpost,10,Krishnagiri,Karnataka (NH-48),2026-02-12 21:36:10,TRANSIT_CROSS_STATE,6,Unclassified / Suspicious Substance,BAND_B_MEDIUM
CHK-2026-00016,Kaliyakkavilai Gate,14,Kanniyakumari,Kerala (NH-66),2025-09-15 12:22:08,OUTBOUND,4,Chemical Precursors / Ephedrine,BAND_A_BULK
CHK-2026-00017,Kaliyakkavilai Gate,14,Kanniyakumari,Kerala (NH-66),2026-03-28 07:23:13,OUTBOUND,5,Opioid Analogues / Brown Sugar / Heroin,BAND_B_MEDIUM
CHK-2026-00018,V.O.C. Port Terminal,13,Thoothukudi,Maritime Coast,2024-11-26 11:15:37,TRANSIT_CROSS_STATE,3,Prescription Narcotics / Codeine / Alprazolam,BAND_C_PARCEL
CHK-2026-00019,Walayar Checkpost,2,Coimbatore,Kerala (NH-544),2025-02-28 20:08:54,INBOUND_TO_TN,6,Unclassified / Suspicious Substance,BAND_C_PARCEL
CHK-2026-00020,Puliyarai Checkpost,15,Tenkasi,Kerala (NH-744),2026-04-21 09:02:43,OUTBOUND,5,Opioid Analogues / Brown Sugar / Heroin,BAND_B_MEDIUM
CHK-2026-00021,V.O.C. Port Terminal,13,Thoothukudi,Maritime Coast,2026-03-09 12:11:24,TRANSIT_CROSS_STATE,5,Opioid Analogues / Brown Sugar / Heroin,BAND_A_BULK
CHK-2026-00022,Gummidipoondi Checkpost,18,Tiruvallur,Andhra Pradesh (NH-16),2026-01-08 14:37:28,TRANSIT_CROSS_STATE,5,Opioid Analogues / Brown Sugar / Heroin,BAND_C_PARCEL
CHK-2026-00023,Kaliyakkavilai Gate,14,Kanniyakumari,Kerala (NH-66),2025-10-04 21:03:26,INBOUND_TO_TN,1,Commercial Ganja / Cannabis,BAND_B_MEDIUM
CHK-2026-00024,Puliyarai Checkpost,15,Tenkasi,Kerala (NH-744),2026-08-18 05:20:50,OUTBOUND,6,Unclassified / Suspicious Substance,BAND_C_PARCEL
CHK-2026-00025,Walayar Checkpost,2,Coimbatore,Kerala (NH-544),2026-02-23 17:19:29,TRANSIT_CROSS_STATE,1,Commercial Ganja / Cannabis,BAND_A_BULK
CHK-2026-00026,Ennore Port Gate,1,Chennai,Maritime Logistics,2026-05-18 16:06:29,TRANSIT_CROSS_STATE,4,Chemical Precursors / Ephedrine,BAND_C_PARCEL
CHK-2026-00027,Gummidipoondi Checkpost,18,Tiruvallur,Andhra Pradesh (NH-16),2025-10-14 20:45:37,TRANSIT_CROSS_STATE,3,Prescription Narcotics / Codeine / Alprazolam,BAND_C_PARCEL
CHK-2026-00028,Ennore Port Gate,1,Chennai,Maritime Logistics,2025-08-09 06:32:22,TRANSIT_CROSS_STATE,1,Commercial Ganja / Cannabis,BAND_B_MEDIUM
CHK-2026-00029,Kaliyakkavilai Gate,14,Kanniyakumari,Kerala (NH-66),2025-07-17 13:19:08,TRANSIT_CROSS_STATE,6,Unclassified / Suspicious Substance,BAND_B_MEDIUM
CHK-2026-00030,Kaliyakkavilai Gate,14,Kanniyakumari,Kerala (NH-66),2025-05-29 17:43:03,TRANSIT_CROSS_STATE,5,Opioid Analogues / Brown Sugar / Heroin,BAND_B_MEDIUM
CHK-2026-00031,Walayar Checkpost,2,Coimbatore,Kerala (NH-544),2026-02-26 16:27:13,OUTBOUND,4,Chemical Precursors / Ephedrine,BAND_C_PARCEL
CHK-2026-00032,Zuzuvadi Checkpost,10,Krishnagiri,Karnataka (NH-48),2025-09-01 17:13:39,INBOUND_TO_TN,6,Unclassified / Suspicious Substance,BAND_C_PARCEL
CHK-2026-00033,Zuzuvadi Checkpost,10,Krishnagiri,Karnataka (NH-48),2026-02-13 09:16:03,TRANSIT_CROSS_STATE,4,Chemical Precursors / Ephedrine,BAND_A_BULK
CHK-2026-00034,Gummidipoondi Checkpost,18,Tiruvallur,Andhra Pradesh (NH-16),2025-12-26 09:37:27,OUTBOUND,5,Opioid Analogues / Brown Sugar / Heroin,BAND_C_PARCEL
CHK-2026-00035,Puliyarai Checkpost,15,Tenkasi,Kerala (NH-744),2026-01-08 20:01:29,INBOUND_TO_TN,3,Prescription Narcotics / Codeine / Alprazolam,BAND_C_PARCEL
CHK-2026-00036,Ennore Port Gate,1,Chennai,Maritime Logistics,2025-08-16 04:03:12,TRANSIT_CROSS_STATE,5,Opioid Analogues / Brown Sugar / Heroin,BAND_C_PARCEL
CHK-2026-00037,Puliyarai Checkpost,15,Tenkasi,Kerala (NH-744),2024-12-25 15:47:47,TRANSIT_CROSS_STATE,3,Prescription Narcotics / Codeine / Alprazolam,BAND_A_BULK
CHK-2026-00038,Walayar Checkpost,2,Coimbatore,Kerala (NH-544),2026-04-25 09:56:10,TRANSIT_CROSS_STATE,3,Prescription Narcotics / Codeine / Alprazolam,BAND_C_PARCEL
CHK-2026-00039,Ennore Port Gate,1,Chennai,Maritime Logistics,2026-02-11 14:02:11,TRANSIT_CROSS_STATE,1,Commercial Ganja / Cannabis,BAND_A_BULK
CHK-2026-00040,Zuzuvadi Checkpost,10,Krishnagiri,Karnataka (NH-48),2025-07-22 22:44:04,OUTBOUND,5,Opioid Analogues / Brown Sugar / Heroin,BAND_C_PARCEL
CHK-2026-00041,Puliyarai Checkpost,15,Tenkasi,Kerala (NH-744),2025-02-05 20:49:16,INBOUND_TO_TN,4,Chemical Precursors / Ephedrine,BAND_B_MEDIUM
CHK-2026-00042,Gummidipoondi Checkpost,18,Tiruvallur,Andhra Pradesh (NH-16),2025-03-14 13:08:59,OUTBOUND,2,Synthetic Stimulants / MDMA / Meth,BAND_A_BULK
CHK-2026-00043,Walayar Checkpost,2,Coimbatore,Kerala (NH-544),2026-04-04 06:02:21,OUTBOUND,6,Unclassified / Suspicious Substance,BAND_B_MEDIUM
CHK-2026-00044,Kaliyakkavilai Gate,14,Kanniyakumari,Kerala (NH-66),2026-05-23 14:56:09,OUTBOUND,5,Opioid Analogues / Brown Sugar / Heroin,BAND_C_PARCEL
CHK-2026-00045,Walayar Checkpost,2,Coimbatore,Kerala (NH-544),2024-10-26 07:52:39,OUTBOUND,4,Chemical Precursors / Ephedrine,BAND_B_MEDIUM
CHK-2026-00046,Kaliyakkavilai Gate,14,Kanniyakumari,Kerala (NH-66),2026-06-16 19:27:26,INBOUND_TO_TN,4,Chemical Precursors / Ephedrine,BAND_B_MEDIUM
CHK-2026-00047,Gummidipoondi Checkpost,18,Tiruvallur,Andhra Pradesh (NH-16),2025-07-12 07:08:32,INBOUND_TO_TN,5,Opioid Analogues / Brown Sugar / Heroin,BAND_A_BULK
CHK-2026-00048,Gummidipoondi Checkpost,18,Tiruvallur,Andhra Pradesh (NH-16),2025-07-03 03:19:12,INBOUND_TO_TN,6,Unclassified / Suspicious Substance,BAND_A_BULK
CHK-2026-00049,Ennore Port Gate,1,Chennai,Maritime Logistics,2025-08-27 05:48:40,OUTBOUND,3,Prescription Narcotics / Codeine / Alprazolam,BAND_B_MEDIUM
CHK-2026-00050,Ennore Port Gate,1,Chennai,Maritime Logistics,2026-04-11 02:50:47,OUTBOUND,6,Unclassified / Suspicious Substance,BAND_C_PARCEL
CHK-2026-00051,Kaliyakkavilai Gate,14,Kanniyakumari,Kerala (NH-66),2025-08-12 23:47:14,OUTBOUND,3,Prescription Narcotics / Codeine / Alprazolam,BAND_A_BULK
CHK-2026-00052,Puliyarai Checkpost,15,Tenkasi,Kerala (NH-744),2025-03-01 09:41:15,TRANSIT_CROSS_STATE,2,Synthetic Stimulants / MDMA / Meth,BAND_A_BULK
CHK-2026-00053,Puliyarai Checkpost,15,Tenkasi,Kerala (NH-744),2025-04-02 13:09:34,TRANSIT_CROSS_STATE,4,Chemical Precursors / Ephedrine,BAND_B_MEDIUM
CHK-2026-00054,Puliyarai Checkpost,15,Tenkasi,Kerala (NH-744),2025-06-28 06:31:57,OUTBOUND,2,Synthetic Stimulants / MDMA / Meth,BAND_C_PARCEL
CHK-2026-00055,Gummidipoondi Checkpost,18,Tiruvallur,Andhra Pradesh (NH-16),2025-09-15 03:47:58,INBOUND_TO_TN,3,Prescription Narcotics / Codeine / Alprazolam,BAND_C_PARCEL
CHK-2026-00056,Ennore Port Gate,1,Chennai,Maritime Logistics,2025-03-31 17:36:57,TRANSIT_CROSS_STATE,5,Opioid Analogues / Brown Sugar / Heroin,BAND_B_MEDIUM
CHK-2026-00057,Walayar Checkpost,2,Coimbatore,Kerala (NH-544),2025-01-01 11:53:04,INBOUND_TO_TN,2,Synthetic Stimulants / MDMA / Meth,BAND_B_MEDIUM
CHK-2026-00058,Puliyarai Checkpost,15,Tenkasi,Kerala (NH-744),2025-07-21 00:48:48,TRANSIT_CROSS_STATE,4,Chemical Precursors / Ephedrine,BAND_A_BULK
CHK-2026-00059,Puliyarai Checkpost,15,Tenkasi,Kerala (NH-744),2025-04-30 16:10:09,OUTBOUND,6,Unclassified / Suspicious Substance,BAND_B_MEDIUM
CHK-2026-00060,Walayar Checkpost,2,Coimbatore,Kerala (NH-544),2025-04-10 10:09:44,TRANSIT_CROSS_STATE,6,Unclassified / Suspicious Substance,BAND_A_BULK
CHK-2026-00061,Zuzuvadi Checkpost,10,Krishnagiri,Karnataka (NH-48),2026-02-05 11:49:22,TRANSIT_CROSS_STATE,6,Unclassified / Suspicious Substance,BAND_A_BULK
CHK-2026-00062,Kaliyakkavilai Gate,14,Kanniyakumari,Kerala (NH-66),2025-12-29 13:39:41,TRANSIT_CROSS_STATE,4,Chemical Precursors / Ephedrine,BAND_A_BULK
CHK-2026-00063,Zuzuvadi Checkpost,10,Krishnagiri,Karnataka (NH-48),2025-01-22 09:55:49,OUTBOUND,6,Unclassified / Suspicious Substance,BAND_C_PARCEL
CHK-2026-00064,Ennore Port Gate,1,Chennai,Maritime Logistics,2025-09-28 16:52:33,OUTBOUND,6,Unclassified / Suspicious Substance,BAND_A_BULK
CHK-2026-00065,Walayar Checkpost,2,Coimbatore,Kerala (NH-544),2026-04-06 19:36:30,OUTBOUND,5,Opioid Analogues / Brown Sugar / Heroin,BAND_A_BULK
CHK-2026-00066,Zuzuvadi Checkpost,10,Krishnagiri,Karnataka (NH-48),2024-11-08 00:29:36,OUTBOUND,5,Opioid Analogues / Brown Sugar / Heroin,BAND_A_BULK
CHK-2026-00067,Ennore Port Gate,1,Chennai,Maritime Logistics,2025-06-08 04:15:43,OUTBOUND,6,Unclassified / Suspicious Substance,BAND_B_MEDIUM
CHK-2026-00068,Puliyarai Checkpost,15,Tenkasi,Kerala (NH-744),2025-02-22 10:55:42,INBOUND_TO_TN,5,Opioid Analogues / Brown Sugar / Heroin,BAND_C_PARCEL
CHK-2026-00069,V.O.C. Port Terminal,13,Thoothukudi,Maritime Coast,2024-11-09 02:07:16,INBOUND_TO_TN,6,Unclassified / Suspicious Substance,BAND_A_BULK
CHK-2026-00070,Kaliyakkavilai Gate,14,Kanniyakumari,Kerala (NH-66),2026-04-19 07:56:32,INBOUND_TO_TN,1,Commercial Ganja / Cannabis,BAND_C_PARCEL
CHK-2026-00071,Ennore Port Gate,1,Chennai,Maritime Logistics,2024-09-22 09:24:09,TRANSIT_CROSS_STATE,2,Synthetic Stimulants / MDMA / Meth,BAND_A_BULK
CHK-2026-00072,Kaliyakkavilai Gate,14,Kanniyakumari,Kerala (NH-66),2026-05-10 17:45:17,INBOUND_TO_TN,6,Unclassified / Suspicious Substance,BAND_A_BULK
CHK-2026-00073,Ennore Port Gate,1,Chennai,Maritime Logistics,2025-05-10 10:30:23,TRANSIT_CROSS_STATE,1,Commercial Ganja / Cannabis,BAND_C_PARCEL
CHK-2026-00074,Kaliyakkavilai Gate,14,Kanniyakumari,Kerala (NH-66),2026-02-02 14:41:01,OUTBOUND,6,Unclassified / Suspicious Substance,BAND_B_MEDIUM
CHK-2026-00075,Walayar Checkpost,2,Coimbatore,Kerala (NH-544),2025-07-15 15:47:27,TRANSIT_CROSS_STATE,3,Prescription Narcotics / Codeine / Alprazolam,BAND_C_PARCEL
CHK-2026-00076,Kaliyakkavilai Gate,14,Kanniyakumari,Kerala (NH-66),2025-12-15 13:01:21,OUTBOUND,3,Prescription Narcotics / Codeine / Alprazolam,BAND_C_PARCEL
CHK-2026-00077,Walayar Checkpost,2,Coimbatore,Kerala (NH-544),2025-06-20 12:55:29,TRANSIT_CROSS_STATE,5,Opioid Analogues / Brown Sugar / Heroin,BAND_B_MEDIUM
CHK-2026-00078,V.O.C. Port Terminal,13,Thoothukudi,Maritime Coast,2026-07-27 14:54:52,INBOUND_TO_TN,4,Chemical Precursors / Ephedrine,BAND_C_PARCEL
