citizen_report_id,anonymous_token,district_id,district_name,taluk_id,locality_id,locality_name,category_id,category_name,submitted_at,intake_channel,verification_status,is_first_time_signal
CIT-2026-00001,ANON-TOKEN-31C329B34C,27,Perambalur,131,393,Perambalur North Industrial Bypass,2,Synthetic Stimulants / MDMA / Meth,2026-06-09 21:17:22,MOBILE_APP,NEEDS_VERIFICATION,0
CIT-2026-00002,ANON-TOKEN-49BB9B9843,27,Perambalur,131,391,Perambalur North Market,1,Commercial Ganja / Cannabis,2026-01-12 20:36:07,WEB_PORTAL,DISMISSED,0
CIT-2026-00003,ANON-TOKEN-20067B2337,1,Chennai,3,7,Chennai East Market,5,Opioid Analogues / Brown Sugar / Heroin,2025-04-03 10:27:34,WEB_PORTAL,UNVERIFIED,0
CIT-2026-00004,ANON-TOKEN-0667093CCF,4,Salem,16,46,Salem North Market,3,Prescription Narcotics / Codeine / Alprazolam,2025-04-27 23:37:22,TOLL_FREE_IVR,CORROBORATED,0
CIT-2026-00005,ANON-TOKEN-125D21CB9C,18,Tiruvallur,90,270,Tiruvallur Central Industrial Bypass,3,Prescription Narcotics / Codeine / Alprazolam,2025-04-24 10:06:48,MOBILE_APP,UNVERIFIED,0
CIT-2026-00006,ANON-TOKEN-BBAE3CA2D1,33,Thiruvarur,161,481,Thiruvarur North Market,1,Commercial Ganja / Cannabis,2025-05-15 14:22:23,TOLL_FREE_IVR,DISMISSED,0
CIT-2026-00007,ANON-TOKEN-251AC6B374,32,Theni,157,470,Theni South Campus Zone,6,Unclassified / Suspicious Substance,2025-05-30 16:54:43,TOLL_FREE_IVR,DISMISSED,0
CIT-2026-00008,ANON-TOKEN-EAD2CC94B4,36,Ranipet,178,534,Ranipet East Industrial Bypass,5,Opioid Analogues / Brown Sugar / Heroin,2026-06-10 13:39:03,TOLL_FREE_IVR,NEEDS_VERIFICATION,0
CIT-2026-00009,ANON-TOKEN-5FB6537FE6,9,Vellore,43,128,Vellore East Campus Zone,6,Unclassified / Suspicious Substance,2026-02-07 13:43:37,BOT,UNVERIFIED,0
CIT-2026-00010,ANON-TOKEN-0BF660940F,21,Kallakurichi,101,302,Kallakurichi North Campus Zone,1,Commercial Ganja / Cannabis,2024-12-01 18:54:05,MOBILE_APP,CORROBORATED,0
CIT-2026-00011,ANON-TOKEN-763B69AA14,9,Vellore,41,121,Vellore North Market,1,Commercial Ganja / Cannabis,2026-02-26 09:13:08,TOLL_FREE_IVR,DISMISSED,0
CIT-2026-00012,ANON-TOKEN-8491025FA5,30,Ramanathapuram,150,450,Ramanathapuram Central Industrial Bypass,3,Prescription Narcotics / Codeine / Alprazolam,2026-04-14 09:10:50,WEB_PORTAL,NEEDS_VERIFICATION,0
CIT-2026-00013,ANON-TOKEN-D228B2EB7F,29,Sivaganga,142,426,Sivaganga South Industrial Bypass,4,Chemical Precursors / Ephedrine,2025-04-17 03:34:49,WEB_PORTAL,UNVERIFIED,0
CIT-2026-00014,ANON-TOKEN-A04EB3C090,8,Tiruppur,36,108,Tiruppur North Industrial Bypass,6,Unclassified / Suspicious Substance,2025-03-05 21:41:05,BOT,DISMISSED,0
CIT-2026-00015,ANON-TOKEN-86707300C0,3,Madurai,11,31,Madurai North Market,3,Prescription Narcotics / Codeine / Alprazolam,2026-04-17 07:24:23,TOLL_FREE_IVR,UNVERIFIED,0
CIT-2026-00016,ANON-TOKEN-FEA3A4DC5A,29,Sivaganga,141,421,Sivaganga North Market,2,Synthetic Stimulants / MDMA / Meth,2026-05-25 01:05:58,BOT,DISMISSED,0
CIT-2026-00017,ANON-TOKEN-2B8100EF53,3,Madurai,15,43,Madurai Central Market,3,Prescription Narcotics / Codeine / Alprazolam,2024-10-02 17:02:51,MOBILE_APP,DISMISSED,0
CIT-2026-00018,ANON-TOKEN-2CEF9A405E,26,Ariyalur,126,377,Ariyalur North Campus Zone,5,Opioid Analogues / Brown Sugar / Heroin,2026-06-27 03:39:53,WEB_PORTAL,DISMISSED,1
CIT-2026-00019,ANON-TOKEN-B08F9EAAA5,18,Tiruvallur,88,263,Tiruvallur East Campus Zone,6,Unclassified / Suspicious Substance,2025-07-24 02:42:00,BOT,NEEDS_VERIFICATION,0
CIT-2026-00020,ANON-TOKEN-E042F07E04,31,Virudhunagar,153,457,Virudhunagar East Market,3,Prescription Narcotics / Codeine / Alprazolam,2025-01-04 17:31:59,WEB_PORTAL,UNVERIFIED,0
CIT-2026-00021,ANON-TOKEN-9CA82740BD,8,Tiruppur,36,106,Tiruppur North Market,5,Opioid Analogues / Brown Sugar / Heroin,2025-03-07 20:34:14,BOT,NEEDS_VERIFICATION,0
CIT-2026-00022,ANON-TOKEN-CFAFD02195,30,Ramanathapuram,147,439,Ramanathapuram South Market,4,Chemical Precursors / Ephedrine,2026-06-01 07:49:13,MOBILE_APP,NEEDS_VERIFICATION,0
CIT-2026-00023,ANON-TOKEN-5DB074ED78,28,Pudukkottai,136,408,Pudukkottai North Industrial Bypass,5,Opioid Analogues / Brown Sugar / Heroin,2026-05-07 05:27:06,WEB_PORTAL,DISMISSED,0
CIT-2026-00024,ANON-TOKEN-9B707AD03A,19,Cuddalore,91,272,Cuddalore North Campus Zone,2,Synthetic Stimulants / MDMA / Meth,2026-05-26 15:02:42,WEB_PORTAL,NEEDS_VERIFICATION,0
CIT-2026-00025,ANON-TOKEN-5A4FF4D4D3,11,Dindigul,55,164,Dindigul Central Campus Zone,3,Prescription Narcotics / Codeine / Alprazolam,2025-06-11 23:43:18,TOLL_FREE_IVR,DISMISSED,1
CIT-2026-00026,ANON-TOKEN-6595E468D3,11,Dindigul,54,160,Dindigul West Market,3,Prescription Narcotics / Codeine / Alprazolam,2025-05-23 08:07:06,BOT,DISMISSED,0
CIT-2026-00027,ANON-TOKEN-1B11378396,7,Erode,31,91,Erode North Market,4,Chemical Precursors / Ephedrine,2025-05-01 02:06:11,MOBILE_APP,DISMISSED,0
CIT-2026-00028,ANON-TOKEN-4F1FA5BC4A,37,Tirupathur,185,555,Tirupathur Central Industrial Bypass,5,Opioid Analogues / Brown Sugar / Heroin,2024-11-29 23:30:17,BOT,NEEDS_VERIFICATION,0
CIT-2026-00029,ANON-TOKEN-34810A1042,27,Perambalur,131,391,Perambalur North Market,4,Chemical Precursors / Ephedrine,2025-11-08 16:04:30,BOT,DISMISSED,1
CIT-2026-00030,ANON-TOKEN-557072004E,25,Karur,121,361,Karur North Market,4,Chemical Precursors / Ephedrine,2024-10-08 10:38:54,MOBILE_APP,UNVERIFIED,0
CIT-2026-00031,ANON-TOKEN-5C0194FFE0,15,Tenkasi,74,221,Tenkasi West Campus Zone,1,Commercial Ganja / Cannabis,2026-07-10 23:52:27,MOBILE_APP,CORROBORATED,0
CIT-2026-00032,ANON-TOKEN-025ADB9047,5,Tiruchirappalli,24,70,Tiruchirappalli West Market,6,Unclassified / Suspicious Substance,2024-12-30 01:11:46,BOT,NEEDS_VERIFICATION,0
CIT-2026-00033,ANON-TOKEN-02FF6FBCE3,25,Karur,121,361,Karur North Market,2,Synthetic Stimulants / MDMA / Meth,2025-04-06 15:58:55,MOBILE_APP,CORROBORATED,0
CIT-2026-00034,ANON-TOKEN-F06037C6BB,1,Chennai,4,12,Chennai West Industrial Bypass,3,Prescription Narcotics / Codeine / Alprazolam,2026-04-20 23:16:16,WEB_PORTAL,UNVERIFIED,0
CIT-2026-00035,ANON-TOKEN-68E4664702,17,Chengalpattu,85,253,Chengalpattu Central Market,6,Unclassified / Suspicious Substance,2025-10-30 20:52:44,BOT,NEEDS_VERIFICATION,0
CIT-2026-00036,ANON-TOKEN-EE1F6A0D30,31,Virudhunagar,154,462,Virudhunagar West Industrial Bypass,4,Chemical Precursors / Ephedrine,2025-03-21 21:55:34,WEB_PORTAL,NEEDS_VERIFICATION,0
CIT-2026-00037,ANON-TOKEN-E7295ACB5B,7,Erode,35,103,Erode Central Market,4,Chemical Precursors / Ephedrine,2026-04-01 15:44:16,WEB_PORTAL,CORROBORATED,0
CIT-2026-00038,ANON-TOKEN-3923C71A4B,8,Tiruppur,38,112,Tiruppur East Market,5,Opioid Analogues / Brown Sugar / Heroin,2024-11-07 01:24:19,TOLL_FREE_IVR,NEEDS_VERIFICATION,0
CIT-2026-00039,ANON-TOKEN-59AA482415,1,Chennai,5,13,Chennai Central Market,6,Unclassified / Suspicious Substance,2025-09-22 01:59:22,BOT,CORROBORATED,0
CIT-2026-00040,ANON-TOKEN-7326CCB99C,34,Nagapattinam,166,496,Nagapattinam North Market,3,Prescription Narcotics / Codeine / Alprazolam,2025-04-24 04:36:02,MOBILE_APP,CORROBORATED,1
CIT-2026-00041,ANON-TOKEN-4B0BAF48BA,3,Madurai,12,36,Madurai South Industrial Bypass,5,Opioid Analogues / Brown Sugar / Heroin,2026-01-07 23:31:16,BOT,UNVERIFIED,0
CIT-2026-00042,ANON-TOKEN-0D0F387591,16,Kancheepuram,80,238,Kancheepuram Central Market,2,Synthetic Stimulants / MDMA / Meth,2026-01-20 09:16:26,WEB_PORTAL,NEEDS_VERIFICATION,0
CIT-2026-00043,ANON-TOKEN-66E4D50800,1,Chennai,3,7,Chennai East Market,6,Unclassified / Suspicious Substance,2026-08-05 20:23:08,BOT,DISMISSED,0
CIT-2026-00044,ANON-TOKEN-3E308C7333,17,Chengalpattu,83,248,Chengalpattu East Campus Zone,5,Opioid Analogues / Brown Sugar / Heroin,2025-04-20 17:25:13,BOT,CORROBORATED,1
CIT-2026-00045,ANON-TOKEN-727BA153E1,7,Erode,34,101,Erode West Campus Zone,4,Chemical Precursors / Ephedrine,2026-01-14 01:23:05,MOBILE_APP,DISMISSED,1
CIT-2026-00046,ANON-TOKEN-B36791C5D7,35,Mayiladuthurai,174,520,Mayiladuthurai West Market,1,Commercial Ganja / Cannabis,2026-01-27 22:42:40,BOT,NEEDS_VERIFICATION,1
CIT-2026-00047,ANON-TOKEN-60B68F38E5,28,Pudukkottai,137,410,Pudukkottai South Campus Zone,4,Chemical Precursors / Ephedrine,2025-12-20 21:35:00,TOLL_FREE_IVR,NEEDS_VERIFICATION,0
CIT-2026-00048,ANON-TOKEN-CA21BB1070,21,Kallakurichi,105,314,Kallakurichi Central Campus Zone,1,Commercial Ganja / Cannabis,2025-12-30 01:14:37,WEB_PORTAL,NEEDS_VERIFICATION,0
CIT-2026-00049,ANON-TOKEN-DF98781CD7,33,Thiruvarur,161,481,Thiruvarur North Market,6,Unclassified / Suspicious Substance,2024-11-07 05:23:55,WEB_PORTAL,CORROBORATED,0
CIT-2026-00050,ANON-TOKEN-770E606F8B,35,Mayiladuthurai,174,520,Mayiladuthurai West Market,1,Commercial Ganja / Cannabis,2026-03-18 15:21:39,TOLL_FREE_IVR,DISMISSED,0
CIT-2026-00051,ANON-TOKEN-F95DBB3658,19,Cuddalore,93,279,Cuddalore East Industrial Bypass,1,Commercial Ganja / Cannabis,2025-02-13 16:07:01,TOLL_FREE_IVR,DISMISSED,0
CIT-2026-00052,ANON-TOKEN-58390884C1,13,Thoothukudi,62,185,Thoothukudi South Campus Zone,4,Chemical Precursors / Ephedrine,2024-10-30 14:07:47,MOBILE_APP,DISMISSED,0
CIT-2026-00053,ANON-TOKEN-D317133B20,34,Nagapattinam,170,509,Nagapattinam Central Campus Zone,4,Chemical Precursors / Ephedrine,2026-06-19 07:05:59,BOT,DISMISSED,0
CIT-2026-00054,ANON-TOKEN-2D5B15DEA9,1,Chennai,3,7,Chennai East Market,2,Synthetic Stimulants / MDMA / Meth,2026-04-02 11:56:24,TOLL_FREE_IVR,UNVERIFIED,0
CIT-2026-00055,ANON-TOKEN-8689092324,38,Tiruvannamalai,188,564,Tiruvannamalai East Industrial Bypass,4,Chemical Precursors / Ephedrine,2025-11-10 23:29:45,WEB_PORTAL,CORROBORATED,0
CIT-2026-00056,ANON-TOKEN-84CB288B75,34,Nagapattinam,168,502,Nagapattinam East Market,4,Chemical Precursors / Ephedrine,2025-08-26 01:23:42,BOT,DISMISSED,0
CIT-2026-00057,ANON-TOKEN-E7592283B3,28,Pudukkottai,138,414,Pudukkottai East Industrial Bypass,4,Chemical Precursors / Ephedrine,2026-04-26 18:03:27,WEB_PORTAL,NEEDS_VERIFICATION,0
CIT-2026-00058,ANON-TOKEN-982234F013,24,Nilgiris,120,358,Nilgiris Central Market,3,Prescription Narcotics / Codeine / Alprazolam,2026-05-19 22:30:47,MOBILE_APP,NEEDS_VERIFICATION,1
CIT-2026-00059,ANON-TOKEN-A36A7A6441,30,Ramanathapuram,148,442,Ramanathapuram East Market,5,Opioid Analogues / Brown Sugar / Heroin,2025-12-27 00:12:29,WEB_PORTAL,NEEDS_VERIFICATION,0
CIT-2026-00060,ANON-TOKEN-5582652BAD,18,Tiruvallur,86,258,Tiruvallur North Industrial Bypass,3,Prescription Narcotics / Codeine / Alprazolam,2026-02-16 04:36:24,TOLL_FREE_IVR,DISMISSED,0
CIT-2026-00061,ANON-TOKEN-F2434CBF74,11,Dindigul,53,158,Dindigul East Campus Zone,5,Opioid Analogues / Brown Sugar / Heroin,2025-01-16 16:27:23,BOT,CORROBORATED,0
CIT-2026-00062,ANON-TOKEN-AF5B3B4260,36,Ranipet,178,534,Ranipet East Industrial Bypass,4,Chemical Precursors / Ephedrine,2025-05-30 02:26:41,WEB_PORTAL,NEEDS_VERIFICATION,0
CIT-2026-00063,ANON-TOKEN-E32A98D5FD,2,Coimbatore,9,27,Coimbatore West Industrial Bypass,6,Unclassified / Suspicious Substance,2026-03-29 20:58:46,BOT,UNVERIFIED,0
CIT-2026-00064,ANON-TOKEN-A7DF2E6722,27,Perambalur,133,397,Perambalur East Market,4,Chemical Precursors / Ephedrine,2024-12-15 17:50:56,TOLL_FREE_IVR,UNVERIFIED,0
CIT-2026-00065,ANON-TOKEN-408C92560A,37,Tirupathur,182,545,Tirupathur South Campus Zone,4,Chemical Precursors / Ephedrine,2024-09-21 15:32:00,BOT,CORROBORATED,0
CIT-2026-00066,ANON-TOKEN-B11D03D6DB,20,Viluppuram,97,291,Viluppuram South Industrial Bypass,1,Commercial Ganja / Cannabis,2026-06-10 23:12:27,MOBILE_APP,UNVERIFIED,0
CIT-2026-00067,ANON-TOKEN-1058982C7D,21,Kallakurichi,105,313,Kallakurichi Central Market,6,Unclassified / Suspicious Substance,2025-03-18 08:43:07,WEB_PORTAL,DISMISSED,0
CIT-2026-00068,ANON-TOKEN-73239EA489,13,Thoothukudi,63,187,Thoothukudi East Market,5,Opioid Analogues / Brown Sugar / Heroin,2025-07-10 22:45:20,TOLL_FREE_IVR,NEEDS_VERIFICATION,0
CIT-2026-00069,ANON-TOKEN-F5E749DD55,31,Virudhunagar,155,464,Virudhunagar Central Campus Zone,4,Chemical Precursors / Ephedrine,2024-12-20 21:36:31,BOT,UNVERIFIED,0
CIT-2026-00070,ANON-TOKEN-08FC3B2230,20,Viluppuram,100,299,Viluppuram Central Campus Zone,2,Synthetic Stimulants / MDMA / Meth,2025-09-30 16:00:31,WEB_PORTAL,NEEDS_VERIFICATION,0
CIT-2026-00071,ANON-TOKEN-7F8C12CB17,32,Theni,160,480,Theni Central Industrial Bypass,1,Commercial Ganja / Cannabis,2026-06-02 08:29:48,TOLL_FREE_IVR,DISMISSED,0
CIT-2026-00072,ANON-TOKEN-A015BBBB3C,35,Mayiladuthurai,172,516,Mayiladuthurai South Industrial Bypass,3,Prescription Narcotics / Codeine / Alprazolam,2025-12-29 05:51:45,BOT,NEEDS_VERIFICATION,0
CIT-2026-00073,ANON-TOKEN-2148D7890B,18,Tiruvallur,86,257,Tiruvallur North Campus Zone,1,Commercial Ganja / Cannabis,2025-05-22 03:52:02,WEB_PORTAL,NEEDS_VERIFICATION,0
CIT-2026-00074,ANON-TOKEN-8B1D05558B,19,Cuddalore,93,277,Cuddalore East Market,1,Commercial Ganja / Cannabis,2025-06-05 15:51:47,MOBILE_APP,UNVERIFIED,0
CIT-2026-00075,ANON-TOKEN-4760994135,22,Dharmapuri,108,323,Dharmapuri East Campus Zone,1,Commercial Ganja / Cannabis,2025-06-10 03:39:20,BOT,DISMISSED,0
CIT-2026-00076,ANON-TOKEN-6EBFAAAC57,8,Tiruppur,39,115,Tiruppur West Market,2,Synthetic Stimulants / MDMA / Meth,2026-08-16 08:58:12,BOT,DISMISSED,0
CIT-2026-00077,ANON-TOKEN-DBEFD02354,19,Cuddalore,91,273,Cuddalore North Industrial Bypass,1,Commercial Ganja / Cannabis,2026-04-25 13:12:14,WEB_PORTAL,CORROBORATED,0
CIT-2026-00078,ANON-TOKEN-CE259EBD00,28,Pudukkottai,136,408,Pudukkottai North Industrial Bypass,1,Commercial Ganja / Cannabis,2024-12-24 08:24:12,WEB_PORTAL,UNVERIFIED,0
CIT-2026-00079,ANON-TOKEN-7186C03054,1,Chennai,1,2,Chennai North Campus Zone,6,Unclassified / Suspicious Substance,2025-10-21 18:28:20,MOBILE_APP,UNVERIFIED,0
CIT-2026-00080,ANON-TOKEN-FE44B51AE2,27,Perambalur,134,400,Perambalur West Market,4,Chemical Precursors / Ephedrine,2025-12-30 12:34:17,WEB_PORTAL,UNVERIFIED,0
CIT-2026-00081,ANON-TOKEN-CA2EF6830D,6,Tirunelveli,28,84,Tirunelveli East Industrial Bypass,2,Synthetic Stimulants / MDMA / Meth,2024-12-22 23:22:39,MOBILE_APP,DISMISSED,0
CIT-2026-00082,ANON-TOKEN-8BF4E3FEE0,28,Pudukkottai,137,410,Pudukkottai South Campus Zone,2,Synthetic Stimulants / MDMA / Meth,2025-07-21 11:54:29,TOLL_FREE_IVR,UNVERIFIED,0
CIT-2026-00083,ANON-TOKEN-CB89D5F602,3,Madurai,13,39,Madurai East Industrial Bypass,3,Prescription Narcotics / Codeine / Alprazolam,2024-12-19 03:50:07,MOBILE_APP,DISMISSED,0
