fir_id,district_id,district_name,police_station_code,fir_date,offense_section,category_id,category_name,quantity_classification,investigation_status
FIR-THI-2026-0001,33,Thiruvarur,PS-THI-B2,2026-07-10 16:50:46,NDPS ACT SEC 8(c)/20(b)/22,1,Commercial Ganja / Cannabis,COMMERCIAL_QUANTITY,PENDING_TRIAL
FIR-COI-2026-0002,2,Coimbatore,PS-COI-B2,2025-05-03 10:10:01,NDPS ACT SEC 8(c)/20(b)/22,4,Chemical Precursors / Ephedrine,SMALL_QUANTITY,PENDING_TRIAL
FIR-VIL-2026-0003,20,Viluppuram,PS-VIL-B3,2026-06-12 01:01:30,NDPS ACT SEC 8(c)/20(b)/22,6,Unclassified / Suspicious Substance,COMMERCIAL_QUANTITY,UNDER_INVESTIGATION
FIR-RAN-2026-0004,36,Ranipet,PS-RAN-B1,2026-02-18 08:22:27,NDPS ACT SEC 8(c)/20(b)/22,5,Opioid Analogues / Brown Sugar / Heroin,SMALL_QUANTITY,PENDING_TRIAL
FIR-KAL-2026-0005,21,Kallakurichi,PS-KAL-B4,2025-12-01 10:29:17,NDPS ACT SEC 8(c)/20(b)/22,2,Synthetic Stimulants / MDMA / Meth,COMMERCIAL_QUANTITY,PENDING_TRIAL
FIR-RAM-2026-0006,30,Ramanathapuram,PS-RAM-B1,2026-03-16 00:44:17,NDPS ACT SEC 8(c)/20(b)/22,3,Prescription Narcotics / Codeine / Alprazolam,INTERMEDIATE_QUANTITY,CHARGESHEET_FILED
FIR-TEN-2026-0007,15,Tenkasi,PS-TEN-B3,2026-05-21 21:50:30,NDPS ACT SEC 8(c)/20(b)/22,6,Unclassified / Suspicious Substance,INTERMEDIATE_QUANTITY,CHARGESHEET_FILED
FIR-NAM-2026-0008,23,Namakkal,PS-NAM-B4,2026-03-06 18:51:04,NDPS ACT SEC 8(c)/20(b)/22,1,Commercial Ganja / Cannabis,INTERMEDIATE_QUANTITY,CHARGESHEET_FILED
FIR-PUD-2026-0009,28,Pudukkottai,PS-PUD-B1,2026-02-05 12:37:26,NDPS ACT SEC 8(c)/20(b)/22,1,Commercial Ganja / Cannabis,COMMERCIAL_QUANTITY,PENDING_TRIAL
FIR-KAN-2026-0010,14,Kanniyakumari,PS-KAN-B4,2025-11-27 17:42:27,NDPS ACT SEC 8(c)/20(b)/22,1,Commercial Ganja / Cannabis,COMMERCIAL_QUANTITY,UNDER_INVESTIGATION
FIR-THO-2026-0011,13,Thoothukudi,PS-THO-B3,2025-02-01 02:42:41,NDPS ACT SEC 8(c)/20(b)/22,6,Unclassified / Suspicious Substance,COMMERCIAL_QUANTITY,CHARGESHEET_FILED
FIR-DHA-2026-0012,22,Dharmapuri,PS-DHA-B4,2026-01-23 12:22:26,NDPS ACT SEC 8(c)/20(b)/22,4,Chemical Precursors / Ephedrine,COMMERCIAL_QUANTITY,PENDING_TRIAL
FIR-KRI-2026-0013,10,Krishnagiri,PS-KRI-B3,2025-06-05 15:08:24,NDPS ACT SEC 8(c)/20(b)/22,1,Commercial Ganja / Cannabis,INTERMEDIATE_QUANTITY,PENDING_TRIAL
FIR-ERO-2026-0014,7,Erode,PS-ERO-B4,2026-03-04 16:58:30,NDPS ACT SEC 8(c)/20(b)/22,5,Opioid Analogues / Brown Sugar / Heroin,COMMERCIAL_QUANTITY,PENDING_TRIAL
FIR-CUD-2026-0015,19,Cuddalore,PS-CUD-B3,2025-10-09 05:50:40,NDPS ACT SEC 8(c)/20(b)/22,1,Commercial Ganja / Cannabis,COMMERCIAL_QUANTITY,UNDER_INVESTIGATION
FIR-RAM-2026-0016,30,Ramanathapuram,PS-RAM-B2,2026-04-13 20:19:56,NDPS ACT SEC 8(c)/20(b)/22,2,Synthetic Stimulants / MDMA / Meth,INTERMEDIATE_QUANTITY,PENDING_TRIAL
FIR-VEL-2026-0017,9,Vellore,PS-VEL-B3,2026-01-01 01:35:19,NDPS ACT SEC 8(c)/20(b)/22,5,Opioid Analogues / Brown Sugar / Heroin,SMALL_QUANTITY,PENDING_TRIAL
FIR-CUD-2026-0018,19,Cuddalore,PS-CUD-B1,2025-01-25 20:55:52,NDPS ACT SEC 8(c)/20(b)/22,1,Commercial Ganja / Cannabis,COMMERCIAL_QUANTITY,PENDING_TRIAL
FIR-TIR-2026-0019,6,Tirunelveli,PS-TIR-B4,2026-07-22 20:48:08,NDPS ACT SEC 8(c)/20(b)/22,4,Chemical Precursors / Ephedrine,INTERMEDIATE_QUANTITY,CHARGESHEET_FILED
FIR-ERO-2026-0020,7,Erode,PS-ERO-B3,2026-01-21 04:45:08,NDPS ACT SEC 8(c)/20(b)/22,6,Unclassified / Suspicious Substance,COMMERCIAL_QUANTITY,UNDER_INVESTIGATION
FIR-TIR-2026-0021,38,Tiruvannamalai,PS-TIR-B1,2026-06-19 10:25:04,NDPS ACT SEC 8(c)/20(b)/22,1,Commercial Ganja / Cannabis,INTERMEDIATE_QUANTITY,PENDING_TRIAL
FIR-DIN-2026-0022,11,Dindigul,PS-DIN-B2,2025-10-20 19:13:00,NDPS ACT SEC 8(c)/20(b)/22,4,Chemical Precursors / Ephedrine,SMALL_QUANTITY,CHARGESHEET_FILED
FIR-TEN-2026-0023,15,Tenkasi,PS-TEN-B1,2025-05-30 18:09:33,NDPS ACT SEC 8(c)/20(b)/22,4,Chemical Precursors / Ephedrine,SMALL_QUANTITY,CHARGESHEET_FILED
FIR-CHE-2026-0024,1,Chennai,PS-CHE-B4,2026-07-14 01:45:54,NDPS ACT SEC 8(c)/20(b)/22,6,Unclassified / Suspicious Substance,COMMERCIAL_QUANTITY,PENDING_TRIAL
FIR-TIR-2026-0025,38,Tiruvannamalai,PS-TIR-B3,2025-12-29 21:13:14,NDPS ACT SEC 8(c)/20(b)/22,2,Synthetic Stimulants / MDMA / Meth,COMMERCIAL_QUANTITY,PENDING_TRIAL
FIR-DIN-2026-0026,11,Dindigul,PS-DIN-B1,2025-08-29 21:54:34,NDPS ACT SEC 8(c)/20(b)/22,1,Commercial Ganja / Cannabis,SMALL_QUANTITY,UNDER_INVESTIGATION
FIR-KAN-2026-0027,16,Kancheepuram,PS-KAN-B1,2025-07-16 08:38:07,NDPS ACT SEC 8(c)/20(b)/22,3,Prescription Narcotics / Codeine / Alprazolam,SMALL_QUANTITY,UNDER_INVESTIGATION
FIR-DHA-2026-0028,22,Dharmapuri,PS-DHA-B4,2024-11-14 11:56:58,NDPS ACT SEC 8(c)/20(b)/22,2,Synthetic Stimulants / MDMA / Meth,SMALL_QUANTITY,PENDING_TRIAL
FIR-COI-2026-0029,2,Coimbatore,PS-COI-B3,2025-10-13 05:20:58,NDPS ACT SEC 8(c)/20(b)/22,6,Unclassified / Suspicious Substance,SMALL_QUANTITY,PENDING_TRIAL
FIR-TIR-2026-0030,18,Tiruvallur,PS-TIR-B3,2026-03-18 04:31:08,NDPS ACT SEC 8(c)/20(b)/22,3,Prescription Narcotics / Codeine / Alprazolam,INTERMEDIATE_QUANTITY,CHARGESHEET_FILED
FIR-KAL-2026-0031,21,Kallakurichi,PS-KAL-B4,2025-10-25 14:20:46,NDPS ACT SEC 8(c)/20(b)/22,1,Commercial Ganja / Cannabis,SMALL_QUANTITY,UNDER_INVESTIGATION
FIR-MAD-2026-0032,3,Madurai,PS-MAD-B2,2025-06-17 14:17:41,NDPS ACT SEC 8(c)/20(b)/22,6,Unclassified / Suspicious Substance,COMMERCIAL_QUANTITY,PENDING_TRIAL
FIR-KAN-2026-0033,16,Kancheepuram,PS-KAN-B3,2025-04-18 20:33:44,NDPS ACT SEC 8(c)/20(b)/22,4,Chemical Precursors / Ephedrine,SMALL_QUANTITY,PENDING_TRIAL
FIR-RAM-2026-0034,30,Ramanathapuram,PS-RAM-B2,2024-12-14 22:20:47,NDPS ACT SEC 8(c)/20(b)/22,4,Chemical Precursors / Ephedrine,SMALL_QUANTITY,CHARGESHEET_FILED
FIR-SIV-2026-0035,29,Sivaganga,PS-SIV-B4,2026-03-11 18:22:00,NDPS ACT SEC 8(c)/20(b)/22,3,Prescription Narcotics / Codeine / Alprazolam,SMALL_QUANTITY,UNDER_INVESTIGATION
FIR-MAY-2026-0036,35,Mayiladuthurai,PS-MAY-B1,2024-12-22 16:42:22,NDPS ACT SEC 8(c)/20(b)/22,1,Commercial Ganja / Cannabis,INTERMEDIATE_QUANTITY,PENDING_TRIAL
FIR-TIR-2026-0037,38,Tiruvannamalai,PS-TIR-B4,2025-03-16 10:29:32,NDPS ACT SEC 8(c)/20(b)/22,6,Unclassified / Suspicious Substance,COMMERCIAL_QUANTITY,CHARGESHEET_FILED
FIR-TIR-2026-0038,18,Tiruvallur,PS-TIR-B1,2025-05-29 02:50:53,NDPS ACT SEC 8(c)/20(b)/22,2,Synthetic Stimulants / MDMA / Meth,SMALL_QUANTITY,CHARGESHEET_FILED
FIR-ARI-2026-0039,26,Ariyalur,PS-ARI-B4,2026-01-16 20:16:06,NDPS ACT SEC 8(c)/20(b)/22,5,Opioid Analogues / Brown Sugar / Heroin,SMALL_QUANTITY,PENDING_TRIAL
FIR-CUD-2026-0040,19,Cuddalore,PS-CUD-B2,2026-06-13 09:45:29,NDPS ACT SEC 8(c)/20(b)/22,2,Synthetic Stimulants / MDMA / Meth,INTERMEDIATE_QUANTITY,CHARGESHEET_FILED
FIR-CHE-2026-0041,1,Chennai,PS-CHE-B1,2025-08-29 17:25:04,NDPS ACT SEC 8(c)/20(b)/22,2,Synthetic Stimulants / MDMA / Meth,INTERMEDIATE_QUANTITY,CHARGESHEET_FILED
FIR-NAG-2026-0042,34,Nagapattinam,PS-NAG-B2,2025-02-24 00:19:11,NDPS ACT SEC 8(c)/20(b)/22,6,Unclassified / Suspicious Substance,INTERMEDIATE_QUANTITY,PENDING_TRIAL
FIR-KAL-2026-0043,21,Kallakurichi,PS-KAL-B1,2024-12-18 23:26:08,NDPS ACT SEC 8(c)/20(b)/22,1,Commercial Ganja / Cannabis,INTERMEDIATE_QUANTITY,PENDING_TRIAL
FIR-NAG-2026-0044,34,Nagapattinam,PS-NAG-B4,2026-01-01 03:47:59,NDPS ACT SEC 8(c)/20(b)/22,1,Commercial Ganja / Cannabis,SMALL_QUANTITY,UNDER_INVESTIGATION
FIR-NAM-2026-0045,23,Namakkal,PS-NAM-B1,2025-03-16 08:39:12,NDPS ACT SEC 8(c)/20(b)/22,4,Chemical Precursors / Ephedrine,SMALL_QUANTITY,CHARGESHEET_FILED
FIR-CUD-2026-0046,19,Cuddalore,PS-CUD-B4,2025-10-22 21:07:00,NDPS ACT SEC 8(c)/20(b)/22,1,Commercial Ganja / Cannabis,SMALL_QUANTITY,CHARGESHEET_FILED
FIR-THA-2026-0047,12,Thanjavur,PS-THA-B3,2025-12-17 02:10:36,NDPS ACT SEC 8(c)/20(b)/22,5,Opioid Analogues / Brown Sugar / Heroin,SMALL_QUANTITY,UNDER_INVESTIGATION
FIR-KAN-2026-0048,16,Kancheepuram,PS-KAN-B2,2024-11-18 07:24:18,NDPS ACT SEC 8(c)/20(b)/22,4,Chemical Precursors / Ephedrine,INTERMEDIATE_QUANTITY,UNDER_INVESTIGATION
FIR-CUD-2026-0049,19,Cuddalore,PS-CUD-B2,2024-12-21 02:25:25,NDPS ACT SEC 8(c)/20(b)/22,6,Unclassified / Suspicious Substance,SMALL_QUANTITY,PENDING_TRIAL
FIR-COI-2026-0050,2,Coimbatore,PS-COI-B1,2025-05-16 03:24:56,NDPS ACT SEC 8(c)/20(b)/22,2,Synthetic Stimulants / MDMA / Meth,SMALL_QUANTITY,PENDING_TRIAL
FIR-SAL-2026-0051,4,Salem,PS-SAL-B1,2026-03-12 08:34:08,NDPS ACT SEC 8(c)/20(b)/22,4,Chemical Precursors / Ephedrine,INTERMEDIATE_QUANTITY,CHARGESHEET_FILED
FIR-KAL-2026-0052,21,Kallakurichi,PS-KAL-B1,2025-04-19 10:15:30,NDPS ACT SEC 8(c)/20(b)/22,4,Chemical Precursors / Ephedrine,COMMERCIAL_QUANTITY,PENDING_TRIAL
FIR-TIR-2026-0053,18,Tiruvallur,PS-TIR-B1,2025-09-13 09:24:19,NDPS ACT SEC 8(c)/20(b)/22,1,Commercial Ganja / Cannabis,INTERMEDIATE_QUANTITY,UNDER_INVESTIGATION
FIR-TIR-2026-0054,5,Tiruchirappalli,PS-TIR-B1,2026-04-22 02:43:10,NDPS ACT SEC 8(c)/20(b)/22,5,Opioid Analogues / Brown Sugar / Heroin,SMALL_QUANTITY,UNDER_INVESTIGATION
FIR-NAM-2026-0055,23,Namakkal,PS-NAM-B2,2025-11-28 00:42:11,NDPS ACT SEC 8(c)/20(b)/22,5,Opioid Analogues / Brown Sugar / Heroin,COMMERCIAL_QUANTITY,PENDING_TRIAL
