seizure_id,district_id,district_name,locality_name,seizure_timestamp,category_id,category_name,seized_quantity,unit_of_measure,seizure_context
SEZ-2026-00001,8,Tiruppur,Tiruppur Central Campus Zone,2025-03-20 15:14:26,4,Chemical Precursors / Ephedrine,11.84,BLISTER_STRIPS,POSTAL_PARCEL_HOLD
SEZ-2026-00002,26,Ariyalur,Ariyalur Central Industrial Bypass,2026-05-20 02:16:07,5,Opioid Analogues / Brown Sugar / Heroin,34.59,KG,HIGHWAY_INTERCEPTION
SEZ-2026-00003,37,Tirupathur,Tirupathur West Campus Zone,2025-06-07 00:38:23,1,Commercial Ganja / Cannabis,14.51,BLISTER_STRIPS,WAREHOUSE_RAID
SEZ-2026-00004,13,Thoothukudi,Thoothukudi West Market,2025-07-23 19:36:24,1,Commercial Ganja / Cannabis,19.93,LITRES,HIGHWAY_INTERCEPTION
SEZ-2026-00005,2,Coimbatore,Coimbatore West Industrial Bypass,2024-11-30 09:04:04,2,Synthetic Stimulants / MDMA / Meth,31.92,VIALS,WAREHOUSE_RAID
SEZ-2026-00006,30,Ramanathapuram,Ramanathapuram North Campus Zone,2025-05-25 14:43:38,3,Prescription Narcotics / Codeine / Alprazolam,32.20,BLISTER_STRIPS,WAREHOUSE_RAID
SEZ-2026-00007,8,Tiruppur,Tiruppur South Industrial Bypass,2025-01-22 07:01:01,1,Commercial Ganja / Cannabis,37.69,BLISTER_STRIPS,HIGHWAY_INTERCEPTION
SEZ-2026-00008,30,Ramanathapuram,Ramanathapuram South Market,2025-06-22 22:17:35,3,Prescription Narcotics / Codeine / Alprazolam,30.83,BLISTER_STRIPS,HIGHWAY_INTERCEPTION
SEZ-2026-00009,20,Viluppuram,Viluppuram South Market,2025-09-26 03:40:57,1,Commercial Ganja / Cannabis,35.30,KG,HIGHWAY_INTERCEPTION
SEZ-2026-00010,27,Perambalur,Perambalur Central Campus Zone,2025-04-29 05:37:18,3,Prescription Narcotics / Codeine / Alprazolam,16.51,LITRES,POSTAL_PARCEL_HOLD
SEZ-2026-00011,25,Karur,Karur East Industrial Bypass,2025-06-11 14:20:51,4,Chemical Precursors / Ephedrine,20.47,LITRES,POSTAL_PARCEL_HOLD
SEZ-2026-00012,5,Tiruchirappalli,Tiruchirappalli West Industrial Bypass,2026-06-25 09:34:28,6,Unclassified / Suspicious Substance,2.36,BLISTER_STRIPS,WAREHOUSE_RAID
SEZ-2026-00013,24,Nilgiris,Nilgiris North Market,2025-03-23 15:59:01,1,Commercial Ganja / Cannabis,8.39,VIALS,POSTAL_PARCEL_HOLD
SEZ-2026-00014,24,Nilgiris,Nilgiris North Campus Zone,2024-11-13 09:32:44,6,Unclassified / Suspicious Substance,4.29,BLISTER_STRIPS,HIGHWAY_INTERCEPTION
SEZ-2026-00015,1,Chennai,Chennai West Market,2026-02-10 15:41:23,3,Prescription Narcotics / Codeine / Alprazolam,2.95,LITRES,HIGHWAY_INTERCEPTION
SEZ-2026-00016,34,Nagapattinam,Nagapattinam South Market,2026-04-22 04:42:04,3,Prescription Narcotics / Codeine / Alprazolam,4.06,LITRES,HIGHWAY_INTERCEPTION
