health_signal_id,district_id,district_name,reported_date,facility_type,aggregate_signal_type,category_id,category_name,aggregate_count
HLT-2026-00001,32,Theni,2025-04-22 13:46:23,LICENSED_REHAB_CENTER,SUBSTANCE_CONSULTATION,5,Opioid Analogues / Brown Sugar / Heroin,20
HLT-2026-00002,18,Tiruvallur,2025-02-16 17:16:22,LICENSED_REHAB_CENTER,TOXICOLOGY_SCREEN_AGGREGATE,2,Synthetic Stimulants / MDMA / Meth,11
HLT-2026-00003,34,Nagapattinam,2025-05-04 01:55:50,DISTRICT_HEADQUARTERS_HOSPITAL,SUBSTANCE_CONSULTATION,6,Unclassified / Suspicious Substance,14
HLT-2026-00004,28,Pudukkottai,2026-02-25 02:35:50,LICENSED_REHAB_CENTER,TOXICOLOGY_SCREEN_AGGREGATE,6,Unclassified / Suspicious Substance,16
HLT-2026-00005,23,Namakkal,2026-05-22 09:05:16,LICENSED_REHAB_CENTER,TOXICOLOGY_SCREEN_AGGREGATE,6,Unclassified / Suspicious Substance,7
HLT-2026-00006,1,Chennai,2024-12-04 06:08:30,DISTRICT_HEADQUARTERS_HOSPITAL,SUBSTANCE_CONSULTATION,4,Chemical Precursors / Ephedrine,20
HLT-2026-00007,34,Nagapattinam,2026-05-28 04:03:42,LICENSED_REHAB_CENTER,TOXICOLOGY_SCREEN_AGGREGATE,5,Opioid Analogues / Brown Sugar / Heroin,8
HLT-2026-00008,18,Tiruvallur,2026-03-01 22:29:03,DISTRICT_HEADQUARTERS_HOSPITAL,TOXICOLOGY_SCREEN_AGGREGATE,5,Opioid Analogues / Brown Sugar / Heroin,18
HLT-2026-00009,11,Dindigul,2026-04-29 18:26:01,DISTRICT_HEADQUARTERS_HOSPITAL,SUBSTANCE_CONSULTATION,2,Synthetic Stimulants / MDMA / Meth,4
HLT-2026-00010,16,Kancheepuram,2026-03-31 09:27:22,LICENSED_REHAB_CENTER,TOXICOLOGY_SCREEN_AGGREGATE,6,Unclassified / Suspicious Substance,14
HLT-2026-00011,9,Vellore,2026-03-24 16:04:29,GOVT_MEDICAL_COLLEGE_PSYCH,TOXICOLOGY_SCREEN_AGGREGATE,2,Synthetic Stimulants / MDMA / Meth,20
HLT-2026-00012,29,Sivaganga,2025-01-07 03:44:38,DISTRICT_HEADQUARTERS_HOSPITAL,TOXICOLOGY_SCREEN_AGGREGATE,4,Chemical Precursors / Ephedrine,18
HLT-2026-00013,31,Virudhunagar,2024-11-15 16:27:43,DISTRICT_HEADQUARTERS_HOSPITAL,SUBSTANCE_CONSULTATION,4,Chemical Precursors / Ephedrine,20
HLT-2026-00014,11,Dindigul,2025-11-12 20:50:10,DISTRICT_HEADQUARTERS_HOSPITAL,WITHDRAWAL_ADMISSION,5,Opioid Analogues / Brown Sugar / Heroin,4
HLT-2026-00015,25,Karur,2025-12-12 01:04:57,LICENSED_REHAB_CENTER,TOXICOLOGY_SCREEN_AGGREGATE,5,Opioid Analogues / Brown Sugar / Heroin,3
HLT-2026-00016,26,Ariyalur,2025-12-18 16:25:07,LICENSED_REHAB_CENTER,WITHDRAWAL_ADMISSION,5,Opioid Analogues / Brown Sugar / Heroin,17
HLT-2026-00017,25,Karur,2025-02-15 13:03:27,LICENSED_REHAB_CENTER,TOXICOLOGY_SCREEN_AGGREGATE,4,Chemical Precursors / Ephedrine,14
HLT-2026-00018,24,Nilgiris,2025-04-18 01:49:51,LICENSED_REHAB_CENTER,WITHDRAWAL_ADMISSION,4,Chemical Precursors / Ephedrine,10
HLT-2026-00019,26,Ariyalur,2026-07-07 23:41:22,LICENSED_REHAB_CENTER,WITHDRAWAL_ADMISSION,1,Commercial Ganja / Cannabis,4
HLT-2026-00020,16,Kancheepuram,2025-03-15 20:39:39,GOVT_MEDICAL_COLLEGE_PSYCH,SUBSTANCE_CONSULTATION,3,Prescription Narcotics / Codeine / Alprazolam,19
HLT-2026-00021,18,Tiruvallur,2025-04-14 20:18:32,GOVT_MEDICAL_COLLEGE_PSYCH,WITHDRAWAL_ADMISSION,6,Unclassified / Suspicious Substance,20
HLT-2026-00022,28,Pudukkottai,2026-07-30 13:00:47,DISTRICT_HEADQUARTERS_HOSPITAL,SUBSTANCE_CONSULTATION,5,Opioid Analogues / Brown Sugar / Heroin,22
HLT-2026-00023,36,Ranipet,2025-02-22 21:01:46,GOVT_MEDICAL_COLLEGE_PSYCH,SUBSTANCE_CONSULTATION,1,Commercial Ganja / Cannabis,10
HLT-2026-00024,5,Tiruchirappalli,2026-03-26 19:20:23,DISTRICT_HEADQUARTERS_HOSPITAL,TOXICOLOGY_SCREEN_AGGREGATE,4,Chemical Precursors / Ephedrine,3
HLT-2026-00025,38,Tiruvannamalai,2025-10-20 22:37:46,GOVT_MEDICAL_COLLEGE_PSYCH,SUBSTANCE_CONSULTATION,5,Opioid Analogues / Brown Sugar / Heroin,8
HLT-2026-00026,9,Vellore,2024-11-30 23:22:19,GOVT_MEDICAL_COLLEGE_PSYCH,TOXICOLOGY_SCREEN_AGGREGATE,5,Opioid Analogues / Brown Sugar / Heroin,6
HLT-2026-00027,18,Tiruvallur,2026-05-27 11:35:14,GOVT_MEDICAL_COLLEGE_PSYCH,WITHDRAWAL_ADMISSION,4,Chemical Precursors / Ephedrine,14
