snapshot_id,district_id,district_name,snapshot_timestamp,risk_indicator,velocity_ratio,confidence_score,coverage_status,trend_classification
RZ-HIST-00001,15,Tenkasi,2026-05-16 03:47:00,WATCH,2.3,68,LIMITED,BASELINE_STABLE
RZ-HIST-00002,28,Pudukkottai,2026-03-14 09:00:16,LOW,0.8,61,MODERATE,LIMITED_COVERAGE_GAP
RZ-HIST-00003,17,Chengalpattu,2025-02-27 17:33:04,INCREASING,2.1,78,GOOD,RAPID_ACCELERATION
RZ-HIST-00004,21,Kallakurichi,2025-05-29 04:01:10,LOW,0.6,58,LIMITED,LIMITED_COVERAGE_GAP
RZ-HIST-00005,9,Vellore,2024-11-04 00:51:14,INCREASING,2.2,76,GOOD,BASELINE_STABLE
RZ-HIST-00006,28,Pudukkottai,2025-08-06 17:16:38,LOW,0.8,61,MODERATE,RAPID_ACCELERATION
RZ-HIST-00007,29,Sivaganga,2025-02-07 15:47:32,LOW,0.6,59,LIMITED,DECELERATING
RZ-HIST-00008,23,Namakkal,2024-11-21 07:49:35,WATCH,0.9,68,MODERATE,LIMITED_COVERAGE_GAP
RZ-HIST-00009,33,Thiruvarur,2025-11-24 21:10:46,LOW,0.5,56,LIMITED,LIMITED_COVERAGE_GAP
RZ-HIST-00010,11,Dindigul,2025-11-12 07:40:59,WATCH,0.9,68,MODERATE,RAPID_ACCELERATION
RZ-HIST-00011,30,Ramanathapuram,2026-02-05 19:57:30,WATCH,1.5,71,MODERATE,LIMITED_COVERAGE_GAP
RZ-HIST-00012,34,Nagapattinam,2026-02-19 20:52:29,WATCH,1.2,68,MODERATE,DECELERATING
RZ-HIST-00013,19,Cuddalore,2025-04-15 17:23:47,LOW,0.8,62,MODERATE,DECELERATING
RZ-HIST-00014,21,Kallakurichi,2025-04-10 23:32:04,LOW,0.6,58,LIMITED,RAPID_ACCELERATION
RZ-HIST-00015,5,Tiruchirappalli,2025-08-18 06:12:21,WATCH,1.1,74,GOOD,RAPID_ACCELERATION
RZ-HIST-00016,12,Thanjavur,2026-07-24 12:11:11,LOW,0.7,64,MODERATE,BASELINE_STABLE
RZ-HIST-00017,8,Tiruppur,2025-05-09 20:28:07,INCREASING,2.8,80,GOOD,DECELERATING
RZ-HIST-00018,28,Pudukkottai,2025-02-21 21:06:25,LOW,0.8,61,MODERATE,DECELERATING
RZ-HIST-00019,35,Mayiladuthurai,2024-12-04 04:45:51,LOW,0.6,58,LIMITED,RAPID_ACCELERATION
RZ-HIST-00020,3,Madurai,2025-06-04 17:34:56,INCREASING,2.1,78,GOOD,RAPID_ACCELERATION
RZ-HIST-00021,25,Karur,2025-09-14 04:20:48,LOW,0.7,60,MODERATE,LIMITED_COVERAGE_GAP
RZ-HIST-00022,38,Tiruvannamalai,2025-03-23 18:30:47,WATCH,1.1,70,GOOD,LIMITED_COVERAGE_GAP
RZ-HIST-00023,11,Dindigul,2025-01-20 08:26:49,WATCH,0.9,68,MODERATE,BASELINE_STABLE
RZ-HIST-00024,6,Tirunelveli,2026-05-16 05:42:38,WATCH,1,72,MODERATE,DECELERATING
RZ-HIST-00025,10,Krishnagiri,2025-07-20 07:29:15,HIGH PREVENTIVE ATTENTION,4.8,85,GOOD,LIMITED_COVERAGE_GAP
RZ-HIST-00026,37,Tirupathur,2025-06-01 11:33:09,WATCH,1.2,67,MODERATE,BASELINE_STABLE
RZ-HIST-00027,14,Kanniyakumari,2025-01-04 06:44:54,WATCH,1.1,70,MODERATE,BASELINE_STABLE
RZ-HIST-00028,21,Kallakurichi,2025-05-25 22:52:15,LOW,0.6,58,LIMITED,DECELERATING
RZ-HIST-00029,10,Krishnagiri,2025-06-02 09:27:38,HIGH PREVENTIVE ATTENTION,4.8,85,GOOD,RAPID_ACCELERATION
RZ-HIST-00030,10,Krishnagiri,2026-06-05 09:01:17,HIGH PREVENTIVE ATTENTION,4.8,85,GOOD,DECELERATING
RZ-HIST-00031,29,Sivaganga,2026-06-25 11:42:43,LOW,0.6,59,LIMITED,BASELINE_STABLE
RZ-HIST-00032,11,Dindigul,2026-07-02 02:38:54,WATCH,0.9,68,MODERATE,LIMITED_COVERAGE_GAP
RZ-HIST-00033,16,Kancheepuram,2026-02-22 08:23:15,WATCH,1,72,GOOD,LIMITED_COVERAGE_GAP
RZ-HIST-00034,20,Viluppuram,2024-12-10 16:15:07,WATCH,1,65,MODERATE,RAPID_ACCELERATION
RZ-HIST-00035,28,Pudukkottai,2025-09-19 10:29:32,LOW,0.8,61,MODERATE,BASELINE_STABLE
RZ-HIST-00036,25,Karur,2025-12-11 21:45:42,LOW,0.7,60,MODERATE,RAPID_ACCELERATION
RZ-HIST-00037,3,Madurai,2026-08-19 09:04:30,INCREASING,2.1,78,GOOD,RAPID_ACCELERATION
RZ-HIST-00038,14,Kanniyakumari,2026-01-16 07:17:51,WATCH,1.1,70,MODERATE,BASELINE_STABLE
RZ-HIST-00039,31,Virudhunagar,2025-08-24 20:50:52,WATCH,1,69,MODERATE,LIMITED_COVERAGE_GAP
RZ-HIST-00040,9,Vellore,2025-12-09 23:28:20,INCREASING,2.2,76,GOOD,BASELINE_STABLE
RZ-HIST-00041,26,Ariyalur,2025-08-20 09:08:39,INSUFFICIENT_DATA,0.3,42,LIMITED,LIMITED_COVERAGE_GAP
RZ-HIST-00042,37,Tirupathur,2025-02-15 09:25:27,WATCH,1.2,67,MODERATE,BASELINE_STABLE
RZ-HIST-00043,3,Madurai,2026-05-25 06:00:16,INCREASING,2.1,78,GOOD,LIMITED_COVERAGE_GAP
RZ-HIST-00044,4,Salem,2025-01-17 01:37:58,INCREASING,2.4,82,GOOD,DECELERATING
RZ-HIST-00045,25,Karur,2025-09-17 14:07:01,LOW,0.7,60,MODERATE,DECELERATING
RZ-HIST-00046,5,Tiruchirappalli,2025-05-05 14:30:16,WATCH,1.1,74,GOOD,DECELERATING
RZ-HIST-00047,29,Sivaganga,2026-06-04 14:11:29,LOW,0.6,59,LIMITED,RAPID_ACCELERATION
RZ-HIST-00048,15,Tenkasi,2025-05-23 21:19:41,WATCH,2.3,68,LIMITED,BASELINE_STABLE
RZ-HIST-00049,10,Krishnagiri,2025-12-04 16:00:37,HIGH PREVENTIVE ATTENTION,4.8,85,GOOD,RAPID_ACCELERATION
RZ-HIST-00050,2,Coimbatore,2026-01-06 20:45:07,HIGH PREVENTIVE ATTENTION,6,88,GOOD,DECELERATING
RZ-HIST-00051,25,Karur,2024-10-17 17:16:52,LOW,0.7,60,MODERATE,LIMITED_COVERAGE_GAP
RZ-HIST-00052,8,Tiruppur,2026-06-18 05:14:02,INCREASING,2.8,80,GOOD,BASELINE_STABLE
RZ-HIST-00053,28,Pudukkottai,2025-02-01 17:57:08,LOW,0.8,61,MODERATE,RAPID_ACCELERATION
RZ-HIST-00054,38,Tiruvannamalai,2025-06-17 04:28:54,WATCH,1.1,70,GOOD,BASELINE_STABLE
RZ-HIST-00055,2,Coimbatore,2025-10-16 02:22:58,HIGH PREVENTIVE ATTENTION,6,88,GOOD,RAPID_ACCELERATION
RZ-HIST-00056,25,Karur,2025-05-07 12:12:01,LOW,0.7,60,MODERATE,DECELERATING
RZ-HIST-00057,12,Thanjavur,2025-05-06 18:27:26,LOW,0.7,64,MODERATE,BASELINE_STABLE
RZ-HIST-00058,25,Karur,2025-01-12 20:11:42,LOW,0.7,60,MODERATE,RAPID_ACCELERATION
RZ-HIST-00059,34,Nagapattinam,2025-06-24 08:32:58,WATCH,1.2,68,MODERATE,RAPID_ACCELERATION
RZ-HIST-00060,1,Chennai,2024-10-07 14:11:54,HIGH PREVENTIVE ATTENTION,3.5,84,GOOD,RAPID_ACCELERATION
RZ-HIST-00061,12,Thanjavur,2026-06-05 15:09:25,LOW,0.7,64,MODERATE,RAPID_ACCELERATION
RZ-HIST-00062,18,Tiruvallur,2025-10-26 00:31:51,INCREASING,2.3,80,GOOD,BASELINE_STABLE
RZ-HIST-00063,30,Ramanathapuram,2025-02-25 08:44:02,WATCH,1.5,71,MODERATE,RAPID_ACCELERATION
RZ-HIST-00064,2,Coimbatore,2026-04-06 22:11:40,HIGH PREVENTIVE ATTENTION,6,88,GOOD,BASELINE_STABLE
RZ-HIST-00065,1,Chennai,2025-08-30 22:37:27,HIGH PREVENTIVE ATTENTION,3.5,84,GOOD,LIMITED_COVERAGE_GAP
RZ-HIST-00066,12,Thanjavur,2026-06-26 06:46:43,LOW,0.7,64,MODERATE,RAPID_ACCELERATION
RZ-HIST-00067,21,Kallakurichi,2025-09-03 13:15:07,LOW,0.6,58,LIMITED,RAPID_ACCELERATION
RZ-HIST-00068,9,Vellore,2025-10-28 16:44:04,INCREASING,2.2,76,GOOD,LIMITED_COVERAGE_GAP
RZ-HIST-00069,14,Kanniyakumari,2025-07-30 18:52:07,WATCH,1.1,70,MODERATE,BASELINE_STABLE
RZ-HIST-00070,22,Dharmapuri,2024-12-01 12:48:24,WATCH,1.4,66,MODERATE,LIMITED_COVERAGE_GAP
RZ-HIST-00071,26,Ariyalur,2026-07-03 10:01:07,INSUFFICIENT_DATA,0.3,42,LIMITED,DECELERATING
RZ-HIST-00072,25,Karur,2024-11-16 07:05:05,LOW,0.7,60,MODERATE,RAPID_ACCELERATION
RZ-HIST-00073,23,Namakkal,2025-03-08 14:21:39,WATCH,0.9,68,MODERATE,RAPID_ACCELERATION
RZ-HIST-00074,18,Tiruvallur,2025-08-14 18:13:04,INCREASING,2.3,80,GOOD,DECELERATING
RZ-HIST-00075,38,Tiruvannamalai,2026-08-18 09:00:20,WATCH,1.1,70,GOOD,BASELINE_STABLE
RZ-HIST-00076,2,Coimbatore,2025-02-23 23:17:18,HIGH PREVENTIVE ATTENTION,6,88,GOOD,RAPID_ACCELERATION
RZ-HIST-00077,36,Ranipet,2025-03-29 02:53:57,WATCH,1.6,72,GOOD,BASELINE_STABLE
RZ-HIST-00078,14,Kanniyakumari,2026-08-05 12:52:33,WATCH,1.1,70,MODERATE,BASELINE_STABLE
RZ-HIST-00079,33,Thiruvarur,2024-12-16 21:07:33,LOW,0.5,56,LIMITED,DECELERATING
RZ-HIST-00080,37,Tirupathur,2026-02-09 05:04:26,WATCH,1.2,67,MODERATE,BASELINE_STABLE
RZ-HIST-00081,15,Tenkasi,2025-07-27 14:09:01,WATCH,2.3,68,LIMITED,LIMITED_COVERAGE_GAP
RZ-HIST-00082,7,Erode,2025-06-28 14:11:12,WATCH,1.2,75,GOOD,DECELERATING
RZ-HIST-00083,5,Tiruchirappalli,2025-02-11 10:13:53,WATCH,1.1,74,GOOD,RAPID_ACCELERATION
RZ-HIST-00084,2,Coimbatore,2024-10-20 11:23:52,HIGH PREVENTIVE ATTENTION,6,88,GOOD,BASELINE_STABLE
