signal_id,district_id,district_name,taluk_id,locality_id,locality_name,timestamp,category_id,category_name,lifecycle_state,transition_trigger,confidence_score
EMG-SIG-00001,5,Tiruchirappalli,24,71,Tiruchirappalli West Campus Zone,2024-12-26 19:15:36,2,Synthetic Stimulants / MDMA / Meth,EMERGING,FIRST_TIME_ANOMALY,92
EMG-SIG-00002,10,Krishnagiri,48,143,Krishnagiri East Campus Zone,2026-06-03 04:53:09,5,Opioid Analogues / Brown Sugar / Heroin,PERSISTENT,MULTI_SOURCE_CORROBORATION,82
EMG-SIG-00003,28,Pudukkottai,140,418,Pudukkottai Central Market,2024-11-07 05:28:20,6,Unclassified / Suspicious Substance,DISMISSED,FIRST_TIME_ANOMALY,65
EMG-SIG-00004,12,Thanjavur,58,174,Thanjavur East Industrial Bypass,2025-02-27 09:49:33,3,Prescription Narcotics / Codeine / Alprazolam,UNVERIFIED,MULTI_SOURCE_CORROBORATION,67
EMG-SIG-00005,8,Tiruppur,37,110,Tiruppur South Campus Zone,2025-09-23 05:01:34,2,Synthetic Stimulants / MDMA / Meth,CORROBORATED,MICRO_CLUSTER_48H,93
EMG-SIG-00006,32,Theni,157,471,Theni South Industrial Bypass,2025-06-23 13:26:41,6,Unclassified / Suspicious Substance,EMERGING,MULTI_SOURCE_CORROBORATION,94
EMG-SIG-00007,23,Namakkal,111,333,Namakkal North Industrial Bypass,2025-12-29 01:13:40,1,Commercial Ganja / Cannabis,NEW_SIGNAL,FIRST_TIME_ANOMALY,78
EMG-SIG-00008,16,Kancheepuram,79,237,Kancheepuram West Industrial Bypass,2025-11-12 06:45:10,1,Commercial Ganja / Cannabis,UNVERIFIED,MULTI_SOURCE_CORROBORATION,78
EMG-SIG-00009,34,Nagapattinam,169,505,Nagapattinam West Market,2026-03-28 22:41:21,6,Unclassified / Suspicious Substance,CORROBORATED,MICRO_CLUSTER_48H,73
EMG-SIG-00010,31,Virudhunagar,155,465,Virudhunagar Central Industrial Bypass,2025-06-13 10:57:33,2,Synthetic Stimulants / MDMA / Meth,EMERGING,MULTI_SOURCE_CORROBORATION,71
