observation_id,district_id,district_name,window_start_date,signals_7d,signals_30d,signals_90d,checkpost_anomalies_count,subsequent_30d_surge_observed
TRN-ROW-00001,18,Tiruvallur,2026-05-09 10:11:29,7,33,6,3,1
TRN-ROW-00002,9,Vellore,2025-03-22 23:47:43,11,25,64,4,1
TRN-ROW-00003,25,Karur,2026-04-30 03:15:44,6,20,96,1,0
TRN-ROW-00004,1,Chennai,2024-10-27 03:15:03,5,17,97,4,1
TRN-ROW-00005,20,Viluppuram,2025-07-23 12:51:05,6,2,59,2,0
TRN-ROW-00006,31,Virudhunagar,2025-10-18 16:09:16,15,29,80,5,1
TRN-ROW-00007,35,Mayiladuthurai,2024-10-18 02:37:26,1,25,11,6,1
TRN-ROW-00008,9,Vellore,2024-09-15 05:40:15,7,21,8,3,1
TRN-ROW-00009,32,Theni,2026-01-26 19:43:47,7,18,60,1,0
TRN-ROW-00010,19,Cuddalore,2025-04-02 19:44:18,12,12,66,0,0
TRN-ROW-00011,8,Tiruppur,2026-03-11 02:06:22,12,30,6,0,1
TRN-ROW-00012,25,Karur,2025-07-08 21:44:40,1,24,16,5,1
TRN-ROW-00013,27,Perambalur,2026-04-15 00:09:47,10,9,81,6,1
TRN-ROW-00014,26,Ariyalur,2025-05-26 10:11:09,15,23,84,6,1
TRN-ROW-00015,33,Thiruvarur,2026-02-04 19:35:12,6,30,7,2,1
TRN-ROW-00016,35,Mayiladuthurai,2024-12-17 01:28:32,8,38,6,4,1
TRN-ROW-00017,37,Tirupathur,2025-07-17 23:22:36,1,12,83,5,1
TRN-ROW-00018,28,Pudukkottai,2026-03-12 21:36:55,9,20,75,4,1
TRN-ROW-00019,6,Tirunelveli,2025-08-04 21:30:19,7,29,73,3,1
TRN-ROW-00020,20,Viluppuram,2026-01-05 17:53:33,4,13,6,0,1
TRN-ROW-00021,13,Thoothukudi,2025-12-26 05:26:45,6,13,77,3,1
TRN-ROW-00022,10,Krishnagiri,2026-02-26 02:40:35,15,4,68,2,0
TRN-ROW-00023,34,Nagapattinam,2025-04-16 19:19:43,4,36,8,0,1
TRN-ROW-00024,34,Nagapattinam,2025-06-05 16:43:36,9,11,39,6,1
TRN-ROW-00025,5,Tiruchirappalli,2025-02-17 11:47:36,11,26,54,2,0
TRN-ROW-00026,7,Erode,2025-11-12 07:05:48,11,12,55,5,1
TRN-ROW-00027,30,Ramanathapuram,2025-06-26 14:33:14,3,10,36,2,0
TRN-ROW-00028,6,Tirunelveli,2026-03-07 06:17:29,6,27,8,5,1
TRN-ROW-00029,9,Vellore,2026-04-11 13:26:44,3,35,86,3,1
TRN-ROW-00030,7,Erode,2025-08-13 21:13:32,12,9,20,5,1
TRN-ROW-00031,21,Kallakurichi,2026-06-06 16:07:19,14,5,66,6,1
TRN-ROW-00032,29,Sivaganga,2026-05-21 01:39:29,6,38,36,2,1
TRN-ROW-00033,37,Tirupathur,2025-12-27 14:35:12,1,16,88,1,0
TRN-ROW-00034,31,Virudhunagar,2025-12-16 01:36:29,8,27,41,2,1
TRN-ROW-00035,2,Coimbatore,2026-02-19 02:36:46,5,5,43,5,1
TRN-ROW-00036,12,Thanjavur,2025-04-16 09:54:21,13,14,65,3,1
TRN-ROW-00037,35,Mayiladuthurai,2026-01-25 09:38:46,6,27,16,1,1
TRN-ROW-00038,35,Mayiladuthurai,2024-08-20 14:07:26,9,31,17,5,1
