ticket_id,associated_alert_id,district_id,district_name,assigned_officer_id,created_at,action_type,ticket_status,priority
TCK-2026-00001,ALT-2026-00170,17,Chengalpattu,OFFICER-TN-141,2026-07-02 22:18:46,CHECKPOST_ENHANCED_SURVEILLANCE,ACTION_COMPLETED,LOW
TCK-2026-00002,ALT-2026-00577,30,Ramanathapuram,OFFICER-TN-134,2025-05-28 04:02:35,CHECKPOST_ENHANCED_SURVEILLANCE,ACTION_COMPLETED,MEDIUM
TCK-2026-00003,ALT-2026-00320,19,Cuddalore,OFFICER-TN-186,2025-12-14 15:01:43,IMMEDIATE_PATROL_DISPATCH,ESCALATED,MEDIUM
TCK-2026-00004,ALT-2026-00321,14,Kanniyakumari,OFFICER-TN-104,2026-03-03 20:41:19,INTER_AGENCY_COORDINATION,CLOSED,MEDIUM
TCK-2026-00005,ALT-2026-00696,6,Tirunelveli,OFFICER-TN-176,2025-04-20 17:46:24,CHECKPOST_ENHANCED_SURVEILLANCE,ESCALATED,HIGH
TCK-2026-00006,ALT-2026-00337,34,Nagapattinam,OFFICER-TN-167,2025-05-05 14:04:50,HUMAN_INTELLIGENCE_INSPECTION,IN_PROGRESS,MEDIUM
TCK-2026-00007,ALT-2026-00566,35,Mayiladuthurai,OFFICER-TN-190,2025-09-21 01:18:27,INTER_AGENCY_COORDINATION,CLOSED,LOW
TCK-2026-00008,ALT-2026-00301,1,Chennai,OFFICER-TN-128,2025-01-18 21:36:33,HUMAN_INTELLIGENCE_INSPECTION,CLOSED,LOW
TCK-2026-00009,ALT-2026-00742,11,Dindigul,OFFICER-TN-158,2025-06-07 13:15:33,INTER_AGENCY_COORDINATION,ACTION_COMPLETED,LOW
TCK-2026-00010,ALT-2026-00567,31,Virudhunagar,OFFICER-TN-141,2025-09-12 14:03:29,IMMEDIATE_PATROL_DISPATCH,CLOSED,HIGH
TCK-2026-00011,ALT-2026-00989,18,Tiruvallur,OFFICER-TN-199,2025-12-22 01:25:22,CHECKPOST_ENHANCED_SURVEILLANCE,ACTION_COMPLETED,MEDIUM
TCK-2026-00012,ALT-2026-00532,29,Sivaganga,OFFICER-TN-152,2025-03-31 17:56:21,IMMEDIATE_PATROL_DISPATCH,ACTION_COMPLETED,LOW
TCK-2026-00013,ALT-2026-00764,28,Pudukkottai,OFFICER-TN-168,2025-06-23 11:31:35,IMMEDIATE_PATROL_DISPATCH,OPEN,LOW
TCK-2026-00014,ALT-2026-00625,36,Ranipet,OFFICER-TN-170,2025-04-03 18:24:06,IMMEDIATE_PATROL_DISPATCH,OPEN,LOW
TCK-2026-00015,ALT-2026-00334,30,Ramanathapuram,OFFICER-TN-110,2025-03-09 20:40:56,CHECKPOST_ENHANCED_SURVEILLANCE,CLOSED,HIGH
TCK-2026-00016,ALT-2026-00679,23,Namakkal,OFFICER-TN-103,2026-03-15 03:20:19,INTER_AGENCY_COORDINATION,ESCALATED,MEDIUM
TCK-2026-00017,ALT-2026-00012,7,Erode,OFFICER-TN-144,2026-06-10 20:24:49,INTER_AGENCY_COORDINATION,IN_PROGRESS,MEDIUM
TCK-2026-00018,ALT-2026-00709,24,Nilgiris,OFFICER-TN-138,2026-01-02 16:38:33,INTER_AGENCY_COORDINATION,ESCALATED,LOW
TCK-2026-00019,ALT-2026-00969,31,Virudhunagar,OFFICER-TN-165,2026-05-18 17:55:41,INTER_AGENCY_COORDINATION,IN_PROGRESS,LOW
TCK-2026-00020,ALT-2026-00206,18,Tiruvallur,OFFICER-TN-131,2026-04-09 09:10:39,HUMAN_INTELLIGENCE_INSPECTION,CLOSED,HIGH
TCK-2026-00021,ALT-2026-00271,6,Tirunelveli,OFFICER-TN-122,2026-03-03 20:48:21,IMMEDIATE_PATROL_DISPATCH,OPEN,MEDIUM
TCK-2026-00022,ALT-2026-00199,8,Tiruppur,OFFICER-TN-190,2025-06-10 21:55:41,CHECKPOST_ENHANCED_SURVEILLANCE,ACTION_COMPLETED,HIGH
