outcome_id,ticket_id,resolved_at,operational_outcome,feedback_to_model,outcome_confidence
OUT-2026-00001,TCK-2026-00001,2026-03-05 03:25:27,CIVIL_SUPPORT_REFERRED,MODEL_PREDICTION_VERIFIED,84
OUT-2026-00002,TCK-2026-00002,2025-08-23 11:33:45,PREVENTIVE_DETERRENCE_ACHIEVED,NEW_CORRIDOR_DISCOVERED,86
OUT-2026-00003,TCK-2026-00003,2026-03-15 22:56:28,CIVIL_SUPPORT_REFERRED,MODEL_PREDICTION_VERIFIED,88
OUT-2026-00004,TCK-2026-00004,2025-07-02 00:30:27,UNSUBSTANTIATED_TIP,FALSE_ALARM_REPORTED,91
OUT-2026-00005,TCK-2026-00005,2025-06-14 04:56:50,SEIZURE_EXECUTED,NEW_CORRIDOR_DISCOVERED,76
OUT-2026-00006,TCK-2026-00006,2025-08-15 07:07:17,PREVENTIVE_DETERRENCE_ACHIEVED,FALSE_ALARM_REPORTED,75
OUT-2026-00007,TCK-2026-00007,2026-04-26 02:29:42,PREVENTIVE_DETERRENCE_ACHIEVED,FALSE_ALARM_REPORTED,93
OUT-2026-00008,TCK-2026-00008,2026-05-21 16:30:34,UNSUBSTANTIATED_TIP,FALSE_ALARM_REPORTED,98
OUT-2026-00009,TCK-2026-00009,2026-03-09 20:56:59,CIVIL_SUPPORT_REFERRED,NEW_CORRIDOR_DISCOVERED,90
OUT-2026-00010,TCK-2026-00010,2025-08-31 23:35:26,SEIZURE_EXECUTED,FALSE_ALARM_REPORTED,80
OUT-2026-00011,TCK-2026-00011,2026-05-11 03:56:42,CIVIL_SUPPORT_REFERRED,NEW_CORRIDOR_DISCOVERED,91
OUT-2026-00012,TCK-2026-00012,2026-07-23 03:54:55,CIVIL_SUPPORT_REFERRED,FALSE_ALARM_REPORTED,94
OUT-2026-00013,TCK-2026-00013,2026-02-19 05:01:20,PREVENTIVE_DETERRENCE_ACHIEVED,NEW_CORRIDOR_DISCOVERED,75
OUT-2026-00014,TCK-2026-00014,2025-09-26 23:02:35,SEIZURE_EXECUTED,NEW_CORRIDOR_DISCOVERED,86
OUT-2026-00015,TCK-2026-00015,2025-10-28 19:27:27,CIVIL_SUPPORT_REFERRED,MODEL_PREDICTION_VERIFIED,97
OUT-2026-00016,TCK-2026-00016,2026-01-10 08:31:43,PREVENTIVE_DETERRENCE_ACHIEVED,MODEL_PREDICTION_VERIFIED,93
OUT-2026-00017,TCK-2026-00017,2025-04-09 18:58:09,CIVIL_SUPPORT_REFERRED,FALSE_ALARM_REPORTED,85
OUT-2026-00018,TCK-2026-00018,2026-07-08 05:54:25,PREVENTIVE_DETERRENCE_ACHIEVED,NEW_CORRIDOR_DISCOVERED,99
OUT-2026-00019,TCK-2026-00019,2026-02-12 16:34:53,UNSUBSTANTIATED_TIP,FALSE_ALARM_REPORTED,83
OUT-2026-00020,TCK-2026-00020,2025-04-23 04:44:05,SEIZURE_EXECUTED,FALSE_ALARM_REPORTED,97
OUT-2026-00021,TCK-2026-00021,2026-04-21 18:53:01,UNSUBSTANTIATED_TIP,FALSE_ALARM_REPORTED,85
OUT-2026-00022,TCK-2026-00022,2026-03-16 14:28:01,SEIZURE_EXECUTED,FALSE_ALARM_REPORTED,98
OUT-2026-00023,TCK-2026-00023,2025-08-03 10:35:13,CIVIL_SUPPORT_REFERRED,MODEL_PREDICTION_VERIFIED,95
OUT-2026-00024,TCK-2026-00024,2026-08-18 11:07:08,PREVENTIVE_DETERRENCE_ACHIEVED,FALSE_ALARM_REPORTED,90
OUT-2026-00025,TCK-2026-00025,2025-05-09 08:53:10,SEIZURE_EXECUTED,NEW_CORRIDOR_DISCOVERED,99
OUT-2026-00026,TCK-2026-00026,2026-02-20 10:53:05,UNSUBSTANTIATED_TIP,NEW_CORRIDOR_DISCOVERED,82
OUT-2026-00027,TCK-2026-00027,2026-03-14 12:38:03,CIVIL_SUPPORT_REFERRED,NEW_CORRIDOR_DISCOVERED,79
OUT-2026-00028,TCK-2026-00028,2025-06-18 18:49:10,SEIZURE_EXECUTED,FALSE_ALARM_REPORTED,94
OUT-2026-00029,TCK-2026-00029,2026-03-09 01:39:02,PREVENTIVE_DETERRENCE_ACHIEVED,MODEL_PREDICTION_VERIFIED,90
OUT-2026-00030,TCK-2026-00030,2025-11-09 14:26:22,UNSUBSTANTIATED_TIP,MODEL_PREDICTION_VERIFIED,82
OUT-2026-00031,TCK-2026-00031,2026-01-27 11:10:32,CIVIL_SUPPORT_REFERRED,FALSE_ALARM_REPORTED,80
OUT-2026-00032,TCK-2026-00032,2025-05-02 01:42:33,PREVENTIVE_DETERRENCE_ACHIEVED,FALSE_ALARM_REPORTED,96
