provenance_id,target_record_id,source_dataset,ingested_at,transformation_stage,verification_status,sha256_audit_hash
PRV-000001,CMP-2026-00981,HEALTH_STAT,2026-01-01 00:59:17,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,80322d9ee5835cf8afcadf08d46b37f6464d075d0b0cd3f49d26a8e462b8b9e0
PRV-000002,CMP-2026-00637,POLICE_LEDGER,2026-03-22 06:11:41,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,28fdfb891ecb592f9a9504d50f0c158c884d1dfbf49a950833af727619332299
PRV-000003,CMP-2026-00261,POLICE_LEDGER,2025-06-10 05:03:07,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,112f44271e49bfa93fa269961e850939cefaeaa7663d5c97e47ced56188fb592
PRV-000004,CMP-2026-00388,POLICE_LEDGER,2025-02-06 04:53:33,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,6c87835da9e0d8d1548c219374bb1a36656f66435df9972580867538c0c33cfa
PRV-000005,CMP-2026-00967,POLICE_LEDGER,2025-03-30 18:16:48,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,d54574214f9ab9ed5f5477258fd7f72e2d9a38a242516744c90d3ccb8603ff8d
PRV-000006,CMP-2026-00553,CHECKPOST_SCANNER,2026-02-24 17:36:36,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,783c5e0f70ed546d5d9e7e431732eeee6622573c34c598bb4a0dcbc9d384ce2b
PRV-000007,CMP-2026-00640,HEALTH_STAT,2026-08-04 04:16:22,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,84bdfa2073bb22323f09bf434e835a13f77435b4af2c863d0acbdfa0341bded3
PRV-000008,CMP-2026-00039,CITIZEN_PORTAL,2026-04-18 01:31:31,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,897fd4d9eb4973c804d97d9d924fd3d35905c2f9432b8d1e88ea73fca33fef88
PRV-000009,CMP-2026-00906,CITIZEN_PORTAL,2025-02-12 10:17:40,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,ffa54c223c53377cbed87808556aebe01958bbdffeadef43704958d2f22b1c96
PRV-000010,CMP-2026-01102,HEALTH_STAT,2024-11-28 22:56:58,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,9fa0b0454286a174cca7bedc287dd2939b57404c699ed0fe4ea7e05d3b9278a9
PRV-000011,CMP-2026-01022,CITIZEN_PORTAL,2025-05-12 05:20:41,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,a7da88190d3e3338fced03fa789607863d1226e254b76dc8f2bc7cea488280f4
PRV-000012,CMP-2026-00909,CITIZEN_PORTAL,2025-07-13 00:54:12,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,bb6855bf50de2efa685e63dd45d915b6ed9d598bf6ffd00ce71f23aa1a37a7fb
PRV-000013,CMP-2026-00696,HEALTH_STAT,2025-07-04 03:32:14,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,7d075fe0343f90c4075801f2d66a7a308c77e457e7bce603b2339888140f9998
PRV-000014,CMP-2026-01151,CHECKPOST_SCANNER,2024-10-10 19:12:24,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,d73a45ff425a6f7a861dc749e1541e84be0c19fbc224831c11986a712272b9a0
PRV-000015,CMP-2026-00860,CITIZEN_PORTAL,2024-12-26 00:01:30,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,2d208b0a257ab3384e7c818d42cf3bda591012660ec386f3026f87617bb28437
PRV-000016,CMP-2026-01105,CHECKPOST_SCANNER,2025-06-28 08:44:04,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,43b9a4c654c3d33204613eb7b47baa90a0175820fe5a769a14fec65ef889729b
PRV-000017,CMP-2026-00268,POLICE_LEDGER,2026-03-31 20:20:02,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,74c616e854daa39e78f6d161aec7e7c277cefb9a17df34e162524551e4473ebf
PRV-000018,CMP-2026-00624,CITIZEN_PORTAL,2025-02-10 08:48:03,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,02b01cafa65bb015db6b6872d39d1efaa8081d8d6f45b0313bb36c1f86589265
PRV-000019,CMP-2026-00037,POLICE_LEDGER,2024-09-20 14:17:21,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,2e8c3ff4907ae4e018e9c83ae39248497a64e54352b1c71efcb5ecf586895757
PRV-000020,CMP-2026-00286,CHECKPOST_SCANNER,2025-10-19 15:11:30,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,e267a221ef607690aad9c0538548300f11509d76ed0e021f974d6bd31d0e6c70
PRV-000021,CMP-2026-00725,CITIZEN_PORTAL,2024-12-13 18:07:21,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,0aeba7a5eead971a0e50f315f37fd5f4f6d88fd2850050772b6cf88247fa472f
PRV-000022,CMP-2026-00760,POLICE_LEDGER,2026-01-05 14:41:23,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,8ffdcd69c1e51b7d4688a3ca83d241772a6e896237988d951dc9d7afbf1611d0
PRV-000023,CMP-2026-00996,POLICE_LEDGER,2025-01-04 10:09:09,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,47b419aa0edb2bc3ce021862719013a8a04c3e5b85fbd606fa94596571f40919
PRV-000024,CMP-2026-01095,HEALTH_STAT,2025-01-28 23:26:27,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,bfc29b07b8c0b6dd36f734f4f170e7ae3475d97fb6cdfc8df4ebfed00392fadb
PRV-000025,CMP-2026-01048,CITIZEN_PORTAL,2025-09-18 08:08:27,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,9663a6049afa443ced087112221aeeda819a7b66b9d588a4059da2cb5649a489
PRV-000026,CMP-2026-00940,POLICE_LEDGER,2025-02-12 23:17:11,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,c9a0f12273ddf316d0f4669ed4d929571ca0675c3f76716379f22c694c88dd50
PRV-000027,CMP-2026-00604,POLICE_LEDGER,2026-04-29 08:03:12,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,f802964e26ce8c4baff10fa481218b58b7ca8cf95a0c005db67225050b501995
PRV-000028,CMP-2026-01105,HEALTH_STAT,2026-06-12 13:21:32,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,13d205863b33d237d13635b4efa06833897c9afc53637135627502b42440e921
PRV-000029,CMP-2026-00939,CHECKPOST_SCANNER,2026-08-08 15:05:03,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,9ddff9cb8e5bff703115e7c122994df98063dde7085e424bb14ae8c2ced09bee
PRV-000030,CMP-2026-00950,CITIZEN_PORTAL,2024-10-30 06:56:10,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,90477ca50414c738b1624b3bdb234cbae15721cf1607400888ae426060fb4c29
PRV-000031,CMP-2026-00199,HEALTH_STAT,2025-04-15 18:12:22,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,dccee3d09ad13eead64d692ed2536b0a21f1a7220311cd322a80e6726e4989dd
PRV-000032,CMP-2026-00951,POLICE_LEDGER,2025-10-06 20:08:22,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,eacad2a6b0d70bb24baabf827adf2c4cee99c11afb7e7b6f672628d3b805656f
PRV-000033,CMP-2026-01133,CITIZEN_PORTAL,2025-11-05 21:39:28,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,3b8b54279067d8a9c24ff5afd307e509d68b0da3347bec5e51238f39c19233c9
PRV-000034,CMP-2026-00184,POLICE_LEDGER,2026-02-02 15:16:19,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,277f8222c91cbd9305c71ca13a9a208c787350d09703a9b99b865b67a8d2b655
PRV-000035,CMP-2026-00964,CITIZEN_PORTAL,2024-12-28 07:52:16,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,33617e5bb8559b9a1703342ccc5ffb0100dddfccbd23fb196138208e4eb20855
PRV-000036,CMP-2026-00665,CITIZEN_PORTAL,2025-05-15 14:16:12,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,eefaead8aad7e2b00b14243c4c5c15fcccdfc63acff27f74aa2814919c1c8d9b
PRV-000037,CMP-2026-00130,CHECKPOST_SCANNER,2026-03-04 02:16:00,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,5b22e160e65fa264d45e9b3d73d064f2231e258a08847f95d3da34b60d6f5fa3
PRV-000038,CMP-2026-01118,CHECKPOST_SCANNER,2025-10-22 04:45:41,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,91ad461d034027c72a9b922f195768858c0f5d65e26ada04328d4fffb53ba8c6
PRV-000039,CMP-2026-00556,CITIZEN_PORTAL,2025-03-29 11:12:36,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,4c64283d1cdaff335814bbe5bd70c25ff4bcc851132b5407d135b16f1312b671
PRV-000040,CMP-2026-01045,HEALTH_STAT,2026-01-24 01:14:58,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,b30fe5a0ac76b20e3d9820d3207158c871942acb214efd61e075bab849e24925
PRV-000041,CMP-2026-00849,POLICE_LEDGER,2024-09-22 17:32:10,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,04b8233e19ee9151d525c078689a861730d3567b739a55183304e337f7ee8cde
PRV-000042,CMP-2026-00420,CITIZEN_PORTAL,2025-04-23 07:10:52,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,046b006dcf062ecf0ff9838399496cb58eb44a7e608db8347be49c4c59134359
PRV-000043,CMP-2026-01114,CITIZEN_PORTAL,2024-12-01 02:58:42,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,ae2ec99c3df79a733e14cff7e2c20fbfb4c67e56a8300e8a68d7bfdf7c749e11
PRV-000044,CMP-2026-00722,CHECKPOST_SCANNER,2026-02-24 16:15:54,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,cf855f2be69b7e80a8872d2ac8c21af69a7a824ee3b0f8630161511443792a70
PRV-000045,CMP-2026-00984,CHECKPOST_SCANNER,2026-02-18 07:25:27,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,cac2ed4d4ed9de09306e1af1c771182dfeb2d81519f76b3766896060fc34ae35
PRV-000046,CMP-2026-00813,HEALTH_STAT,2024-11-21 18:07:50,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,e673271404aae87433450c21020d2687108115bd821e6de357665efe27604a17
PRV-000047,CMP-2026-01054,HEALTH_STAT,2024-10-14 12:20:38,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,97c84ea0222d146c3732274237efa43796842d5944a731df441f2e153495f00e
PRV-000048,CMP-2026-00020,CITIZEN_PORTAL,2024-10-16 00:41:02,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,ac4575cf587ed1cfb9a9431bc704827f59ae39ebeae1f268c77318b935cb750a
PRV-000049,CMP-2026-00823,HEALTH_STAT,2024-12-15 16:01:37,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,3202e0ece09a84909cab8be3a877ea4e460680198cb6104eec5a69a5d0695b47
PRV-000050,CMP-2026-00065,CHECKPOST_SCANNER,2025-08-18 19:38:27,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,9b6f38ee5c95e035d6acf970382d069a9d6317aeb24658a6201baf2e3976f8aa
PRV-000051,CMP-2026-01187,CITIZEN_PORTAL,2026-07-04 14:20:11,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,1293475c91fd947e5278a1a4220a0fe2003ee9d68ee90652a4b644094e135f1a
PRV-000052,CMP-2026-01220,POLICE_LEDGER,2026-05-09 07:15:16,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,19ab33a73a61f82eec504af4e151487c24d4964cdd36da79f48f69bfbc9dd475
PRV-000053,CMP-2026-00606,CHECKPOST_SCANNER,2025-07-08 05:19:31,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,1ca18858b297fb680c790c1ed2a39359f7f9ef1e8074adaff5b24a781a42964c
PRV-000054,CMP-2026-00742,CITIZEN_PORTAL,2024-09-19 09:42:37,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,0e3a6e41bcb15a3b907d15fae756632f24b0967a11e8d764ed4553b6f8c7b706
PRV-000055,CMP-2026-00512,CITIZEN_PORTAL,2025-11-01 22:58:45,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,1ad3805b1972a654f2ef8f14c1e321188144b92dd07923f9a8245d5f034bb644
