eval_id,district_id,district_name,evaluation_timestamp,precision_rate,recall_rate,f1_score,false_alarm_rate,concept_drift_status,model_version
EVAL-00001,28,Pudukkottai,2026-03-16 05:01:03,0.849,0.866,0.874,0.048,SLIGHT_DRIFT,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00002,36,Ranipet,2025-12-20 00:45:14,0.905,0.903,0.935,0.075,SLIGHT_DRIFT,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00003,36,Ranipet,2025-11-03 03:21:07,0.872,0.823,0.874,0.073,SLIGHT_DRIFT,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00004,26,Ariyalur,2025-06-23 17:43:12,0.826,0.821,0.944,0.050,OPTIMAL,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00005,3,Madurai,2024-12-22 04:08:59,0.883,0.938,0.858,0.054,OPTIMAL,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00006,18,Tiruvallur,2024-10-29 12:14:22,0.864,0.910,0.841,0.067,CALIBRATED,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00007,5,Tiruchirappalli,2025-09-15 01:27:14,0.850,0.912,0.908,0.058,SLIGHT_DRIFT,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00008,6,Tirunelveli,2024-09-29 19:00:28,0.889,0.912,0.911,0.057,SLIGHT_DRIFT,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00009,18,Tiruvallur,2025-05-08 07:25:08,0.878,0.854,0.865,0.065,CALIBRATED,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00010,28,Pudukkottai,2024-11-19 21:34:56,0.825,0.945,0.867,0.056,CALIBRATED,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00011,10,Krishnagiri,2026-05-23 08:35:34,0.922,0.876,0.843,0.048,SLIGHT_DRIFT,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00012,30,Ramanathapuram,2025-08-18 06:44:25,0.908,0.835,0.897,0.040,SLIGHT_DRIFT,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00013,35,Mayiladuthurai,2025-06-15 14:55:10,0.895,0.914,0.833,0.040,CALIBRATED,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00014,17,Chengalpattu,2025-10-20 10:08:35,0.931,0.906,0.933,0.068,CALIBRATED,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00015,24,Nilgiris,2026-06-21 16:03:48,0.926,0.889,0.821,0.085,SLIGHT_DRIFT,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00016,32,Theni,2025-04-17 12:50:00,0.834,0.865,0.912,0.084,CALIBRATED,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00017,5,Tiruchirappalli,2025-11-09 07:42:16,0.947,0.930,0.822,0.041,SLIGHT_DRIFT,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00018,31,Virudhunagar,2024-11-18 22:48:26,0.943,0.852,0.818,0.072,CALIBRATED,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00019,21,Kallakurichi,2025-11-05 06:43:38,0.858,0.801,0.895,0.046,OPTIMAL,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00020,34,Nagapattinam,2026-07-23 14:52:14,0.861,0.876,0.908,0.058,SLIGHT_DRIFT,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00021,28,Pudukkottai,2025-09-21 19:03:57,0.843,0.896,0.906,0.077,OPTIMAL,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00022,19,Cuddalore,2026-04-07 02:25:39,0.872,0.837,0.873,0.082,OPTIMAL,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00023,1,Chennai,2024-12-13 17:38:22,0.875,0.926,0.869,0.077,CALIBRATED,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00024,1,Chennai,2024-09-27 21:53:33,0.902,0.880,0.911,0.084,CALIBRATED,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00025,18,Tiruvallur,2026-02-04 10:50:53,0.918,0.937,0.822,0.053,SLIGHT_DRIFT,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00026,3,Madurai,2026-02-21 00:25:09,0.921,0.817,0.829,0.069,SLIGHT_DRIFT,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00027,15,Tenkasi,2026-01-18 11:35:55,0.887,0.872,0.888,0.040,SLIGHT_DRIFT,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00028,32,Theni,2025-12-03 18:09:00,0.935,0.835,0.929,0.083,SLIGHT_DRIFT,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00029,16,Kancheepuram,2026-03-28 08:47:08,0.898,0.928,0.863,0.048,SLIGHT_DRIFT,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00030,30,Ramanathapuram,2026-06-22 12:55:16,0.894,0.915,0.881,0.088,SLIGHT_DRIFT,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00031,30,Ramanathapuram,2024-10-04 02:06:10,0.870,0.858,0.919,0.051,CALIBRATED,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00032,27,Perambalur,2026-06-24 06:45:40,0.874,0.803,0.882,0.051,SLIGHT_DRIFT,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00033,18,Tiruvallur,2024-12-16 13:03:13,0.946,0.927,0.832,0.046,SLIGHT_DRIFT,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00034,21,Kallakurichi,2024-10-09 18:55:45,0.869,0.880,0.854,0.068,CALIBRATED,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00035,31,Virudhunagar,2026-04-02 02:02:29,0.846,0.850,0.877,0.086,OPTIMAL,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00036,37,Tirupathur,2025-12-22 19:57:24,0.837,0.862,0.902,0.073,OPTIMAL,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00037,19,Cuddalore,2026-02-10 03:49:11,0.889,0.873,0.858,0.074,CALIBRATED,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00038,21,Kallakurichi,2026-02-27 10:36:59,0.916,0.872,0.835,0.070,CALIBRATED,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00039,9,Vellore,2025-01-28 20:26:54,0.886,0.940,0.837,0.073,SLIGHT_DRIFT,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00040,10,Krishnagiri,2025-02-01 15:15:09,0.823,0.924,0.868,0.045,OPTIMAL,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00041,9,Vellore,2024-11-28 15:28:10,0.947,0.810,0.926,0.050,OPTIMAL,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00042,30,Ramanathapuram,2026-06-26 09:51:28,0.948,0.863,0.917,0.080,CALIBRATED,NARVEX_TEMPORAL_BAYES_V2.1
