snapshot_id,district_id,district_name,snapshot_date,daily_signals_count,velocity_ratio,risk_level,confidence_score,coverage_status
SNAP-00001,6,Tirunelveli,2026-05-07 12:13:49,10,1,WATCH,72,MODERATE
SNAP-00002,1,Chennai,2025-07-14 19:26:59,6,3.5,HIGH PREVENTIVE ATTENTION,84,GOOD
SNAP-00003,20,Viluppuram,2024-10-19 18:47:16,2,1,WATCH,65,MODERATE
SNAP-00004,26,Ariyalur,2025-08-30 16:27:40,21,0.3,INSUFFICIENT_DATA,42,LIMITED
SNAP-00005,37,Tirupathur,2024-08-23 19:05:57,21,1.2,WATCH,67,MODERATE
SNAP-00006,7,Erode,2023-12-21 12:22:55,9,1.2,WATCH,75,GOOD
SNAP-00007,26,Ariyalur,2025-08-13 20:43:54,16,0.3,INSUFFICIENT_DATA,42,LIMITED
SNAP-00008,18,Tiruvallur,2024-08-05 15:59:14,17,2.3,INCREASING,80,GOOD
SNAP-00009,12,Thanjavur,2025-03-24 14:13:48,15,0.7,LOW,64,MODERATE
SNAP-00010,29,Sivaganga,2023-11-04 08:30:16,4,0.6,LOW,59,LIMITED
SNAP-00011,24,Nilgiris,2026-03-25 03:29:02,18,1.8,WATCH,74,MODERATE
SNAP-00012,27,Perambalur,2024-07-29 13:01:26,14,0.4,INSUFFICIENT_DATA,44,LIMITED
SNAP-00013,11,Dindigul,2026-03-30 03:25:22,2,0.9,WATCH,68,MODERATE
SNAP-00014,25,Karur,2025-03-13 05:38:49,18,0.7,LOW,60,MODERATE
SNAP-00015,16,Kancheepuram,2025-07-07 19:12:05,17,1,WATCH,72,GOOD
SNAP-00016,2,Coimbatore,2024-09-08 11:03:06,1,6,HIGH PREVENTIVE ATTENTION,88,GOOD
SNAP-00017,27,Perambalur,2023-12-15 09:16:35,19,0.4,INSUFFICIENT_DATA,44,LIMITED
SNAP-00018,1,Chennai,2024-01-14 11:43:22,8,3.5,HIGH PREVENTIVE ATTENTION,84,GOOD
SNAP-00019,25,Karur,2025-05-02 01:32:38,23,0.7,LOW,60,MODERATE
SNAP-00020,22,Dharmapuri,2025-07-31 02:21:26,19,1.4,WATCH,66,MODERATE
SNAP-00021,26,Ariyalur,2025-05-05 22:05:56,23,0.3,INSUFFICIENT_DATA,42,LIMITED
SNAP-00022,17,Chengalpattu,2024-09-21 00:18:04,6,2.1,INCREASING,78,GOOD
SNAP-00023,10,Krishnagiri,2025-09-18 08:46:12,9,4.8,HIGH PREVENTIVE ATTENTION,85,GOOD
