district_id,state_code,district_name,district_code,headquarters,latitude,longitude,baseline_population,risk_level,trend_direction,velocity_30d,confidence_score,coverage_status,verified_events_count,emerging_zones_count,active_alerts_count,pending_verification_count,first_time_signals_count
1,TN,Chennai,CHN,Chennai,13.0827,80.2707,7088000,HIGH PREVENTIVE ATTENTION,RAPID_INCREASE,3.5,84,ADEQUATE,0,0,0,0,0
2,TN,Coimbatore,CBE,Coimbatore,11.0168,76.9558,3458000,HIGH PREVENTIVE ATTENTION,RAPID_INCREASE,6,88,ADEQUATE,0,0,0,0,0
3,TN,Madurai,MDU,Madurai,9.9252,78.1198,3038000,INCREASING,MODERATE_INCREASE,2.1,78,ADEQUATE,0,0,0,0,0
4,TN,Salem,SLM,Salem,11.6643,78.146,3482000,INCREASING,MODERATE_INCREASE,2.4,82,ADEQUATE,0,0,0,0,0
5,TN,Tiruchirappalli,TPJ,Tiruchirappalli,10.7905,78.7047,2722000,WATCH,STABLE,1.1,74,ADEQUATE,0,0,0,0,0
6,TN,Tirunelveli,TIN,Tirunelveli,8.7139,77.7567,1665000,WATCH,STABLE,1,72,MODERATE,0,0,0,0,0
7,TN,Tiruppur,TPR,Tiruppur,11.1085,77.3411,2479000,INCREASING,MODERATE_INCREASE,2.8,80,ADEQUATE,0,0,0,0,0
8,TN,Erode,ERD,Erode,11.341,77.7172,2251000,WATCH,STABLE,1.2,75,ADEQUATE,0,0,0,0,0
9,TN,Vellore,VEL,Vellore,12.9165,79.1325,1614000,INCREASING,MODERATE_INCREASE,2.2,76,ADEQUATE,0,0,0,0,0
10,TN,Krishnagiri,KRI,Krishnagiri,12.5186,78.2137,1879000,HIGH PREVENTIVE ATTENTION,RAPID_INCREASE,4.8,85,ADEQUATE,0,0,0,0,0
11,TN,Dindigul,DGL,Dindigul,10.3673,77.9803,2159000,WATCH,STABLE,0.9,68,MODERATE,0,0,0,0,0
12,TN,Thanjavur,TNJ,Thanjavur,10.787,79.1378,2405000,LOW,DECREASING,0.7,64,MODERATE,0,0,0,0,0
13,TN,Thoothukudi,TUT,Thoothukudi,8.7642,78.1348,1750000,INCREASING,MODERATE_INCREASE,2.5,86,ADEQUATE,0,0,0,0,0
14,TN,Kanniyakumari,KKI,Nagercoil,8.0883,77.5385,1870000,WATCH,STABLE,1.1,70,MODERATE,0,0,0,0,0
15,TN,Tenkasi,TSI,Tenkasi,8.9594,77.3152,1407000,WATCH,RAPID_INCREASE,2.3,68,LIMITED,0,0,0,0,0
16,TN,Kancheepuram,KCP,Kancheepuram,12.8342,79.7036,1166000,WATCH,STABLE,1,72,ADEQUATE,0,0,0,0,0
17,TN,Chengalpattu,CGL,Chengalpattu,12.6819,79.9888,2556000,INCREASING,MODERATE_INCREASE,2.1,78,ADEQUATE,0,0,0,0,0
18,TN,Tiruvallur,TLR,Tiruvallur,13.1432,79.9079,3728000,INCREASING,MODERATE_INCREASE,2.3,80,ADEQUATE,0,0,0,0,0
19,TN,Cuddalore,CUD,Cuddalore,11.748,79.7714,2605000,LOW,STABLE,0.8,62,MODERATE,0,0,0,0,0
20,TN,Viluppuram,VLP,Viluppuram,11.9401,79.4861,2093000,WATCH,STABLE,1,65,MODERATE,0,0,0,0,0
21,TN,Kallakurichi,KLK,Kallakurichi,11.7383,78.9639,1370000,LOW,STABLE,0.6,58,LIMITED,0,0,0,0,0
22,TN,Dharmapuri,DPI,Dharmapuri,12.1211,78.1582,1506000,WATCH,MODERATE_INCREASE,1.4,66,MODERATE,0,0,0,0,0
23,TN,Namakkal,NMK,Namakkal,11.2189,78.1674,1726000,WATCH,STABLE,0.9,68,MODERATE,0,0,0,0,0
24,TN,Nilgiris,NIL,Udhagamandalam,11.4102,76.695,735000,WATCH,MODERATE_INCREASE,1.8,74,MODERATE,0,0,0,0,0
25,TN,Karur,KRR,Karur,10.9601,78.0766,1064000,LOW,STABLE,0.7,60,MODERATE,0,0,0,0,0
