taluk_id,district_id,district_name,taluk_name,latitude,longitude,population
1,1,Chennai,Chennai North,13.0361,80.2139,285183
2,1,Chennai,Chennai South,13.0279,80.2840,322141
3,1,Chennai,Chennai East,13.0290,80.2977,244207
4,1,Chennai,Chennai West,13.1064,80.2526,266635
5,1,Chennai,Chennai Rural,13.0607,80.2427,406233
6,2,Coimbatore,Coimbatore North,10.9741,76.9575,265273
7,2,Coimbatore,Coimbatore South,11.0235,76.9213,208433
8,2,Coimbatore,Coimbatore East,11.0765,76.9986,226654
9,3,Madurai,Madurai North,9.8509,78.0886,322762
10,3,Madurai,Madurai South,9.9188,78.0611,146931
11,3,Madurai,Madurai East,9.9277,78.1605,392379
12,3,Madurai,Madurai West,9.8553,78.1856,152020
13,4,Salem,Salem North,11.6039,78.1898,269499
14,4,Salem,Salem South,11.6099,78.2007,268480
15,4,Salem,Salem East,11.6584,78.1583,332293
16,4,Salem,Salem West,11.6432,78.0894,428665
17,4,Salem,Salem Rural,11.6398,78.0748,422606
18,5,Tiruchirappalli,Tiruchirappalli North,10.7855,78.6639,230415
19,5,Tiruchirappalli,Tiruchirappalli South,10.8228,78.6954,280096
20,5,Tiruchirappalli,Tiruchirappalli East,10.8545,78.6589,143887
21,5,Tiruchirappalli,Tiruchirappalli West,10.8236,78.7447,371396
22,5,Tiruchirappalli,Tiruchirappalli Rural,10.7357,78.7469,335477
23,6,Tirunelveli,Tirunelveli North,8.6609,77.7125,427245
24,6,Tirunelveli,Tirunelveli South,8.6713,77.7340,377666
25,6,Tirunelveli,Tirunelveli East,8.7657,77.7544,309585
26,7,Tiruppur,Tiruppur North,11.0702,77.3876,259133
27,7,Tiruppur,Tiruppur South,11.1235,77.3971,169277
28,7,Tiruppur,Tiruppur East,11.1591,77.3368,263903
29,8,Erode,Erode North,11.3677,77.7823,415576
30,8,Erode,Erode South,11.4109,77.7541,176110
31,8,Erode,Erode East,11.2839,77.7678,214572
32,8,Erode,Erode West,11.2715,77.6790,261861
33,9,Vellore,Vellore North,12.8816,79.1851,391765
34,9,Vellore,Vellore South,12.9487,79.0964,227483
35,9,Vellore,Vellore East,12.9682,79.1807,220467
36,9,Vellore,Vellore West,12.8966,79.1879,368478
37,9,Vellore,Vellore Rural,12.9234,79.1512,387860
38,10,Krishnagiri,Krishnagiri North,12.5015,78.1600,187519
39,10,Krishnagiri,Krishnagiri South,12.4735,78.2136,208299
40,10,Krishnagiri,Krishnagiri East,12.4870,78.1780,296555
41,10,Krishnagiri,Krishnagiri West,12.4671,78.1457,365257
42,10,Krishnagiri,Krishnagiri Rural,12.4876,78.1538,298471
43,11,Dindigul,Dindigul North,10.3310,78.0409,206288
44,11,Dindigul,Dindigul South,10.4368,78.0317,201257
45,11,Dindigul,Dindigul East,10.3735,78.0350,381336
46,12,Thanjavur,Thanjavur North,10.7202,79.1215,289578
47,12,Thanjavur,Thanjavur South,10.7471,79.1114,290662
48,12,Thanjavur,Thanjavur East,10.8527,79.2064,155679
49,13,Thoothukudi,Thoothukudi North,8.8202,78.1507,348384
50,13,Thoothukudi,Thoothukudi South,8.7097,78.1510,279213
51,13,Thoothukudi,Thoothukudi East,8.8186,78.0748,247853
52,13,Thoothukudi,Thoothukudi West,8.7940,78.2056,402726
53,13,Thoothukudi,Thoothukudi Rural,8.8247,78.0853,228669
54,14,Kanniyakumari,Kanniyakumari North,8.1033,77.5022,377000
55,14,Kanniyakumari,Kanniyakumari South,8.0990,77.6068,288070
56,14,Kanniyakumari,Kanniyakumari East,8.0817,77.4923,210620
57,14,Kanniyakumari,Kanniyakumari West,8.0317,77.5907,134617
58,14,Kanniyakumari,Kanniyakumari Rural,8.0247,77.5050,391121
59,15,Tenkasi,Tenkasi North,8.9603,77.3818,328818
60,15,Tenkasi,Tenkasi South,8.8914,77.2665,129508
61,15,Tenkasi,Tenkasi East,8.9883,77.3188,386813
62,16,Kancheepuram,Kancheepuram North,12.8358,79.7772,274838
63,16,Kancheepuram,Kancheepuram South,12.8197,79.7560,226408
64,16,Kancheepuram,Kancheepuram East,12.8140,79.6960,231202
65,16,Kancheepuram,Kancheepuram West,12.8531,79.7544,303222
66,16,Kancheepuram,Kancheepuram Rural,12.8752,79.7026,229497
67,17,Chengalpattu,Chengalpattu North,12.7538,80.0165,383208
68,17,Chengalpattu,Chengalpattu South,12.6266,79.9578,222992
69,17,Chengalpattu,Chengalpattu East,12.6816,80.0211,236402
70,17,Chengalpattu,Chengalpattu West,12.6972,80.0533,293560
71,17,Chengalpattu,Chengalpattu Rural,12.7202,79.9204,417610
72,18,Tiruvallur,Tiruvallur North,13.1619,79.8543,183606
73,18,Tiruvallur,Tiruvallur South,13.1938,79.8641,388334
74,18,Tiruvallur,Tiruvallur East,13.0984,79.8610,426440
75,19,Cuddalore,Cuddalore North,11.8112,79.7681,124203
76,19,Cuddalore,Cuddalore South,11.7279,79.7078,382232
77,19,Cuddalore,Cuddalore East,11.7323,79.7467,379837
78,19,Cuddalore,Cuddalore West,11.7434,79.7269,212438
79,19,Cuddalore,Cuddalore Rural,11.7923,79.8086,316154
80,20,Viluppuram,Viluppuram North,11.9764,79.5070,215521
81,20,Viluppuram,Viluppuram South,11.9194,79.4304,361307
82,20,Viluppuram,Viluppuram East,11.9461,79.5545,437547
83,21,Kallakurichi,Kallakurichi North,11.7003,78.9491,175499
84,21,Kallakurichi,Kallakurichi South,11.6769,78.8906,125843
85,21,Kallakurichi,Kallakurichi East,11.7159,79.0333,415461
86,21,Kallakurichi,Kallakurichi West,11.7785,79.0190,393823
87,21,Kallakurichi,Kallakurichi Rural,11.7868,78.9915,298956
88,22,Dharmapuri,Dharmapuri North,12.0507,78.1336,228171
89,22,Dharmapuri,Dharmapuri South,12.1040,78.1690,405116
90,22,Dharmapuri,Dharmapuri East,12.1476,78.2055,247407
91,22,Dharmapuri,Dharmapuri West,12.0759,78.2100,280931
92,23,Namakkal,Namakkal North,11.1567,78.1391,223488
93,23,Namakkal,Namakkal South,11.2069,78.1666,150261
94,23,Namakkal,Namakkal East,11.1768,78.1389,366010
95,23,Namakkal,Namakkal West,11.2329,78.0940,274540
96,24,Nilgiris,Nilgiris North,11.3937,76.7299,170998
