locality_id,taluk_id,district_id,district_name,locality_name,locality_type,latitude,longitude
1,1,1,Chennai,Chennai North Sector A,COMMERCIAL,13.0575,80.2029
2,1,1,Chennai,Chennai North Market,CAMPUS_ZONE,13.0202,80.2178
3,1,1,Chennai,Chennai North Bypass Hub,CAMPUS_ZONE,13.0364,80.2221
4,2,1,Chennai,Chennai South Sector A,LOGISTICS_PARK,13.0077,80.2926
5,2,1,Chennai,Chennai South Market,VILLAGE,13.0045,80.2881
6,2,1,Chennai,Chennai South Bypass Hub,RESIDENTIAL,13.0528,80.2709
7,3,1,Chennai,Chennai East Sector A,VILLAGE,13.0048,80.3182
8,3,1,Chennai,Chennai East Market,RESIDENTIAL,13.0516,80.3155
9,4,1,Chennai,Chennai West Sector A,VILLAGE,13.1284,80.2572
10,4,1,Chennai,Chennai West Market,LOGISTICS_PARK,13.1061,80.2748
11,4,1,Chennai,Chennai West Bypass Hub,LOGISTICS_PARK,13.0947,80.2667
12,5,1,Chennai,Chennai Rural Sector A,RESIDENTIAL,13.0570,80.2550
13,5,1,Chennai,Chennai Rural Market,CAMPUS_ZONE,13.0486,80.2224
14,5,1,Chennai,Chennai Rural Bypass Hub,RESIDENTIAL,13.0798,80.2494
15,6,2,Coimbatore,Coimbatore North Sector A,LOGISTICS_PARK,10.9791,76.9784
16,6,2,Coimbatore,Coimbatore North Market,RESIDENTIAL,10.9848,76.9475
17,6,2,Coimbatore,Coimbatore North Bypass Hub,TRANSIT_JUNCTION,10.9725,76.9514
18,7,2,Coimbatore,Coimbatore South Sector A,TRANSIT_JUNCTION,11.0205,76.9358
19,7,2,Coimbatore,Coimbatore South Market,LOGISTICS_PARK,11.0389,76.9201
20,8,2,Coimbatore,Coimbatore East Sector A,LOGISTICS_PARK,11.0762,76.9965
21,8,2,Coimbatore,Coimbatore East Market,RESIDENTIAL,11.0588,76.9845
22,9,3,Madurai,Madurai North Sector A,COMMERCIAL,9.8406,78.0922
23,9,3,Madurai,Madurai North Market,CAMPUS_ZONE,9.8568,78.0851
24,10,3,Madurai,Madurai South Sector A,TRANSIT_JUNCTION,9.9225,78.0729
25,10,3,Madurai,Madurai South Market,CAMPUS_ZONE,9.9324,78.0534
26,10,3,Madurai,Madurai South Bypass Hub,LOGISTICS_PARK,9.9067,78.0493
27,11,3,Madurai,Madurai East Sector A,COMMERCIAL,9.9356,78.1800
28,11,3,Madurai,Madurai East Market,LOGISTICS_PARK,9.9037,78.1428
29,11,3,Madurai,Madurai East Bypass Hub,RESIDENTIAL,9.9306,78.1390
30,12,3,Madurai,Madurai West Sector A,LOGISTICS_PARK,9.8586,78.1986
31,12,3,Madurai,Madurai West Market,LOGISTICS_PARK,9.8722,78.1807
32,13,4,Salem,Salem North Sector A,TRANSIT_JUNCTION,11.5814,78.1763
33,13,4,Salem,Salem North Market,RESIDENTIAL,11.6212,78.1900
34,13,4,Salem,Salem North Bypass Hub,LOGISTICS_PARK,11.5949,78.1975
35,14,4,Salem,Salem South Sector A,LOGISTICS_PARK,11.6342,78.2203
36,14,4,Salem,Salem South Market,VILLAGE,11.5856,78.1850
37,15,4,Salem,Salem East Sector A,CAMPUS_ZONE,11.6592,78.1751
38,15,4,Salem,Salem East Market,LOGISTICS_PARK,11.6601,78.1726
39,16,4,Salem,Salem West Sector A,CAMPUS_ZONE,11.6587,78.1099
40,16,4,Salem,Salem West Market,TRANSIT_JUNCTION,11.6201,78.0754
41,17,4,Salem,Salem Rural Sector A,LOGISTICS_PARK,11.6283,78.0589
42,17,4,Salem,Salem Rural Market,COMMERCIAL,11.6635,78.0958
43,18,5,Tiruchirappalli,Tiruchirappalli North Sector A,RESIDENTIAL,10.7704,78.6813
44,18,5,Tiruchirappalli,Tiruchirappalli North Market,CAMPUS_ZONE,10.7798,78.6845
45,18,5,Tiruchirappalli,Tiruchirappalli North Bypass Hub,VILLAGE,10.8098,78.6494
46,19,5,Tiruchirappalli,Tiruchirappalli South Sector A,COMMERCIAL,10.8472,78.7144
47,19,5,Tiruchirappalli,Tiruchirappalli South Market,LOGISTICS_PARK,10.8085,78.7046
48,20,5,Tiruchirappalli,Tiruchirappalli East Sector A,VILLAGE,10.8547,78.6539
49,20,5,Tiruchirappalli,Tiruchirappalli East Market,TRANSIT_JUNCTION,10.8425,78.6573
50,20,5,Tiruchirappalli,Tiruchirappalli East Bypass Hub,VILLAGE,10.8572,78.6801
51,21,5,Tiruchirappalli,Tiruchirappalli West Sector A,TRANSIT_JUNCTION,10.8030,78.7459
52,21,5,Tiruchirappalli,Tiruchirappalli West Market,CAMPUS_ZONE,10.8338,78.7344
53,22,5,Tiruchirappalli,Tiruchirappalli Rural Sector A,TRANSIT_JUNCTION,10.7381,78.7377
54,22,5,Tiruchirappalli,Tiruchirappalli Rural Market,TRANSIT_JUNCTION,10.7256,78.7506
55,23,6,Tirunelveli,Tirunelveli North Sector A,COMMERCIAL,8.6371,77.6971
56,23,6,Tirunelveli,Tirunelveli North Market,RESIDENTIAL,8.6669,77.7016
57,24,6,Tirunelveli,Tirunelveli South Sector A,TRANSIT_JUNCTION,8.6673,77.7180
58,24,6,Tirunelveli,Tirunelveli South Market,CAMPUS_ZONE,8.6588,77.7517
59,24,6,Tirunelveli,Tirunelveli South Bypass Hub,COMMERCIAL,8.6892,77.7540
60,25,6,Tirunelveli,Tirunelveli East Sector A,VILLAGE,8.7627,77.7467
61,25,6,Tirunelveli,Tirunelveli East Market,CAMPUS_ZONE,8.7589,77.7692
62,25,6,Tirunelveli,Tirunelveli East Bypass Hub,TRANSIT_JUNCTION,8.7759,77.7317
63,26,7,Tiruppur,Tiruppur North Sector A,RESIDENTIAL,11.0943,77.4014
64,26,7,Tiruppur,Tiruppur North Market,RESIDENTIAL,11.0589,77.3867
65,27,7,Tiruppur,Tiruppur South Sector A,VILLAGE,11.1418,77.3761
66,27,7,Tiruppur,Tiruppur South Market,COMMERCIAL,11.1412,77.4204
67,28,7,Tiruppur,Tiruppur East Sector A,CAMPUS_ZONE,11.1718,77.3306
68,28,7,Tiruppur,Tiruppur East Market,CAMPUS_ZONE,11.1710,77.3141
69,28,7,Tiruppur,Tiruppur East Bypass Hub,LOGISTICS_PARK,11.1376,77.3468
70,29,8,Erode,Erode North Sector A,CAMPUS_ZONE,11.3615,77.7845
71,29,8,Erode,Erode North Market,COMMERCIAL,11.3628,77.8070
72,30,8,Erode,Erode South Sector A,COMMERCIAL,11.4098,77.7731
73,30,8,Erode,Erode South Market,VILLAGE,11.4029,77.7764
74,30,8,Erode,Erode South Bypass Hub,RESIDENTIAL,11.4072,77.7322
75,31,8,Erode,Erode East Sector A,RESIDENTIAL,11.2960,77.7894
76,31,8,Erode,Erode East Market,TRANSIT_JUNCTION,11.3089,77.7442
77,32,8,Erode,Erode West Sector A,LOGISTICS_PARK,11.2465,77.7021
78,32,8,Erode,Erode West Market,LOGISTICS_PARK,11.2790,77.6908
79,32,8,Erode,Erode West Bypass Hub,RESIDENTIAL,11.2527,77.6717
80,33,9,Vellore,Vellore North Sector A,COMMERCIAL,12.8951,79.1717
81,33,9,Vellore,Vellore North Market,LOGISTICS_PARK,12.8573,79.1830
82,33,9,Vellore,Vellore North Bypass Hub,CAMPUS_ZONE,12.8861,79.1679
83,34,9,Vellore,Vellore South Sector A,CAMPUS_ZONE,12.9599,79.1210
84,34,9,Vellore,Vellore South Market,CAMPUS_ZONE,12.9599,79.1143
85,34,9,Vellore,Vellore South Bypass Hub,LOGISTICS_PARK,12.9503,79.1002
86,35,9,Vellore,Vellore East Sector A,CAMPUS_ZONE,12.9642,79.1865
87,35,9,Vellore,Vellore East Market,COMMERCIAL,12.9754,79.1657
88,36,9,Vellore,Vellore West Sector A,VILLAGE,12.8996,79.1808
89,36,9,Vellore,Vellore West Market,TRANSIT_JUNCTION,12.9197,79.1650
90,37,9,Vellore,Vellore Rural Sector A,LOGISTICS_PARK,12.9006,79.1530
91,37,9,Vellore,Vellore Rural Market,CAMPUS_ZONE,12.9320,79.1334
92,37,9,Vellore,Vellore Rural Bypass Hub,TRANSIT_JUNCTION,12.9152,79.1476
93,38,10,Krishnagiri,Krishnagiri North Sector A,VILLAGE,12.5104,78.1826
94,38,10,Krishnagiri,Krishnagiri North Market,VILLAGE,12.5165,78.1538
95,38,10,Krishnagiri,Krishnagiri North Bypass Hub,VILLAGE,12.4878,78.1699
96,39,10,Krishnagiri,Krishnagiri South Sector A,CAMPUS_ZONE,12.4689,78.2139
97,39,10,Krishnagiri,Krishnagiri South Market,VILLAGE,12.4619,78.2123
98,40,10,Krishnagiri,Krishnagiri East Sector A,CAMPUS_ZONE,12.4702,78.1760
99,40,10,Krishnagiri,Krishnagiri East Market,TRANSIT_JUNCTION,12.4982,78.1703
