station_id,district_id,district_name,station_code,station_name,division,latitude,longitude
1,1,Chennai,PS-CHN-01,Chennai Town PS 1,B1-Division,13.1208,80.2716
2,1,Chennai,PS-CHN-02,Chennai Town PS 2,B2-Division,13.1128,80.3053
3,1,Chennai,PS-CHN-03,Chennai Town PS 3,B3-Division,13.0687,80.2271
4,2,Coimbatore,PS-CBE-01,Coimbatore Town PS 1,B1-Division,11.0574,76.9689
5,2,Coimbatore,PS-CBE-02,Coimbatore Town PS 2,B2-Division,11.0214,76.9878
6,2,Coimbatore,PS-CBE-03,Coimbatore Town PS 3,B3-Division,11.0225,76.9908
7,2,Coimbatore,PS-CBE-04,Coimbatore Town PS 4,B4-Division,10.9824,76.9523
8,2,Coimbatore,PS-CBE-05,Coimbatore Town PS 5,B5-Division,11.0601,76.9144
9,2,Coimbatore,PS-CBE-06,Coimbatore Town PS 6,B6-Division,11.0027,76.9834
10,3,Madurai,PS-MDU-01,Madurai Town PS 1,B1-Division,9.8903,78.1119
11,3,Madurai,PS-MDU-02,Madurai Town PS 2,B2-Division,9.9395,78.0851
12,3,Madurai,PS-MDU-03,Madurai Town PS 3,B3-Division,9.8833,78.0755
13,3,Madurai,PS-MDU-04,Madurai Town PS 4,B4-Division,9.9488,78.0822
14,4,Salem,PS-SLM-01,Salem Town PS 1,B1-Division,11.6643,78.1413
15,4,Salem,PS-SLM-02,Salem Town PS 2,B2-Division,11.6829,78.1001
16,4,Salem,PS-SLM-03,Salem Town PS 3,B3-Division,11.7112,78.1383
17,4,Salem,PS-SLM-04,Salem Town PS 4,B4-Division,11.7094,78.1270
18,5,Tiruchirappalli,PS-TPJ-01,Tiruchirappalli Town PS 1,B1-Division,10.7966,78.7389
19,5,Tiruchirappalli,PS-TPJ-02,Tiruchirappalli Town PS 2,B2-Division,10.8396,78.7019
20,5,Tiruchirappalli,PS-TPJ-03,Tiruchirappalli Town PS 3,B3-Division,10.7639,78.6880
21,5,Tiruchirappalli,PS-TPJ-04,Tiruchirappalli Town PS 4,B4-Division,10.7756,78.6991
22,5,Tiruchirappalli,PS-TPJ-05,Tiruchirappalli Town PS 5,B5-Division,10.8204,78.7152
23,5,Tiruchirappalli,PS-TPJ-06,Tiruchirappalli Town PS 6,B6-Division,10.7420,78.7505
24,6,Tirunelveli,PS-TIN-01,Tirunelveli Town PS 1,B1-Division,8.6775,77.7211
25,6,Tirunelveli,PS-TIN-02,Tirunelveli Town PS 2,B2-Division,8.7415,77.7233
26,6,Tirunelveli,PS-TIN-03,Tirunelveli Town PS 3,B3-Division,8.7525,77.7633
27,6,Tirunelveli,PS-TIN-04,Tirunelveli Town PS 4,B4-Division,8.7403,77.7528
28,7,Tiruppur,PS-TPR-01,Tiruppur Town PS 1,B1-Division,11.0660,77.3406
29,7,Tiruppur,PS-TPR-02,Tiruppur Town PS 2,B2-Division,11.1046,77.3106
30,7,Tiruppur,PS-TPR-03,Tiruppur Town PS 3,B3-Division,11.1333,77.3604
31,8,Erode,PS-ERD-01,Erode Town PS 1,B1-Division,11.3603,77.7229
32,8,Erode,PS-ERD-02,Erode Town PS 2,B2-Division,11.3084,77.7065
33,8,Erode,PS-ERD-03,Erode Town PS 3,B3-Division,11.3601,77.6922
