report_id,anonymous_token,received_at,district_id,district_name,taluk_id,taluk_name,locality_id,locality_name,signal_type,drug_category,description,source_channel,verification_status,processing_status,duplicate_group_id,risk_relevance,confidence_score,is_first_time_signal
CR-2026-00001,ANON-TN-B04FAE2715,2024-12-11 16:02:41,10,Krishnagiri,41,Krishnagiri West,94,Krishnagiri North Market,HEALTH_EMERGENCY,UNKNOWN_CONTRABAND,Anonymous observation reported near Krishnagiri North Market locality in Krishnagiri.,WEB_PORTAL,CORROBORATED,PROCESSED,DUP-GRP-395,MEDIUM,62,0
CR-2026-00002,ANON-TN-3EC9815278,2025-08-18 09:11:37,16,Kancheepuram,64,Kancheepuram East,156,Kancheepuram South Sector A,REHAB_NEED,PRESCRIPTION_NARCOTICS,Anonymous observation reported near Kancheepuram South Sector A locality in Kancheepuram.,WEB_PORTAL,CORROBORATED,PROCESSED,DUP-GRP-161,LOW,65,0
CR-2026-00003,ANON-TN-C285C9F2E4,2025-03-25 20:06:14,19,Cuddalore,78,Cuddalore West,198,Cuddalore Rural Market,SUSPECTED_DISTRIBUTION,OPIOID_ANALOGUES,Anonymous observation reported near Cuddalore Rural Market locality in Cuddalore.,TELEGRAM_BOT,CORROBORATED,PROCESSED,DUP-GRP-66,HIGH,58,0
CR-2026-00004,ANON-TN-59A44D6792,2026-02-28 10:21:44,21,Kallakurichi,87,Kallakurichi Rural,212,Kallakurichi East Market,REHAB_NEED,CHEMICAL_PRECURSORS,Anonymous observation reported near Kallakurichi East Market locality in Kallakurichi.,MOBILE_APP,CORROBORATED,PROCESSED,DUP-GRP-28,MEDIUM,67,0
CR-2026-00005,ANON-TN-C6C53A53C2,2026-06-12 15:12:14,24,Nilgiris,96,Nilgiris North,239,Nilgiris South Market,COMMUNITY_CONCERN,CHEMICAL_PRECURSORS,Anonymous observation reported near Nilgiris South Market locality in Nilgiris.,TOLL_FREE_IVR,NEEDS_VERIFICATION,PROCESSED,DUP-GRP-30,LOW,66,1
CR-2026-00006,ANON-TN-F1BD8DDAA7,2025-03-28 04:58:06,28,Pudukkottai,111,Pudukkottai North,276,Pudukkottai South Market,HEALTH_EMERGENCY,COMMERCIAL_GANJA,Anonymous observation reported near Pudukkottai South Market locality in Pudukkottai.,WEB_PORTAL,DISMISSED,PROCESSED,DUP-GRP-193,HIGH,86,0
CR-2026-00007,ANON-TN-7BB11764A4,2026-03-15 06:05:39,8,Erode,29,Erode North,76,Erode East Market,HEALTH_EMERGENCY,OPIOID_ANALOGUES,Anonymous observation reported near Erode East Market locality in Erode.,WEB_PORTAL,DISMISSED,PROCESSED,DUP-GRP-41,LOW,78,0
CR-2026-00008,ANON-TN-CEDBA957CB,2024-09-23 20:53:29,21,Kallakurichi,86,Kallakurichi West,213,Kallakurichi East Bypass Hub,REHAB_NEED,PRESCRIPTION_NARCOTICS,Anonymous observation reported near Kallakurichi East Bypass Hub locality in Kallakurichi.,TELEGRAM_BOT,NEEDS_VERIFICATION,PROCESSED,DUP-GRP-230,LOW,60,0
CR-2026-00009,ANON-TN-818CCB1269,2026-06-21 20:05:50,23,Namakkal,95,Namakkal West,229,Namakkal South Sector A,COMMUNITY_CONCERN,PRESCRIPTION_NARCOTICS,Anonymous observation reported near Namakkal South Sector A locality in Namakkal.,TELEGRAM_BOT,UNVERIFIED,PROCESSED,DUP-GRP-245,LOW,78,1
CR-2026-00010,ANON-TN-300456CB49,2026-01-18 15:26:53,35,Mayiladuthurai,143,Mayiladuthurai West,343,Mayiladuthurai North Sector A,COMMUNITY_CONCERN,CHEMICAL_PRECURSORS,Anonymous observation reported near Mayiladuthurai North Sector A locality in Mayiladuthurai.,TOLL_FREE_IVR,UNVERIFIED,PROCESSED,DUP-GRP-394,MEDIUM,91,0
CR-2026-00011,ANON-TN-5C8C2AE8EA,2025-01-06 19:05:46,13,Thoothukudi,49,Thoothukudi North,130,Thoothukudi West Market,REHAB_NEED,UNKNOWN_CONTRABAND,Anonymous observation reported near Thoothukudi West Market locality in Thoothukudi.,MOBILE_APP,UNVERIFIED,PROCESSED,DUP-GRP-142,MEDIUM,79,0
CR-2026-00012,ANON-TN-0A750BEC8A,2024-10-13 09:05:27,22,Dharmapuri,88,Dharmapuri North,225,Dharmapuri West Sector A,COMMUNITY_CONCERN,CHEMICAL_PRECURSORS,Anonymous observation reported near Dharmapuri West Sector A locality in Dharmapuri.,MOBILE_APP,CORROBORATED,PROCESSED,DUP-GRP-179,MEDIUM,88,0
CR-2026-00013,ANON-TN-744319D8F6,2025-06-29 16:09:10,13,Thoothukudi,51,Thoothukudi East,125,Thoothukudi South Sector A,HEALTH_EMERGENCY,PRESCRIPTION_NARCOTICS,Anonymous observation reported near Thoothukudi South Sector A locality in Thoothukudi.,MOBILE_APP,CORROBORATED,PROCESSED,DUP-GRP-123,LOW,81,0
