report_id,station_id,station_name,district_id,district_name,incident_timestamp,incident_type,drug_category,status,reporting_wing,evidence_confidence
PR-2026-00001,73,Chengalpattu Town PS 4,17,Chengalpattu,2026-08-18 10:43:19,RAID_SEIZURE,PRESCRIPTION_NARCOTICS,VERIFIED_INCIDENT,STATION_BEAT,77
PR-2026-00002,80,Cuddalore Town PS 3,19,Cuddalore,2024-10-30 15:45:07,CHECKPOST_INTERCEPTION,COMMERCIAL_GANJA,VERIFIED_INCIDENT,PROHIBITION_WING,79
PR-2026-00003,21,Tiruchirappalli Town PS 4,5,Tiruchirappalli,2026-05-17 13:09:03,RAID_SEIZURE,UNKNOWN_CONTRABAND,UNDER_INVESTIGATION,HIGHWAY_PATROL,95
PR-2026-00004,162,Tirupathur Town PS 2,37,Tirupathur,2025-08-07 09:09:12,RAID_SEIZURE,COMMERCIAL_GANJA,ACTION_COMPLETED,CRIME_BRANCH,90
PR-2026-00005,83,Cuddalore Town PS 6,19,Cuddalore,2025-09-09 11:18:15,CHECKPOST_INTERCEPTION,OPIOID_ANALOGUES,ACTION_COMPLETED,STATION_BEAT,81
PR-2026-00006,63,Tenkasi Town PS 4,15,Tenkasi,2026-05-28 20:29:03,TIP_VERIFICATION,OPIOID_ANALOGUES,ACTION_COMPLETED,HIGHWAY_PATROL,88
PR-2026-00007,58,Kanniyakumari Town PS 5,14,Kanniyakumari,2026-04-11 19:00:55,TIP_VERIFICATION,CHEMICAL_PRECURSORS,VERIFIED_INCIDENT,HIGHWAY_PATROL,75
PR-2026-00008,156,Ranipet Town PS 1,36,Ranipet,2025-09-25 05:12:11,ROUTINE_PATROL_SCAN,UNKNOWN_CONTRABAND,UNDER_INVESTIGATION,HIGHWAY_PATROL,78
PR-2026-00009,94,Dharmapuri Town PS 2,22,Dharmapuri,2025-03-23 22:39:05,ROUTINE_PATROL_SCAN,SYNTHETIC_MDMA,VERIFIED_INCIDENT,CRIME_BRANCH,81
PR-2026-00010,84,Viluppuram Town PS 1,20,Viluppuram,2025-06-05 21:57:01,CHECKPOST_INTERCEPTION,PRESCRIPTION_NARCOTICS,UNDER_INVESTIGATION,HIGHWAY_PATROL,97
PR-2026-00011,161,Tirupathur Town PS 1,37,Tirupathur,2026-06-06 09:12:25,RAID_SEIZURE,COMMERCIAL_GANJA,UNDER_INVESTIGATION,STATION_BEAT,79
PR-2026-00012,59,Kanniyakumari Town PS 6,14,Kanniyakumari,2025-09-13 15:29:01,CHECKPOST_INTERCEPTION,SYNTHETIC_MDMA,VERIFIED_INCIDENT,STATION_BEAT,94
PR-2026-00013,20,Tiruchirappalli Town PS 3,5,Tiruchirappalli,2024-11-19 02:13:45,RAID_SEIZURE,UNKNOWN_CONTRABAND,UNDER_INVESTIGATION,STATION_BEAT,88
PR-2026-00014,154,Mayiladuthurai Town PS 4,35,Mayiladuthurai,2025-04-30 07:13:26,TIP_VERIFICATION,COMMERCIAL_GANJA,ACTION_COMPLETED,PROHIBITION_WING,90
PR-2026-00015,35,Vellore Town PS 2,9,Vellore,2025-09-21 06:18:23,CHECKPOST_INTERCEPTION,OPIOID_ANALOGUES,VERIFIED_INCIDENT,STATION_BEAT,81
PR-2026-00016,107,Karur Town PS 1,25,Karur,2025-10-26 15:42:41,RAID_SEIZURE,COMMERCIAL_GANJA,ACTION_COMPLETED,HIGHWAY_PATROL,79
PR-2026-00017,165,Tiruvannamalai Town PS 1,38,Tiruvannamalai,2026-04-10 01:24:10,TIP_VERIFICATION,PRESCRIPTION_NARCOTICS,ACTION_COMPLETED,HIGHWAY_PATROL,92
PR-2026-00018,64,Tenkasi Town PS 5,15,Tenkasi,2025-03-15 16:56:38,ROUTINE_PATROL_SCAN,SYNTHETIC_MDMA,VERIFIED_INCIDENT,PROHIBITION_WING,89
PR-2026-00019,156,Ranipet Town PS 1,36,Ranipet,2025-03-06 16:37:39,TIP_VERIFICATION,SYNTHETIC_MDMA,ACTION_COMPLETED,STATION_BEAT,90
PR-2026-00020,84,Viluppuram Town PS 1,20,Viluppuram,2025-02-28 08:54:43,ROUTINE_PATROL_SCAN,UNKNOWN_CONTRABAND,UNDER_INVESTIGATION,STATION_BEAT,97
PR-2026-00021,152,Mayiladuthurai Town PS 2,35,Mayiladuthurai,2026-07-30 07:29:48,TIP_VERIFICATION,UNKNOWN_CONTRABAND,VERIFIED_INCIDENT,HIGHWAY_PATROL,90
PR-2026-00022,19,Tiruchirappalli Town PS 2,5,Tiruchirappalli,2024-12-07 14:24:42,CHECKPOST_INTERCEPTION,UNKNOWN_CONTRABAND,VERIFIED_INCIDENT,STATION_BEAT,93
PR-2026-00023,122,Pudukkottai Town PS 5,28,Pudukkottai,2024-10-22 06:13:17,TIP_VERIFICATION,CHEMICAL_PRECURSORS,UNDER_INVESTIGATION,HIGHWAY_PATROL,87
PR-2026-00024,24,Tirunelveli Town PS 1,6,Tirunelveli,2025-07-16 18:26:30,RAID_SEIZURE,UNKNOWN_CONTRABAND,VERIFIED_INCIDENT,STATION_BEAT,97
PR-2026-00025,13,Madurai Town PS 4,3,Madurai,2025-08-08 20:21:31,RAID_SEIZURE,UNKNOWN_CONTRABAND,VERIFIED_INCIDENT,STATION_BEAT,97
PR-2026-00026,56,Kanniyakumari Town PS 3,14,Kanniyakumari,2025-02-06 07:29:07,ROUTINE_PATROL_SCAN,UNKNOWN_CONTRABAND,UNDER_INVESTIGATION,PROHIBITION_WING,79
PR-2026-00027,72,Chengalpattu Town PS 3,17,Chengalpattu,2025-10-14 13:08:51,RAID_SEIZURE,UNKNOWN_CONTRABAND,ACTION_COMPLETED,CRIME_BRANCH,76
PR-2026-00028,168,Tiruvannamalai Town PS 4,38,Tiruvannamalai,2025-01-05 08:22:48,TIP_VERIFICATION,SYNTHETIC_MDMA,UNDER_INVESTIGATION,STATION_BEAT,77
PR-2026-00029,139,Theni Town PS 2,32,Theni,2025-01-13 09:15:17,RAID_SEIZURE,CHEMICAL_PRECURSORS,UNDER_INVESTIGATION,PROHIBITION_WING,93
PR-2026-00030,152,Mayiladuthurai Town PS 2,35,Mayiladuthurai,2025-10-19 15:07:41,ROUTINE_PATROL_SCAN,SYNTHETIC_MDMA,ACTION_COMPLETED,STATION_BEAT,96
PR-2026-00031,12,Madurai Town PS 3,3,Madurai,2024-10-16 11:02:39,RAID_SEIZURE,PRESCRIPTION_NARCOTICS,ACTION_COMPLETED,PROHIBITION_WING,86
PR-2026-00032,163,Tirupathur Town PS 3,37,Tirupathur,2026-07-26 17:56:56,TIP_VERIFICATION,COMMERCIAL_GANJA,VERIFIED_INCIDENT,HIGHWAY_PATROL,98
PR-2026-00033,103,Nilgiris Town PS 1,24,Nilgiris,2026-03-04 05:42:09,CHECKPOST_INTERCEPTION,SYNTHETIC_MDMA,ACTION_COMPLETED,PROHIBITION_WING,84
PR-2026-00034,24,Tirunelveli Town PS 1,6,Tirunelveli,2026-07-31 06:52:54,TIP_VERIFICATION,SYNTHETIC_MDMA,VERIFIED_INCIDENT,HIGHWAY_PATROL,78
PR-2026-00035,145,Thiruvarur Town PS 5,33,Thiruvarur,2025-03-27 08:39:23,ROUTINE_PATROL_SCAN,OPIOID_ANALOGUES,VERIFIED_INCIDENT,HIGHWAY_PATROL,94
PR-2026-00036,146,Thiruvarur Town PS 6,33,Thiruvarur,2026-05-20 17:55:25,RAID_SEIZURE,SYNTHETIC_MDMA,VERIFIED_INCIDENT,CRIME_BRANCH,93
PR-2026-00037,9,Coimbatore Town PS 6,2,Coimbatore,2025-07-15 16:44:57,RAID_SEIZURE,UNKNOWN_CONTRABAND,ACTION_COMPLETED,STATION_BEAT,75
PR-2026-00038,116,Perambalur Town PS 3,27,Perambalur,2026-06-10 18:23:26,CHECKPOST_INTERCEPTION,COMMERCIAL_GANJA,UNDER_INVESTIGATION,STATION_BEAT,75
PR-2026-00039,138,Theni Town PS 1,32,Theni,2026-05-01 04:00:58,TIP_VERIFICATION,COMMERCIAL_GANJA,UNDER_INVESTIGATION,HIGHWAY_PATROL,77
PR-2026-00040,121,Pudukkottai Town PS 4,28,Pudukkottai,2024-12-17 08:18:02,TIP_VERIFICATION,OPIOID_ANALOGUES,UNDER_INVESTIGATION,CRIME_BRANCH,79
PR-2026-00041,69,Kancheepuram Town PS 5,16,Kancheepuram,2026-01-18 20:45:29,TIP_VERIFICATION,UNKNOWN_CONTRABAND,ACTION_COMPLETED,HIGHWAY_PATROL,88
PR-2026-00042,51,Thoothukudi Town PS 4,13,Thoothukudi,2024-10-27 11:00:11,RAID_SEIZURE,SYNTHETIC_MDMA,UNDER_INVESTIGATION,PROHIBITION_WING,80
PR-2026-00043,4,Coimbatore Town PS 1,2,Coimbatore,2024-10-28 12:37:54,RAID_SEIZURE,PRESCRIPTION_NARCOTICS,UNDER_INVESTIGATION,PROHIBITION_WING,78
PR-2026-00044,39,Krishnagiri Town PS 3,10,Krishnagiri,2025-10-08 01:37:58,CHECKPOST_INTERCEPTION,OPIOID_ANALOGUES,UNDER_INVESTIGATION,PROHIBITION_WING,90
PR-2026-00045,43,Dindigul Town PS 4,11,Dindigul,2025-12-30 12:35:18,TIP_VERIFICATION,PRESCRIPTION_NARCOTICS,VERIFIED_INCIDENT,PROHIBITION_WING,88
PR-2026-00046,91,Kallakurichi Town PS 5,21,Kallakurichi,2026-03-18 11:00:35,CHECKPOST_INTERCEPTION,UNKNOWN_CONTRABAND,VERIFIED_INCIDENT,CRIME_BRANCH,89
PR-2026-00047,96,Dharmapuri Town PS 4,22,Dharmapuri,2024-12-04 16:34:06,ROUTINE_PATROL_SCAN,PRESCRIPTION_NARCOTICS,ACTION_COMPLETED,STATION_BEAT,77
PR-2026-00048,139,Theni Town PS 2,32,Theni,2025-01-11 12:17:06,RAID_SEIZURE,SYNTHETIC_MDMA,UNDER_INVESTIGATION,PROHIBITION_WING,80
PR-2026-00049,38,Krishnagiri Town PS 2,10,Krishnagiri,2024-10-19 14:39:33,TIP_VERIFICATION,SYNTHETIC_MDMA,ACTION_COMPLETED,HIGHWAY_PATROL,79
PR-2026-00050,156,Ranipet Town PS 1,36,Ranipet,2026-03-24 02:58:59,RAID_SEIZURE,PRESCRIPTION_NARCOTICS,VERIFIED_INCIDENT,PROHIBITION_WING,75
PR-2026-00051,21,Tiruchirappalli Town PS 4,5,Tiruchirappalli,2026-02-04 13:38:01,CHECKPOST_INTERCEPTION,COMMERCIAL_GANJA,ACTION_COMPLETED,PROHIBITION_WING,90
PR-2026-00052,166,Tiruvannamalai Town PS 2,38,Tiruvannamalai,2026-04-29 01:17:20,RAID_SEIZURE,OPIOID_ANALOGUES,UNDER_INVESTIGATION,CRIME_BRANCH,82
PR-2026-00053,48,Thoothukudi Town PS 1,13,Thoothukudi,2025-12-09 06:57:05,TIP_VERIFICATION,UNKNOWN_CONTRABAND,ACTION_COMPLETED,STATION_BEAT,88
