fir_number,station_id,station_name,district_id,district_name,fir_date,offense_section,drug_category,quantity_band,investigation_status,confidence_score
FIR-CUD-2025-0001,83,Cuddalore Town PS 6,19,Cuddalore,2025-05-02 08:21:38,NDPS ACT SEC 8(c)/20(b)/22,CHEMICAL_PRECURSORS,SMALL_QUANTITY,PENDING_TRIAL,87
FIR-MYD-2026-0002,151,Mayiladuthurai Town PS 1,35,Mayiladuthurai,2026-08-13 04:04:00,NDPS ACT SEC 8(c)/20(b)/22,PRESCRIPTION_NARCOTICS,INTERMEDIATE_QUANTITY,UNDER_INVESTIGATION,99
FIR-VEL-2025-0003,34,Vellore Town PS 1,9,Vellore,2024-11-03 16:00:27,NDPS ACT SEC 8(c)/20(b)/22,PRESCRIPTION_NARCOTICS,COMMERCIAL_QUANTITY,CHARGESHEET_FILED,95
FIR-TVR-2025-0004,141,Thiruvarur Town PS 1,33,Thiruvarur,2026-03-06 05:24:59,NDPS ACT SEC 8(c)/20(b)/22,OPIOID_ANALOGUES,COMMERCIAL_QUANTITY,CHARGESHEET_FILED,86
FIR-KRR-2026-0005,108,Karur Town PS 2,25,Karur,2026-06-02 15:36:52,NDPS ACT SEC 8(c)/20(b)/22,CHEMICAL_PRECURSORS,SMALL_QUANTITY,UNDER_INVESTIGATION,94
FIR-CGL-2026-0006,73,Chengalpattu Town PS 4,17,Chengalpattu,2026-04-10 07:11:08,NDPS ACT SEC 8(c)/20(b)/22,PRESCRIPTION_NARCOTICS,INTERMEDIATE_QUANTITY,UNDER_INVESTIGATION,91
FIR-DGL-2025-0007,40,Dindigul Town PS 1,11,Dindigul,2025-08-09 14:04:11,NDPS ACT SEC 8(c)/20(b)/22,UNKNOWN_CONTRABAND,INTERMEDIATE_QUANTITY,PENDING_TRIAL,96
FIR-RNP-2025-0008,156,Ranipet Town PS 1,36,Ranipet,2025-04-24 07:50:05,NDPS ACT SEC 8(c)/20(b)/22,COMMERCIAL_GANJA,INTERMEDIATE_QUANTITY,CHARGESHEET_FILED,85
FIR-ARI-2026-0009,110,Ariyalur Town PS 1,26,Ariyalur,2025-08-14 19:35:55,NDPS ACT SEC 8(c)/20(b)/22,COMMERCIAL_GANJA,INTERMEDIATE_QUANTITY,UNDER_INVESTIGATION,94
FIR-PBL-2025-0010,115,Perambalur Town PS 2,27,Perambalur,2025-01-18 04:19:08,NDPS ACT SEC 8(c)/20(b)/22,SYNTHETIC_MDMA,COMMERCIAL_QUANTITY,UNDER_INVESTIGATION,91
FIR-KCP-2026-0011,69,Kancheepuram Town PS 5,16,Kancheepuram,2025-09-14 17:51:16,NDPS ACT SEC 8(c)/20(b)/22,SYNTHETIC_MDMA,COMMERCIAL_QUANTITY,UNDER_INVESTIGATION,93
FIR-VLP-2026-0012,85,Viluppuram Town PS 2,20,Viluppuram,2025-10-27 14:12:28,NDPS ACT SEC 8(c)/20(b)/22,COMMERCIAL_GANJA,COMMERCIAL_QUANTITY,UNDER_INVESTIGATION,89
FIR-KLK-2026-0013,92,Kallakurichi Town PS 6,21,Kallakurichi,2025-05-04 13:34:37,NDPS ACT SEC 8(c)/20(b)/22,PRESCRIPTION_NARCOTICS,INTERMEDIATE_QUANTITY,UNDER_INVESTIGATION,94
FIR-KKI-2026-0014,56,Kanniyakumari Town PS 3,14,Kanniyakumari,2025-03-23 14:21:50,NDPS ACT SEC 8(c)/20(b)/22,OPIOID_ANALOGUES,INTERMEDIATE_QUANTITY,CHARGESHEET_FILED,97
FIR-TIN-2026-0015,26,Tirunelveli Town PS 3,6,Tirunelveli,2025-08-05 10:01:39,NDPS ACT SEC 8(c)/20(b)/22,OPIOID_ANALOGUES,COMMERCIAL_QUANTITY,CHARGESHEET_FILED,87
FIR-CHN-2025-0016,2,Chennai Town PS 2,1,Chennai,2024-11-22 20:37:20,NDPS ACT SEC 8(c)/20(b)/22,CHEMICAL_PRECURSORS,COMMERCIAL_QUANTITY,CHARGESHEET_FILED,95
FIR-PDK-2026-0017,118,Pudukkottai Town PS 1,28,Pudukkottai,2026-01-13 02:54:38,NDPS ACT SEC 8(c)/20(b)/22,OPIOID_ANALOGUES,SMALL_QUANTITY,UNDER_INVESTIGATION,96
FIR-VRD-2025-0018,134,Virudhunagar Town PS 3,31,Virudhunagar,2026-04-05 00:53:09,NDPS ACT SEC 8(c)/20(b)/22,OPIOID_ANALOGUES,INTERMEDIATE_QUANTITY,UNDER_INVESTIGATION,95
