signal_id,call_timestamp,district_id,district_name,helpline_source,request_type,drug_category,confidence_score
HL-2026-00001,2026-02-10 07:53:59,19,Cuddalore,1098_CHILDLINE_REFERRAL,COMMUNITY_SUSPICION,COMMERCIAL_GANJA,73
HL-2026-00002,2025-12-29 23:18:17,11,Dindigul,112_EMERGENCY_DISPATCH,YOUTH_COUNSELLING_REQUEST,CHEMICAL_PRECURSORS,87
HL-2026-00003,2025-02-24 02:46:53,36,Ranipet,112_EMERGENCY_DISPATCH,COMMUNITY_SUSPICION,CHEMICAL_PRECURSORS,84
HL-2026-00004,2025-05-22 15:29:18,15,Tenkasi,1098_CHILDLINE_REFERRAL,YOUTH_COUNSELLING_REQUEST,OPIOID_ANALOGUES,81
HL-2026-00005,2024-11-22 23:07:57,21,Kallakurichi,1098_CHILDLINE_REFERRAL,YOUTH_COUNSELLING_REQUEST,UNKNOWN_CONTRABAND,80
HL-2026-00006,2025-08-07 15:15:46,24,Nilgiris,112_EMERGENCY_DISPATCH,DE_ADDICTION_SUPPORT,COMMERCIAL_GANJA,63
HL-2026-00007,2026-06-12 11:50:45,35,Mayiladuthurai,1098_CHILDLINE_REFERRAL,DE_ADDICTION_SUPPORT,COMMERCIAL_GANJA,62
HL-2026-00008,2025-12-16 15:57:05,7,Tiruppur,1098_CHILDLINE_REFERRAL,COMMUNITY_SUSPICION,SYNTHETIC_MDMA,76
HL-2026-00009,2026-05-19 06:18:05,28,Pudukkottai,112_EMERGENCY_DISPATCH,YOUTH_COUNSELLING_REQUEST,CHEMICAL_PRECURSORS,87
HL-2026-00010,2025-05-13 01:15:17,20,Viluppuram,10583_STATE_HELPLINE,DE_ADDICTION_SUPPORT,SYNTHETIC_MDMA,71
HL-2026-00011,2025-02-22 17:34:39,1,Chennai,1098_CHILDLINE_REFERRAL,DE_ADDICTION_SUPPORT,CHEMICAL_PRECURSORS,84
