health_record_id,reporting_period,district_id,district_name,facility_type,aggregate_signal_type,primary_category,aggregate_patient_count,confidence_score
HR-2026-00001,2025-03-07 11:35:55,9,Vellore,LICENSED_DE_ADDICTION_NGO,TOXICOLOGY_SCREEN_AGGREGATE,SYNTHETIC_MDMA,5,85
HR-2026-00002,2024-11-22 12:21:52,34,Nagapattinam,DISTRICT_HQ_HOSPITAL,TOXICOLOGY_SCREEN_AGGREGATE,OPIOID_ANALOGUES,9,85
HR-2026-00003,2025-07-29 07:42:45,8,Erode,DISTRICT_HQ_HOSPITAL,OUTPATIENT_SUBSTANCE_CONSULT,SYNTHETIC_MDMA,9,87
HR-2026-00004,2025-12-04 06:41:01,31,Virudhunagar,GOVT_MEDICAL_COLLEGE_PSYCH,WITHDRAWAL_ADMISSION,PRESCRIPTION_NARCOTICS,7,72
HR-2026-00005,2025-07-11 22:35:09,10,Krishnagiri,GOVT_MEDICAL_COLLEGE_PSYCH,TOXICOLOGY_SCREEN_AGGREGATE,CHEMICAL_PRECURSORS,12,82
HR-2026-00006,2024-11-07 04:05:20,30,Ramanathapuram,LICENSED_DE_ADDICTION_NGO,TOXICOLOGY_SCREEN_AGGREGATE,SYNTHETIC_MDMA,4,72
HR-2026-00007,2025-07-13 07:08:06,5,Tiruchirappalli,LICENSED_DE_ADDICTION_NGO,WITHDRAWAL_ADMISSION,OPIOID_ANALOGUES,15,93
HR-2026-00008,2024-12-03 04:27:29,35,Mayiladuthurai,GOVT_MEDICAL_COLLEGE_PSYCH,WITHDRAWAL_ADMISSION,PRESCRIPTION_NARCOTICS,6,77
HR-2026-00009,2025-05-26 00:44:10,25,Karur,LICENSED_DE_ADDICTION_NGO,OUTPATIENT_SUBSTANCE_CONSULT,PRESCRIPTION_NARCOTICS,1,85
HR-2026-00010,2025-01-02 16:55:53,23,Namakkal,GOVT_MEDICAL_COLLEGE_PSYCH,OUTPATIENT_SUBSTANCE_CONSULT,SYNTHETIC_MDMA,10,91
