enforcement_id,district_id,district_name,activity_timestamp,operation_type,outcome_summary,enforcing_agency,data_integrity_score
ENF-2026-00001,1,Chennai,2025-09-09 14:26:12,SPECIAL_CAMPUS_DRIVE,SEIZURE_REGISTERED,DISTRICT_SPECIAL_TASK_FORCE,89
ENF-2026-00002,29,Sivaganga,2025-12-06 00:00:17,COASTAL_PATROL_SWEEP,SEIZURE_REGISTERED,COASTAL_SECURITY_GROUP,91
ENF-2026-00003,38,Tiruvannamalai,2026-05-07 22:31:07,HOTEL_LODGE_SURPRISE_INSPECTION,INTERMEDIATE_DISCREPANCY,DISTRICT_SPECIAL_TASK_FORCE,91
ENF-2026-00004,8,Erode,2026-08-09 02:15:32,INTENSIVE_VEHICLE_CHECK,INTERMEDIATE_DISCREPANCY,COASTAL_SECURITY_GROUP,99
ENF-2026-00005,16,Kancheepuram,2024-09-20 12:16:25,HOTEL_LODGE_SURPRISE_INSPECTION,INTERMEDIATE_DISCREPANCY,PROHIBITION_ENFORCEMENT_WING,95
ENF-2026-00006,19,Cuddalore,2025-10-09 19:41:07,COASTAL_PATROL_SWEEP,SEIZURE_REGISTERED,PROHIBITION_ENFORCEMENT_WING,92
ENF-2026-00007,27,Perambalur,2026-03-01 17:44:10,COASTAL_PATROL_SWEEP,SEIZURE_REGISTERED,COASTAL_SECURITY_GROUP,90
ENF-2026-00008,1,Chennai,2024-10-10 18:48:54,COASTAL_PATROL_SWEEP,SEIZURE_REGISTERED,DISTRICT_SPECIAL_TASK_FORCE,94
ENF-2026-00009,30,Ramanathapuram,2026-06-08 14:01:37,INTENSIVE_VEHICLE_CHECK,NO_CONTRABAND_FOUND,PROHIBITION_ENFORCEMENT_WING,96
ENF-2026-00010,10,Krishnagiri,2024-11-08 14:23:09,COASTAL_PATROL_SWEEP,NO_CONTRABAND_FOUND,DISTRICT_SPECIAL_TASK_FORCE,97
ENF-2026-00011,3,Madurai,2025-10-07 13:18:44,HOTEL_LODGE_SURPRISE_INSPECTION,NO_CONTRABAND_FOUND,PROHIBITION_ENFORCEMENT_WING,88
ENF-2026-00012,31,Virudhunagar,2026-01-13 15:56:35,HOTEL_LODGE_SURPRISE_INSPECTION,NO_CONTRABAND_FOUND,PROHIBITION_ENFORCEMENT_WING,91
ENF-2026-00013,3,Madurai,2026-05-05 07:01:05,HOTEL_LODGE_SURPRISE_INSPECTION,INTERMEDIATE_DISCREPANCY,DISTRICT_SPECIAL_TASK_FORCE,94
ENF-2026-00014,25,Karur,2025-05-03 03:03:25,SPECIAL_CAMPUS_DRIVE,SEIZURE_REGISTERED,COASTAL_SECURITY_GROUP,96
ENF-2026-00015,29,Sivaganga,2026-03-05 05:23:46,COASTAL_PATROL_SWEEP,INTERMEDIATE_DISCREPANCY,PROHIBITION_ENFORCEMENT_WING,85
ENF-2026-00016,36,Ranipet,2025-05-14 03:51:36,COASTAL_PATROL_SWEEP,INTERMEDIATE_DISCREPANCY,PROHIBITION_ENFORCEMENT_WING,90
ENF-2026-00017,10,Krishnagiri,2025-01-03 17:09:42,SPECIAL_CAMPUS_DRIVE,SEIZURE_REGISTERED,PROHIBITION_ENFORCEMENT_WING,88
ENF-2026-00018,12,Thanjavur,2025-01-30 13:11:32,INTENSIVE_VEHICLE_CHECK,INTERMEDIATE_DISCREPANCY,PROHIBITION_ENFORCEMENT_WING,87
ENF-2026-00019,17,Chengalpattu,2025-02-03 03:07:06,INTENSIVE_VEHICLE_CHECK,SEIZURE_REGISTERED,COASTAL_SECURITY_GROUP,94
ENF-2026-00020,25,Karur,2025-07-25 18:14:30,COASTAL_PATROL_SWEEP,NO_CONTRABAND_FOUND,PROHIBITION_ENFORCEMENT_WING,95
ENF-2026-00021,28,Pudukkottai,2025-01-19 20:28:51,COASTAL_PATROL_SWEEP,NO_CONTRABAND_FOUND,DISTRICT_SPECIAL_TASK_FORCE,85
ENF-2026-00022,19,Cuddalore,2024-11-05 20:19:45,COASTAL_PATROL_SWEEP,NO_CONTRABAND_FOUND,COASTAL_SECURITY_GROUP,87
ENF-2026-00023,7,Tiruppur,2025-12-29 04:45:18,SPECIAL_CAMPUS_DRIVE,SEIZURE_REGISTERED,DISTRICT_SPECIAL_TASK_FORCE,98
ENF-2026-00024,11,Dindigul,2025-06-10 22:59:51,SPECIAL_CAMPUS_DRIVE,NO_CONTRABAND_FOUND,PROHIBITION_ENFORCEMENT_WING,85
ENF-2026-00025,25,Karur,2025-02-26 15:55:54,HOTEL_LODGE_SURPRISE_INSPECTION,INTERMEDIATE_DISCREPANCY,COASTAL_SECURITY_GROUP,98
ENF-2026-00026,18,Tiruvallur,2025-03-22 21:47:46,HOTEL_LODGE_SURPRISE_INSPECTION,NO_CONTRABAND_FOUND,COASTAL_SECURITY_GROUP,90
ENF-2026-00027,27,Perambalur,2025-04-23 15:52:13,SPECIAL_CAMPUS_DRIVE,INTERMEDIATE_DISCREPANCY,COASTAL_SECURITY_GROUP,97
ENF-2026-00028,13,Thoothukudi,2026-01-02 23:39:34,INTENSIVE_VEHICLE_CHECK,INTERMEDIATE_DISCREPANCY,DISTRICT_SPECIAL_TASK_FORCE,89
ENF-2026-00029,35,Mayiladuthurai,2025-06-03 06:31:10,HOTEL_LODGE_SURPRISE_INSPECTION,SEIZURE_REGISTERED,COASTAL_SECURITY_GROUP,92
ENF-2026-00030,25,Karur,2025-10-26 04:44:59,COASTAL_PATROL_SWEEP,SEIZURE_REGISTERED,PROHIBITION_ENFORCEMENT_WING,85
ENF-2026-00031,6,Tirunelveli,2025-03-24 19:05:13,INTENSIVE_VEHICLE_CHECK,NO_CONTRABAND_FOUND,DISTRICT_SPECIAL_TASK_FORCE,88
ENF-2026-00032,17,Chengalpattu,2025-02-26 22:30:29,HOTEL_LODGE_SURPRISE_INSPECTION,NO_CONTRABAND_FOUND,DISTRICT_SPECIAL_TASK_FORCE,93
