signal_id,district_id,district_name,event_timestamp,signal_source,drug_category,risk_indicator,confidence_score,lifecycle_state,is_first_time_signal
SIG-TN-00001,2,Coimbatore,2025-11-20 20:04:10,POLICE_INVESTIGATION,OPIOID_ANALOGUES,HIGH_PREVENTIVE_ATTENTION,87,RECURRENT_PATTERN,0
SIG-TN-00002,38,Tiruvannamalai,2024-09-24 17:30:37,CITIZEN_AGGREGATE,PRESCRIPTION_NARCOTICS,EMERGING,81,RECURRENT_PATTERN,0
SIG-TN-00003,11,Dindigul,2026-07-08 16:50:37,HEALTH_ANOMALY,PRESCRIPTION_NARCOTICS,INCREASING,86,RECURRENT_PATTERN,0
SIG-TN-00004,29,Sivaganga,2026-03-13 03:29:44,CITIZEN_AGGREGATE,UNKNOWN_CONTRABAND,HIGH_PREVENTIVE_ATTENTION,75,RECURRENT_PATTERN,0
SIG-TN-00005,22,Dharmapuri,2026-05-24 01:11:17,POLICE_INVESTIGATION,SYNTHETIC_MDMA,EMERGING,67,RECURRENT_PATTERN,0
SIG-TN-00006,34,Nagapattinam,2025-06-18 21:02:14,CHECKPOST_TELEMETRY,PRESCRIPTION_NARCOTICS,INCREASING,90,RECURRENT_PATTERN,0
SIG-TN-00007,4,Salem,2025-01-14 13:28:29,POLICE_INVESTIGATION,OPIOID_ANALOGUES,HIGH_PREVENTIVE_ATTENTION,96,RECURRENT_PATTERN,0
SIG-TN-00008,28,Pudukkottai,2024-11-23 09:04:25,CITIZEN_AGGREGATE,COMMERCIAL_GANJA,HIGH_PREVENTIVE_ATTENTION,71,RECURRENT_PATTERN,0
SIG-TN-00009,31,Virudhunagar,2024-12-05 00:15:45,CITIZEN_AGGREGATE,OPIOID_ANALOGUES,WATCH,88,RECURRENT_PATTERN,0
SIG-TN-00010,19,Cuddalore,2024-12-30 05:57:14,CHECKPOST_TELEMETRY,UNKNOWN_CONTRABAND,HIGH_PREVENTIVE_ATTENTION,88,FIRST_TIME_SIGNAL,1
SIG-TN-00011,2,Coimbatore,2026-05-11 16:19:36,CITIZEN_AGGREGATE,SYNTHETIC_MDMA,EMERGING,89,RECURRENT_PATTERN,0
SIG-TN-00012,10,Krishnagiri,2025-09-03 21:12:41,HEALTH_ANOMALY,UNKNOWN_CONTRABAND,WATCH,72,RECURRENT_PATTERN,0
SIG-TN-00013,18,Tiruvallur,2024-09-28 07:11:31,POLICE_INVESTIGATION,UNKNOWN_CONTRABAND,WATCH,68,RECURRENT_PATTERN,0
SIG-TN-00014,31,Virudhunagar,2025-12-14 10:45:11,CITIZEN_AGGREGATE,UNKNOWN_CONTRABAND,WATCH,69,RECURRENT_PATTERN,0
SIG-TN-00015,38,Tiruvannamalai,2026-06-14 13:39:21,CHECKPOST_TELEMETRY,CHEMICAL_PRECURSORS,HIGH_PREVENTIVE_ATTENTION,85,RECURRENT_PATTERN,0
SIG-TN-00016,10,Krishnagiri,2026-03-21 20:36:40,HEALTH_ANOMALY,CHEMICAL_PRECURSORS,INCREASING,66,RECURRENT_PATTERN,0
SIG-TN-00017,8,Erode,2025-04-30 06:12:53,CHECKPOST_TELEMETRY,SYNTHETIC_MDMA,EMERGING,90,RECURRENT_PATTERN,0
SIG-TN-00018,19,Cuddalore,2026-03-03 18:05:07,HEALTH_ANOMALY,CHEMICAL_PRECURSORS,INCREASING,81,RECURRENT_PATTERN,0
SIG-TN-00019,25,Karur,2025-10-20 07:10:08,CITIZEN_AGGREGATE,CHEMICAL_PRECURSORS,WATCH,70,FIRST_TIME_SIGNAL,1
SIG-TN-00020,12,Thanjavur,2026-03-04 19:30:33,CHECKPOST_TELEMETRY,COMMERCIAL_GANJA,INCREASING,83,RECURRENT_PATTERN,0
SIG-TN-00021,5,Tiruchirappalli,2026-01-03 08:02:43,CITIZEN_AGGREGATE,COMMERCIAL_GANJA,HIGH_PREVENTIVE_ATTENTION,81,RECURRENT_PATTERN,0
SIG-TN-00022,1,Chennai,2024-09-30 18:11:27,POLICE_INVESTIGATION,SYNTHETIC_MDMA,EMERGING,72,RECURRENT_PATTERN,0
SIG-TN-00023,29,Sivaganga,2026-05-17 05:49:57,HEALTH_ANOMALY,UNKNOWN_CONTRABAND,EMERGING,83,RECURRENT_PATTERN,0
SIG-TN-00024,34,Nagapattinam,2024-11-05 19:49:43,CHECKPOST_TELEMETRY,PRESCRIPTION_NARCOTICS,HIGH_PREVENTIVE_ATTENTION,66,RECURRENT_PATTERN,0
SIG-TN-00025,3,Madurai,2025-11-27 19:02:42,POLICE_INVESTIGATION,CHEMICAL_PRECURSORS,WATCH,87,RECURRENT_PATTERN,0
SIG-TN-00026,23,Namakkal,2026-04-06 07:05:36,HEALTH_ANOMALY,UNKNOWN_CONTRABAND,EMERGING,94,RECURRENT_PATTERN,0
SIG-TN-00027,13,Thoothukudi,2025-03-19 16:11:08,HEALTH_ANOMALY,SYNTHETIC_MDMA,INCREASING,80,RECURRENT_PATTERN,0
SIG-TN-00028,10,Krishnagiri,2026-01-21 19:28:27,POLICE_INVESTIGATION,UNKNOWN_CONTRABAND,HIGH_PREVENTIVE_ATTENTION,66,RECURRENT_PATTERN,0
SIG-TN-00029,17,Chengalpattu,2026-02-13 00:39:24,CITIZEN_AGGREGATE,SYNTHETIC_MDMA,EMERGING,84,RECURRENT_PATTERN,0
SIG-TN-00030,26,Ariyalur,2025-04-17 23:02:15,POLICE_INVESTIGATION,OPIOID_ANALOGUES,INCREASING,70,FIRST_TIME_SIGNAL,1
SIG-TN-00031,7,Tiruppur,2025-06-01 00:36:00,CITIZEN_AGGREGATE,PRESCRIPTION_NARCOTICS,HIGH_PREVENTIVE_ATTENTION,84,RECURRENT_PATTERN,0
SIG-TN-00032,29,Sivaganga,2025-07-10 19:26:01,CITIZEN_AGGREGATE,COMMERCIAL_GANJA,EMERGING,79,RECURRENT_PATTERN,0
SIG-TN-00033,37,Tirupathur,2025-05-08 15:14:25,POLICE_INVESTIGATION,COMMERCIAL_GANJA,EMERGING,90,RECURRENT_PATTERN,0
SIG-TN-00034,26,Ariyalur,2026-06-23 04:40:24,HEALTH_ANOMALY,SYNTHETIC_MDMA,EMERGING,94,RECURRENT_PATTERN,0
SIG-TN-00035,22,Dharmapuri,2025-01-24 08:57:07,POLICE_INVESTIGATION,SYNTHETIC_MDMA,EMERGING,81,RECURRENT_PATTERN,0
SIG-TN-00036,32,Theni,2026-07-13 11:10:53,POLICE_INVESTIGATION,COMMERCIAL_GANJA,WATCH,77,RECURRENT_PATTERN,0
SIG-TN-00037,12,Thanjavur,2024-12-26 01:58:18,POLICE_INVESTIGATION,SYNTHETIC_MDMA,HIGH_PREVENTIVE_ATTENTION,67,RECURRENT_PATTERN,0
SIG-TN-00038,24,Nilgiris,2026-03-18 13:46:58,CITIZEN_AGGREGATE,SYNTHETIC_MDMA,EMERGING,95,RECURRENT_PATTERN,0
SIG-TN-00039,13,Thoothukudi,2024-09-22 10:05:59,CHECKPOST_TELEMETRY,SYNTHETIC_MDMA,HIGH_PREVENTIVE_ATTENTION,89,RECURRENT_PATTERN,0
SIG-TN-00040,25,Karur,2026-04-27 01:53:51,POLICE_INVESTIGATION,UNKNOWN_CONTRABAND,HIGH_PREVENTIVE_ATTENTION,87,RECURRENT_PATTERN,0
SIG-TN-00041,17,Chengalpattu,2025-02-04 03:59:20,CITIZEN_AGGREGATE,COMMERCIAL_GANJA,HIGH_PREVENTIVE_ATTENTION,74,RECURRENT_PATTERN,0
SIG-TN-00042,9,Vellore,2025-06-15 04:54:19,CHECKPOST_TELEMETRY,CHEMICAL_PRECURSORS,HIGH_PREVENTIVE_ATTENTION,78,RECURRENT_PATTERN,0
SIG-TN-00043,12,Thanjavur,2025-02-17 04:32:44,HEALTH_ANOMALY,UNKNOWN_CONTRABAND,EMERGING,89,RECURRENT_PATTERN,0
SIG-TN-00044,11,Dindigul,2026-02-28 10:48:19,CHECKPOST_TELEMETRY,OPIOID_ANALOGUES,WATCH,65,RECURRENT_PATTERN,0
SIG-TN-00045,3,Madurai,2026-05-22 08:22:06,CHECKPOST_TELEMETRY,UNKNOWN_CONTRABAND,EMERGING,96,RECURRENT_PATTERN,0
SIG-TN-00046,5,Tiruchirappalli,2025-07-14 09:05:25,HEALTH_ANOMALY,COMMERCIAL_GANJA,HIGH_PREVENTIVE_ATTENTION,78,FIRST_TIME_SIGNAL,1
SIG-TN-00047,33,Thiruvarur,2025-01-16 13:00:58,POLICE_INVESTIGATION,UNKNOWN_CONTRABAND,HIGH_PREVENTIVE_ATTENTION,73,RECURRENT_PATTERN,0
SIG-TN-00048,37,Tirupathur,2026-06-09 08:44:32,CHECKPOST_TELEMETRY,CHEMICAL_PRECURSORS,WATCH,88,RECURRENT_PATTERN,0
SIG-TN-00049,2,Coimbatore,2025-02-07 16:34:45,HEALTH_ANOMALY,COMMERCIAL_GANJA,WATCH,88,RECURRENT_PATTERN,0
SIG-TN-00050,34,Nagapattinam,2025-10-01 03:14:01,POLICE_INVESTIGATION,CHEMICAL_PRECURSORS,HIGH_PREVENTIVE_ATTENTION,82,RECURRENT_PATTERN,0
SIG-TN-00051,1,Chennai,2025-10-19 11:29:56,POLICE_INVESTIGATION,CHEMICAL_PRECURSORS,EMERGING,95,RECURRENT_PATTERN,0
SIG-TN-00052,9,Vellore,2025-09-08 00:23:59,HEALTH_ANOMALY,SYNTHETIC_MDMA,WATCH,73,RECURRENT_PATTERN,0
SIG-TN-00053,2,Coimbatore,2026-04-19 12:02:20,CITIZEN_AGGREGATE,SYNTHETIC_MDMA,INCREASING,89,RECURRENT_PATTERN,0
SIG-TN-00054,12,Thanjavur,2025-12-21 08:46:14,CHECKPOST_TELEMETRY,COMMERCIAL_GANJA,HIGH_PREVENTIVE_ATTENTION,79,RECURRENT_PATTERN,0
