id,district_id,district_name,drug_category,timestamp,suspected_channel,volume_index,confidence_score
CAT-SIG-00001,11,Dindigul,CHEMICAL_PRECURSORS,2025-02-14 15:05:46,HIGHWAY_LOGISTICS,44,85
CAT-SIG-00002,27,Perambalur,SYNTHETIC_MDMA,2025-03-07 05:52:27,HIGHWAY_LOGISTICS,32,88
CAT-SIG-00003,24,Nilgiris,UNKNOWN_CONTRABAND,2025-06-08 06:14:13,HIGHWAY_LOGISTICS,15,64
CAT-SIG-00004,38,Tiruvannamalai,OPIOID_ANALOGUES,2025-11-30 11:42:54,HIGHWAY_LOGISTICS,33,91
CAT-SIG-00005,13,Thoothukudi,PRESCRIPTION_NARCOTICS,2024-12-26 04:49:51,RETAIL_PEDDLING,15,81
CAT-SIG-00006,17,Chengalpattu,SYNTHETIC_MDMA,2024-12-28 23:32:40,PARCEL_COURIER,30,72
CAT-SIG-00007,28,Pudukkottai,SYNTHETIC_MDMA,2026-02-12 17:18:25,HIGHWAY_LOGISTICS,32,87
CAT-SIG-00008,5,Tiruchirappalli,OPIOID_ANALOGUES,2025-08-23 09:21:27,RETAIL_PEDDLING,20,73
CAT-SIG-00009,10,Krishnagiri,UNKNOWN_CONTRABAND,2024-12-26 06:21:10,RETAIL_PEDDLING,8,84
CAT-SIG-00010,14,Kanniyakumari,COMMERCIAL_GANJA,2026-01-18 03:04:07,RETAIL_PEDDLING,22,77
CAT-SIG-00011,14,Kanniyakumari,UNKNOWN_CONTRABAND,2025-05-18 16:48:13,PHARMACY_DIVERSION,25,70
CAT-SIG-00012,9,Vellore,PRESCRIPTION_NARCOTICS,2025-12-29 20:28:52,PARCEL_COURIER,40,72
CAT-SIG-00013,5,Tiruchirappalli,PRESCRIPTION_NARCOTICS,2025-01-16 16:32:00,PARCEL_COURIER,39,66
CAT-SIG-00014,18,Tiruvallur,PRESCRIPTION_NARCOTICS,2025-01-20 05:29:59,HIGHWAY_LOGISTICS,23,66
CAT-SIG-00015,38,Tiruvannamalai,OPIOID_ANALOGUES,2025-10-10 07:51:04,HIGHWAY_LOGISTICS,13,77
CAT-SIG-00016,21,Kallakurichi,PRESCRIPTION_NARCOTICS,2025-09-16 13:59:28,RETAIL_PEDDLING,44,82
CAT-SIG-00017,31,Virudhunagar,SYNTHETIC_MDMA,2025-03-29 05:19:18,HIGHWAY_LOGISTICS,41,85
CAT-SIG-00018,19,Cuddalore,SYNTHETIC_MDMA,2026-05-06 11:32:49,HIGHWAY_LOGISTICS,20,87
CAT-SIG-00019,29,Sivaganga,PRESCRIPTION_NARCOTICS,2025-03-08 13:02:52,RETAIL_PEDDLING,6,74
CAT-SIG-00020,23,Namakkal,CHEMICAL_PRECURSORS,2025-12-01 04:29:05,PARCEL_COURIER,6,67
CAT-SIG-00021,11,Dindigul,SYNTHETIC_MDMA,2025-03-11 16:20:54,HIGHWAY_LOGISTICS,30,87
CAT-SIG-00022,29,Sivaganga,SYNTHETIC_MDMA,2025-12-04 06:05:19,PHARMACY_DIVERSION,29,83
CAT-SIG-00023,16,Kancheepuram,PRESCRIPTION_NARCOTICS,2025-12-21 18:39:59,PHARMACY_DIVERSION,38,80
CAT-SIG-00024,5,Tiruchirappalli,PRESCRIPTION_NARCOTICS,2025-06-03 00:45:48,PARCEL_COURIER,24,89
CAT-SIG-00025,6,Tirunelveli,PRESCRIPTION_NARCOTICS,2025-09-28 14:23:04,PHARMACY_DIVERSION,36,92
CAT-SIG-00026,2,Coimbatore,OPIOID_ANALOGUES,2025-06-12 14:55:19,PHARMACY_DIVERSION,38,75
CAT-SIG-00027,16,Kancheepuram,OPIOID_ANALOGUES,2025-03-13 08:28:49,PHARMACY_DIVERSION,39,92
CAT-SIG-00028,1,Chennai,SYNTHETIC_MDMA,2025-07-08 07:40:27,HIGHWAY_LOGISTICS,45,66
CAT-SIG-00029,3,Madurai,CHEMICAL_PRECURSORS,2025-11-06 09:22:49,HIGHWAY_LOGISTICS,32,86
CAT-SIG-00030,12,Thanjavur,OPIOID_ANALOGUES,2024-10-16 14:56:34,RETAIL_PEDDLING,37,89
CAT-SIG-00031,8,Erode,COMMERCIAL_GANJA,2025-09-23 05:09:41,HIGHWAY_LOGISTICS,38,65
CAT-SIG-00032,1,Chennai,PRESCRIPTION_NARCOTICS,2025-06-30 08:38:18,RETAIL_PEDDLING,28,83
CAT-SIG-00033,7,Tiruppur,SYNTHETIC_MDMA,2025-04-18 08:41:50,PHARMACY_DIVERSION,19,60
CAT-SIG-00034,1,Chennai,COMMERCIAL_GANJA,2026-03-12 11:58:20,PARCEL_COURIER,38,78
CAT-SIG-00035,31,Virudhunagar,OPIOID_ANALOGUES,2024-12-30 05:52:05,PARCEL_COURIER,12,66
CAT-SIG-00036,28,Pudukkottai,UNKNOWN_CONTRABAND,2025-10-06 12:21:29,PHARMACY_DIVERSION,42,80
CAT-SIG-00037,4,Salem,OPIOID_ANALOGUES,2026-01-07 14:19:50,PARCEL_COURIER,6,68
CAT-SIG-00038,36,Ranipet,SYNTHETIC_MDMA,2026-01-19 23:21:58,PHARMACY_DIVERSION,11,82
CAT-SIG-00039,5,Tiruchirappalli,OPIOID_ANALOGUES,2026-07-19 13:49:23,RETAIL_PEDDLING,31,88
CAT-SIG-00040,22,Dharmapuri,PRESCRIPTION_NARCOTICS,2024-12-23 13:53:40,HIGHWAY_LOGISTICS,11,82
CAT-SIG-00041,24,Nilgiris,CHEMICAL_PRECURSORS,2026-05-10 10:38:34,RETAIL_PEDDLING,9,87
CAT-SIG-00042,10,Krishnagiri,PRESCRIPTION_NARCOTICS,2025-10-24 22:14:08,HIGHWAY_LOGISTICS,21,65
CAT-SIG-00043,21,Kallakurichi,UNKNOWN_CONTRABAND,2025-08-26 15:36:46,PHARMACY_DIVERSION,7,63
CAT-SIG-00044,26,Ariyalur,UNKNOWN_CONTRABAND,2026-07-25 20:25:34,RETAIL_PEDDLING,36,82
CAT-SIG-00045,13,Thoothukudi,UNKNOWN_CONTRABAND,2024-12-07 09:32:48,RETAIL_PEDDLING,19,72
CAT-SIG-00046,38,Tiruvannamalai,COMMERCIAL_GANJA,2025-04-14 01:58:58,PHARMACY_DIVERSION,18,89
CAT-SIG-00047,33,Thiruvarur,PRESCRIPTION_NARCOTICS,2025-09-27 07:00:15,PARCEL_COURIER,33,78
CAT-SIG-00048,21,Kallakurichi,SYNTHETIC_MDMA,2025-01-17 19:31:57,HIGHWAY_LOGISTICS,22,81
CAT-SIG-00049,16,Kancheepuram,PRESCRIPTION_NARCOTICS,2025-09-06 13:14:17,RETAIL_PEDDLING,13,93
CAT-SIG-00050,30,Ramanathapuram,UNKNOWN_CONTRABAND,2025-07-26 04:38:07,PHARMACY_DIVERSION,19,79
CAT-SIG-00051,25,Karur,OPIOID_ANALOGUES,2026-03-24 00:59:01,HIGHWAY_LOGISTICS,17,74
CAT-SIG-00052,23,Namakkal,SYNTHETIC_MDMA,2026-06-03 06:59:43,RETAIL_PEDDLING,19,61
CAT-SIG-00053,8,Erode,COMMERCIAL_GANJA,2026-06-12 09:46:52,PHARMACY_DIVERSION,19,62
CAT-SIG-00054,7,Tiruppur,OPIOID_ANALOGUES,2026-06-27 23:02:41,RETAIL_PEDDLING,22,63
CAT-SIG-00055,35,Mayiladuthurai,CHEMICAL_PRECURSORS,2025-08-10 14:44:48,PARCEL_COURIER,45,78
CAT-SIG-00056,29,Sivaganga,CHEMICAL_PRECURSORS,2025-12-05 22:06:19,PHARMACY_DIVERSION,27,92
CAT-SIG-00057,28,Pudukkottai,SYNTHETIC_MDMA,2025-04-16 16:20:24,HIGHWAY_LOGISTICS,39,65
CAT-SIG-00058,13,Thoothukudi,PRESCRIPTION_NARCOTICS,2025-03-27 12:18:17,PHARMACY_DIVERSION,14,90
CAT-SIG-00059,6,Tirunelveli,COMMERCIAL_GANJA,2025-01-07 02:45:04,HIGHWAY_LOGISTICS,31,92
CAT-SIG-00060,25,Karur,PRESCRIPTION_NARCOTICS,2025-04-05 07:59:01,PARCEL_COURIER,41,69
CAT-SIG-00061,11,Dindigul,COMMERCIAL_GANJA,2025-10-12 10:46:07,PHARMACY_DIVERSION,39,82
CAT-SIG-00062,10,Krishnagiri,SYNTHETIC_MDMA,2026-04-18 10:09:52,PHARMACY_DIVERSION,40,61
CAT-SIG-00063,1,Chennai,UNKNOWN_CONTRABAND,2026-06-23 05:25:08,RETAIL_PEDDLING,36,82
CAT-SIG-00064,13,Thoothukudi,CHEMICAL_PRECURSORS,2025-02-23 19:20:56,PHARMACY_DIVERSION,43,60
CAT-SIG-00065,26,Ariyalur,CHEMICAL_PRECURSORS,2025-09-10 00:46:23,PHARMACY_DIVERSION,45,81
CAT-SIG-00066,36,Ranipet,PRESCRIPTION_NARCOTICS,2025-09-21 07:33:30,PARCEL_COURIER,26,77
CAT-SIG-00067,21,Kallakurichi,COMMERCIAL_GANJA,2024-10-30 04:47:52,RETAIL_PEDDLING,31,84
CAT-SIG-00068,35,Mayiladuthurai,UNKNOWN_CONTRABAND,2024-11-17 00:23:02,PHARMACY_DIVERSION,26,92
CAT-SIG-00069,22,Dharmapuri,UNKNOWN_CONTRABAND,2024-09-22 16:59:42,RETAIL_PEDDLING,25,77
CAT-SIG-00070,27,Perambalur,UNKNOWN_CONTRABAND,2025-03-09 11:17:56,HIGHWAY_LOGISTICS,44,72
CAT-SIG-00071,32,Theni,COMMERCIAL_GANJA,2026-04-11 08:17:22,HIGHWAY_LOGISTICS,34,92
CAT-SIG-00072,26,Ariyalur,COMMERCIAL_GANJA,2026-06-03 20:53:41,PARCEL_COURIER,41,91
CAT-SIG-00073,30,Ramanathapuram,OPIOID_ANALOGUES,2026-05-07 21:10:25,PARCEL_COURIER,24,69
CAT-SIG-00074,27,Perambalur,SYNTHETIC_MDMA,2025-10-02 12:01:39,PHARMACY_DIVERSION,28,77
CAT-SIG-00075,12,Thanjavur,CHEMICAL_PRECURSORS,2026-05-20 23:55:34,PHARMACY_DIVERSION,37,87
CAT-SIG-00076,5,Tiruchirappalli,SYNTHETIC_MDMA,2024-11-01 20:51:01,RETAIL_PEDDLING,32,92
CAT-SIG-00077,1,Chennai,PRESCRIPTION_NARCOTICS,2026-07-17 07:17:36,HIGHWAY_LOGISTICS,31,76
CAT-SIG-00078,37,Tirupathur,COMMERCIAL_GANJA,2026-02-21 02:48:02,RETAIL_PEDDLING,44,91
CAT-SIG-00079,12,Thanjavur,SYNTHETIC_MDMA,2025-09-28 13:58:37,PHARMACY_DIVERSION,23,94
CAT-SIG-00080,21,Kallakurichi,PRESCRIPTION_NARCOTICS,2026-01-03 18:21:42,PARCEL_COURIER,42,76
CAT-SIG-00081,2,Coimbatore,UNKNOWN_CONTRABAND,2026-01-26 06:06:24,PHARMACY_DIVERSION,28,80
CAT-SIG-00082,9,Vellore,SYNTHETIC_MDMA,2025-05-11 16:31:56,HIGHWAY_LOGISTICS,35,74
CAT-SIG-00083,15,Tenkasi,CHEMICAL_PRECURSORS,2025-06-15 11:49:29,PHARMACY_DIVERSION,15,88
CAT-SIG-00084,9,Vellore,CHEMICAL_PRECURSORS,2025-06-06 02:41:43,HIGHWAY_LOGISTICS,28,79
CAT-SIG-00085,9,Vellore,OPIOID_ANALOGUES,2026-06-28 22:24:10,HIGHWAY_LOGISTICS,26,77
CAT-SIG-00086,29,Sivaganga,CHEMICAL_PRECURSORS,2026-08-14 11:41:16,PHARMACY_DIVERSION,25,75
CAT-SIG-00087,13,Thoothukudi,UNKNOWN_CONTRABAND,2025-09-17 14:06:57,HIGHWAY_LOGISTICS,32,69
CAT-SIG-00088,4,Salem,COMMERCIAL_GANJA,2025-02-25 01:20:00,RETAIL_PEDDLING,28,78
CAT-SIG-00089,22,Dharmapuri,UNKNOWN_CONTRABAND,2024-10-16 05:28:35,PHARMACY_DIVERSION,35,71
CAT-SIG-00090,19,Cuddalore,COMMERCIAL_GANJA,2026-05-19 23:55:07,RETAIL_PEDDLING,20,67
CAT-SIG-00091,5,Tiruchirappalli,SYNTHETIC_MDMA,2025-12-28 13:15:53,HIGHWAY_LOGISTICS,32,72
CAT-SIG-00092,21,Kallakurichi,COMMERCIAL_GANJA,2026-06-19 19:00:58,PHARMACY_DIVERSION,44,77
CAT-SIG-00093,5,Tiruchirappalli,SYNTHETIC_MDMA,2025-01-01 15:36:38,RETAIL_PEDDLING,39,94
CAT-SIG-00094,21,Kallakurichi,PRESCRIPTION_NARCOTICS,2025-08-10 10:11:56,PARCEL_COURIER,39,79
CAT-SIG-00095,30,Ramanathapuram,CHEMICAL_PRECURSORS,2025-05-08 05:31:45,PHARMACY_DIVERSION,9,88
CAT-SIG-00096,13,Thoothukudi,COMMERCIAL_GANJA,2025-09-02 19:10:28,HIGHWAY_LOGISTICS,6,84
