observation_id,corridor_id,corridor_name,observation_timestamp,trigger_telemetry,association_trend,confidence_score,disclaimer_label
OBS-CORR-00001,4,Puliyarai - Tenkasi - Madurai Highway,2025-09-03 03:55:04,LATE_NIGHT_TRANSIT_SPIKE,STABLE,93,Historical association telemetry only; does not establish unlawful transit.
OBS-CORR-00002,8,Chennai - Chengalpattu - Viluppuram Corridor,2025-11-24 01:46:58,FREIGHT_LOGISTICS_SCAN,STRENGTHENING,94,Historical association telemetry only; does not establish unlawful transit.
OBS-CORR-00003,3,Chittoor - Tiruvallur - Chennai Port Gateway,2025-04-01 10:05:30,GPS_CORRELATED_TIP,STRENGTHENING,75,Historical association telemetry only; does not establish unlawful transit.
OBS-CORR-00004,6,Salem - Namakkal - Karur Axis,2024-12-24 00:42:31,GPS_CORRELATED_TIP,STRENGTHENING,78,Historical association telemetry only; does not establish unlawful transit.
OBS-CORR-00005,7,Coimbatore - Tiruppur - Erode Industrial Route,2024-12-11 13:43:58,GPS_CORRELATED_TIP,WEAKENING,95,Historical association telemetry only; does not establish unlawful transit.
OBS-CORR-00006,6,Salem - Namakkal - Karur Axis,2026-01-30 00:43:11,GPS_CORRELATED_TIP,STABLE,89,Historical association telemetry only; does not establish unlawful transit.
OBS-CORR-00007,4,Puliyarai - Tenkasi - Madurai Highway,2025-02-01 18:39:00,CHECKPOST_ANOMALY_HOLD,STABLE,94,Historical association telemetry only; does not establish unlawful transit.
OBS-CORR-00008,6,Salem - Namakkal - Karur Axis,2025-04-20 20:00:00,GPS_CORRELATED_TIP,WEAKENING,81,Historical association telemetry only; does not establish unlawful transit.
OBS-CORR-00009,3,Chittoor - Tiruvallur - Chennai Port Gateway,2026-06-02 21:16:56,LATE_NIGHT_TRANSIT_SPIKE,STRENGTHENING,90,Historical association telemetry only; does not establish unlawful transit.
OBS-CORR-00010,1,Walayar - Coimbatore - Salem Corridor,2025-01-03 21:31:10,GPS_CORRELATED_TIP,NEWLY_EMERGING,84,Historical association telemetry only; does not establish unlawful transit.
OBS-CORR-00011,3,Chittoor - Tiruvallur - Chennai Port Gateway,2026-04-03 02:22:49,GPS_CORRELATED_TIP,STRENGTHENING,93,Historical association telemetry only; does not establish unlawful transit.
OBS-CORR-00012,5,Madurai - Thoothukudi Maritime Axis,2025-02-12 06:15:04,GPS_CORRELATED_TIP,WEAKENING,86,Historical association telemetry only; does not establish unlawful transit.
OBS-CORR-00013,3,Chittoor - Tiruvallur - Chennai Port Gateway,2026-06-16 17:21:06,LATE_NIGHT_TRANSIT_SPIKE,STABLE,93,Historical association telemetry only; does not establish unlawful transit.
OBS-CORR-00014,1,Walayar - Coimbatore - Salem Corridor,2025-05-14 00:53:37,CHECKPOST_ANOMALY_HOLD,WEAKENING,87,Historical association telemetry only; does not establish unlawful transit.
OBS-CORR-00015,5,Madurai - Thoothukudi Maritime Axis,2026-01-07 09:19:40,CHECKPOST_ANOMALY_HOLD,WEAKENING,76,Historical association telemetry only; does not establish unlawful transit.
OBS-CORR-00016,4,Puliyarai - Tenkasi - Madurai Highway,2024-10-08 02:19:37,FREIGHT_LOGISTICS_SCAN,NEWLY_EMERGING,96,Historical association telemetry only; does not establish unlawful transit.
OBS-CORR-00017,7,Coimbatore - Tiruppur - Erode Industrial Route,2024-12-02 01:12:35,LATE_NIGHT_TRANSIT_SPIKE,STABLE,87,Historical association telemetry only; does not establish unlawful transit.
OBS-CORR-00018,8,Chennai - Chengalpattu - Viluppuram Corridor,2025-11-26 02:47:09,GPS_CORRELATED_TIP,STRENGTHENING,91,Historical association telemetry only; does not establish unlawful transit.
OBS-CORR-00019,1,Walayar - Coimbatore - Salem Corridor,2025-10-20 04:01:49,LATE_NIGHT_TRANSIT_SPIKE,NEWLY_EMERGING,90,Historical association telemetry only; does not establish unlawful transit.
OBS-CORR-00020,7,Coimbatore - Tiruppur - Erode Industrial Route,2025-07-17 15:11:07,CHECKPOST_ANOMALY_HOLD,STRENGTHENING,78,Historical association telemetry only; does not establish unlawful transit.
OBS-CORR-00021,6,Salem - Namakkal - Karur Axis,2026-01-20 00:39:31,LATE_NIGHT_TRANSIT_SPIKE,STABLE,77,Historical association telemetry only; does not establish unlawful transit.
OBS-CORR-00022,7,Coimbatore - Tiruppur - Erode Industrial Route,2025-06-09 00:42:02,LATE_NIGHT_TRANSIT_SPIKE,WEAKENING,92,Historical association telemetry only; does not establish unlawful transit.
OBS-CORR-00023,1,Walayar - Coimbatore - Salem Corridor,2025-03-08 17:40:40,LATE_NIGHT_TRANSIT_SPIKE,NEWLY_EMERGING,93,Historical association telemetry only; does not establish unlawful transit.
OBS-CORR-00024,7,Coimbatore - Tiruppur - Erode Industrial Route,2025-11-29 02:38:22,FREIGHT_LOGISTICS_SCAN,WEAKENING,86,Historical association telemetry only; does not establish unlawful transit.
OBS-CORR-00025,1,Walayar - Coimbatore - Salem Corridor,2026-08-10 15:21:43,FREIGHT_LOGISTICS_SCAN,STABLE,80,Historical association telemetry only; does not establish unlawful transit.
OBS-CORR-00026,7,Coimbatore - Tiruppur - Erode Industrial Route,2026-03-05 02:28:04,GPS_CORRELATED_TIP,NEWLY_EMERGING,83,Historical association telemetry only; does not establish unlawful transit.
OBS-CORR-00027,5,Madurai - Thoothukudi Maritime Axis,2025-08-06 19:18:42,CHECKPOST_ANOMALY_HOLD,STABLE,96,Historical association telemetry only; does not establish unlawful transit.
OBS-CORR-00028,2,Attibele - Hosur - Krishnagiri Axis,2025-02-19 16:58:18,LATE_NIGHT_TRANSIT_SPIKE,WEAKENING,87,Historical association telemetry only; does not establish unlawful transit.
OBS-CORR-00029,5,Madurai - Thoothukudi Maritime Axis,2026-04-26 13:31:51,FREIGHT_LOGISTICS_SCAN,STABLE,74,Historical association telemetry only; does not establish unlawful transit.
OBS-CORR-00030,6,Salem - Namakkal - Karur Axis,2025-11-02 13:29:28,LATE_NIGHT_TRANSIT_SPIKE,NEWLY_EMERGING,85,Historical association telemetry only; does not establish unlawful transit.
OBS-CORR-00031,6,Salem - Namakkal - Karur Axis,2025-06-27 02:29:07,FREIGHT_LOGISTICS_SCAN,STABLE,89,Historical association telemetry only; does not establish unlawful transit.
OBS-CORR-00032,1,Walayar - Coimbatore - Salem Corridor,2026-01-25 15:33:36,CHECKPOST_ANOMALY_HOLD,WEAKENING,74,Historical association telemetry only; does not establish unlawful transit.
OBS-CORR-00033,4,Puliyarai - Tenkasi - Madurai Highway,2026-08-13 03:13:12,FREIGHT_LOGISTICS_SCAN,STABLE,80,Historical association telemetry only; does not establish unlawful transit.
OBS-CORR-00034,5,Madurai - Thoothukudi Maritime Axis,2024-10-29 20:00:26,LATE_NIGHT_TRANSIT_SPIKE,STRENGTHENING,86,Historical association telemetry only; does not establish unlawful transit.
OBS-CORR-00035,5,Madurai - Thoothukudi Maritime Axis,2026-06-05 15:22:33,FREIGHT_LOGISTICS_SCAN,STABLE,72,Historical association telemetry only; does not establish unlawful transit.
OBS-CORR-00036,3,Chittoor - Tiruvallur - Chennai Port Gateway,2025-12-20 03:23:52,LATE_NIGHT_TRANSIT_SPIKE,NEWLY_EMERGING,87,Historical association telemetry only; does not establish unlawful transit.
OBS-CORR-00037,7,Coimbatore - Tiruppur - Erode Industrial Route,2025-06-10 12:45:05,LATE_NIGHT_TRANSIT_SPIKE,STABLE,73,Historical association telemetry only; does not establish unlawful transit.
OBS-CORR-00038,5,Madurai - Thoothukudi Maritime Axis,2025-06-29 21:40:52,FREIGHT_LOGISTICS_SCAN,WEAKENING,79,Historical association telemetry only; does not establish unlawful transit.
OBS-CORR-00039,7,Coimbatore - Tiruppur - Erode Industrial Route,2026-06-06 09:24:47,GPS_CORRELATED_TIP,STRENGTHENING,77,Historical association telemetry only; does not establish unlawful transit.
OBS-CORR-00040,3,Chittoor - Tiruvallur - Chennai Port Gateway,2026-02-09 06:19:45,LATE_NIGHT_TRANSIT_SPIKE,WEAKENING,94,Historical association telemetry only; does not establish unlawful transit.
OBS-CORR-00041,4,Puliyarai - Tenkasi - Madurai Highway,2024-10-04 15:12:49,GPS_CORRELATED_TIP,STABLE,88,Historical association telemetry only; does not establish unlawful transit.
OBS-CORR-00042,4,Puliyarai - Tenkasi - Madurai Highway,2026-02-10 02:47:38,LATE_NIGHT_TRANSIT_SPIKE,NEWLY_EMERGING,91,Historical association telemetry only; does not establish unlawful transit.
OBS-CORR-00043,2,Attibele - Hosur - Krishnagiri Axis,2024-12-17 19:10:20,FREIGHT_LOGISTICS_SCAN,STABLE,86,Historical association telemetry only; does not establish unlawful transit.
OBS-CORR-00044,4,Puliyarai - Tenkasi - Madurai Highway,2026-05-07 15:26:17,GPS_CORRELATED_TIP,NEWLY_EMERGING,80,Historical association telemetry only; does not establish unlawful transit.
OBS-CORR-00045,7,Coimbatore - Tiruppur - Erode Industrial Route,2026-02-20 12:31:15,GPS_CORRELATED_TIP,NEWLY_EMERGING,72,Historical association telemetry only; does not establish unlawful transit.
OBS-CORR-00046,5,Madurai - Thoothukudi Maritime Axis,2025-01-02 01:03:29,FREIGHT_LOGISTICS_SCAN,NEWLY_EMERGING,85,Historical association telemetry only; does not establish unlawful transit.
OBS-CORR-00047,6,Salem - Namakkal - Karur Axis,2024-12-01 21:32:31,FREIGHT_LOGISTICS_SCAN,WEAKENING,90,Historical association telemetry only; does not establish unlawful transit.
OBS-CORR-00048,5,Madurai - Thoothukudi Maritime Axis,2024-10-19 22:16:53,GPS_CORRELATED_TIP,NEWLY_EMERGING,87,Historical association telemetry only; does not establish unlawful transit.
OBS-CORR-00049,1,Walayar - Coimbatore - Salem Corridor,2025-08-10 20:17:46,CHECKPOST_ANOMALY_HOLD,NEWLY_EMERGING,75,Historical association telemetry only; does not establish unlawful transit.
OBS-CORR-00050,8,Chennai - Chengalpattu - Viluppuram Corridor,2024-11-20 02:59:36,FREIGHT_LOGISTICS_SCAN,STABLE,72,Historical association telemetry only; does not establish unlawful transit.
OBS-CORR-00051,4,Puliyarai - Tenkasi - Madurai Highway,2025-09-03 14:51:01,GPS_CORRELATED_TIP,STABLE,82,Historical association telemetry only; does not establish unlawful transit.
OBS-CORR-00052,4,Puliyarai - Tenkasi - Madurai Highway,2024-12-24 00:33:59,CHECKPOST_ANOMALY_HOLD,WEAKENING,96,Historical association telemetry only; does not establish unlawful transit.
OBS-CORR-00053,6,Salem - Namakkal - Karur Axis,2025-12-31 09:34:17,CHECKPOST_ANOMALY_HOLD,STABLE,91,Historical association telemetry only; does not establish unlawful transit.
OBS-CORR-00054,2,Attibele - Hosur - Krishnagiri Axis,2025-05-26 19:01:55,FREIGHT_LOGISTICS_SCAN,NEWLY_EMERGING,87,Historical association telemetry only; does not establish unlawful transit.
