snapshot_id,district_id,district_name,snapshot_timestamp,risk_indicator,velocity_ratio,confidence_score,coverage_status,trend_classification
RZ-HIST-00001,6,Tirunelveli,2026-03-28 18:00:55,WATCH,1,72,MODERATE,ACCELERATING_30D
RZ-HIST-00002,15,Tenkasi,2025-06-06 03:17:38,WATCH,2.3,68,LIMITED,DATA_COVERAGE_GAP
RZ-HIST-00003,2,Coimbatore,2026-07-20 02:11:19,HIGH PREVENTIVE ATTENTION,6,88,ADEQUATE,ACCELERATING_30D
RZ-HIST-00004,38,Tiruvannamalai,2026-05-08 16:27:36,WATCH,1.1,70,ADEQUATE,DECELERATING
RZ-HIST-00005,4,Salem,2026-05-14 03:59:12,INCREASING,2.4,82,ADEQUATE,BASELINE_NORMAL
RZ-HIST-00006,4,Salem,2025-08-10 22:19:29,INCREASING,2.4,82,ADEQUATE,BASELINE_NORMAL
RZ-HIST-00007,3,Madurai,2026-07-18 08:21:35,INCREASING,2.1,78,ADEQUATE,BASELINE_NORMAL
RZ-HIST-00008,22,Dharmapuri,2025-01-09 11:10:07,WATCH,1.4,66,MODERATE,DECELERATING
RZ-HIST-00009,6,Tirunelveli,2025-09-22 14:26:05,WATCH,1,72,MODERATE,BASELINE_NORMAL
RZ-HIST-00010,37,Tirupathur,2025-04-26 08:59:22,WATCH,1.2,67,MODERATE,DECELERATING
RZ-HIST-00011,37,Tirupathur,2024-12-27 19:12:33,WATCH,1.2,67,MODERATE,ACCELERATING_30D
RZ-HIST-00012,35,Mayiladuthurai,2025-03-16 15:56:18,LOW,0.6,58,LIMITED,DATA_COVERAGE_GAP
RZ-HIST-00013,23,Namakkal,2025-05-16 01:11:58,WATCH,0.9,68,MODERATE,ACCELERATING_30D
RZ-HIST-00014,8,Erode,2025-01-27 00:01:20,WATCH,1.2,75,ADEQUATE,DATA_COVERAGE_GAP
RZ-HIST-00015,4,Salem,2025-02-11 17:13:06,INCREASING,2.4,82,ADEQUATE,ACCELERATING_30D
RZ-HIST-00016,31,Virudhunagar,2024-11-11 19:48:22,WATCH,1,69,MODERATE,DECELERATING
RZ-HIST-00017,34,Nagapattinam,2026-08-15 20:03:41,WATCH,1.2,68,MODERATE,ACCELERATING_30D
RZ-HIST-00018,21,Kallakurichi,2025-10-28 03:59:38,LOW,0.6,58,LIMITED,DECELERATING
RZ-HIST-00019,16,Kancheepuram,2025-11-02 16:07:46,WATCH,1,72,ADEQUATE,ACCELERATING_30D
RZ-HIST-00020,9,Vellore,2025-05-02 07:43:08,INCREASING,2.2,76,ADEQUATE,BASELINE_NORMAL
RZ-HIST-00021,34,Nagapattinam,2025-02-21 00:47:05,WATCH,1.2,68,MODERATE,BASELINE_NORMAL
RZ-HIST-00022,18,Tiruvallur,2025-07-08 18:04:54,INCREASING,2.3,80,ADEQUATE,BASELINE_NORMAL
RZ-HIST-00023,25,Karur,2025-09-26 20:08:41,LOW,0.7,60,MODERATE,BASELINE_NORMAL
RZ-HIST-00024,23,Namakkal,2025-01-28 17:05:27,WATCH,0.9,68,MODERATE,DATA_COVERAGE_GAP
RZ-HIST-00025,28,Pudukkottai,2026-01-18 12:14:42,LOW,0.8,61,MODERATE,BASELINE_NORMAL
RZ-HIST-00026,30,Ramanathapuram,2025-08-05 05:13:35,WATCH,1.5,71,MODERATE,DATA_COVERAGE_GAP
RZ-HIST-00027,24,Nilgiris,2025-05-15 11:43:03,WATCH,1.8,74,MODERATE,ACCELERATING_30D
RZ-HIST-00028,19,Cuddalore,2026-04-05 22:34:02,LOW,0.8,62,MODERATE,ACCELERATING_30D
RZ-HIST-00029,22,Dharmapuri,2026-03-28 06:19:23,WATCH,1.4,66,MODERATE,ACCELERATING_30D
RZ-HIST-00030,29,Sivaganga,2025-01-29 18:09:22,LOW,0.6,59,LIMITED,ACCELERATING_30D
RZ-HIST-00031,28,Pudukkottai,2025-03-17 19:06:35,LOW,0.8,61,MODERATE,DATA_COVERAGE_GAP
RZ-HIST-00032,18,Tiruvallur,2025-03-10 03:42:36,INCREASING,2.3,80,ADEQUATE,BASELINE_NORMAL
RZ-HIST-00033,14,Kanniyakumari,2026-02-25 08:51:08,WATCH,1.1,70,MODERATE,BASELINE_NORMAL
RZ-HIST-00034,21,Kallakurichi,2025-05-30 07:24:22,LOW,0.6,58,LIMITED,DATA_COVERAGE_GAP
RZ-HIST-00035,17,Chengalpattu,2026-04-20 11:34:25,INCREASING,2.1,78,ADEQUATE,DECELERATING
RZ-HIST-00036,16,Kancheepuram,2025-04-22 10:47:40,WATCH,1,72,ADEQUATE,DATA_COVERAGE_GAP
RZ-HIST-00037,16,Kancheepuram,2025-08-26 00:11:07,WATCH,1,72,ADEQUATE,BASELINE_NORMAL
RZ-HIST-00038,34,Nagapattinam,2026-05-11 20:46:01,WATCH,1.2,68,MODERATE,DATA_COVERAGE_GAP
RZ-HIST-00039,37,Tirupathur,2024-10-03 17:07:46,WATCH,1.2,67,MODERATE,ACCELERATING_30D
