event_id,district_id,district_name,timestamp,lifecycle_state,transition_reason,confidence_score
EMG-EVT-00001,21,Kallakurichi,2025-03-30 21:32:34,NEW_SIGNAL,ANOMALY_CLEARED,90
EMG-EVT-00002,33,Thiruvarur,2026-03-05 00:22:12,CORROBORATED,CLUSTER_FORMATION_48H,71
EMG-EVT-00003,34,Nagapattinam,2025-03-06 12:33:09,NEW_SIGNAL,CLUSTER_FORMATION_48H,76
EMG-EVT-00004,37,Tirupathur,2025-05-30 03:21:32,CORROBORATED,FIRST_TIME_REPORT,77
EMG-EVT-00005,4,Salem,2026-03-25 05:51:17,UNVERIFIED,ANOMALY_CLEARED,88
EMG-EVT-00006,31,Virudhunagar,2024-09-28 22:36:49,UNVERIFIED,CLUSTER_FORMATION_48H,63
EMG-EVT-00007,5,Tiruchirappalli,2025-12-31 17:41:03,PERSISTENT,CLUSTER_FORMATION_48H,87
EMG-EVT-00008,5,Tiruchirappalli,2024-10-31 18:11:29,NEW_SIGNAL,FIRST_TIME_REPORT,69
EMG-EVT-00009,25,Karur,2025-05-24 01:00:13,CORROBORATED,CLUSTER_FORMATION_48H,86
EMG-EVT-00010,7,Tiruppur,2026-05-04 15:57:42,PERSISTENT,MULTI_SOURCE_CONVERGENCE,89
EMG-EVT-00011,1,Chennai,2026-07-03 16:28:50,UNVERIFIED,MULTI_SOURCE_CONVERGENCE,91
EMG-EVT-00012,17,Chengalpattu,2024-12-15 02:48:35,UNVERIFIED,FIRST_TIME_REPORT,63
EMG-EVT-00013,37,Tirupathur,2026-06-03 06:58:20,DISMISSED,MULTI_SOURCE_CONVERGENCE,91
EMG-EVT-00014,10,Krishnagiri,2025-09-07 16:06:56,EMERGING,ANOMALY_CLEARED,82
EMG-EVT-00015,1,Chennai,2026-01-06 09:29:58,UNVERIFIED,MULTI_SOURCE_CONVERGENCE,78
EMG-EVT-00016,34,Nagapattinam,2026-07-25 05:20:30,PERSISTENT,CLUSTER_FORMATION_48H,83
EMG-EVT-00017,4,Salem,2025-07-03 02:50:51,UNVERIFIED,CLUSTER_FORMATION_48H,90
