forecast_id,district_id,district_name,generated_at,target_horizon,forecast_risk_level,forecast_confidence,primary_contributing_factor,model_version,safeguard_disclaimer
FC-HIST-00001,1,Chennai,2024-11-07 09:53:20,90_DAY_PREVENTIVE_ATTENTION,HIGH PREVENTIVE ATTENTION,90,INTERSTATE_FREIGHT_DISCREPANCY,NARVEX_TEMPORAL_BAYES_V2.1,Preventive attention priority indicator only; not criminal proof.
FC-HIST-00002,23,Namakkal,2025-11-07 02:22:52,90_DAY_PREVENTIVE_ATTENTION,HIGH PREVENTIVE ATTENTION,91,HIGHWAY_CHECKPOST_ACCELERATION,NARVEX_TEMPORAL_BAYES_V2.1,Preventive attention priority indicator only; not criminal proof.
FC-HIST-00003,20,Viluppuram,2025-01-25 16:46:24,30_DAY_PREVENTIVE_ATTENTION,STABLE,81,HIGHWAY_CHECKPOST_ACCELERATION,NARVEX_TEMPORAL_BAYES_V2.1,Preventive attention priority indicator only; not criminal proof.
FC-HIST-00004,3,Madurai,2025-10-05 11:38:42,90_DAY_PREVENTIVE_ATTENTION,STABLE,71,CAMPUS_SECTOR_MICRO_CLUSTER,NARVEX_TEMPORAL_BAYES_V2.1,Preventive attention priority indicator only; not criminal proof.
FC-HIST-00005,34,Nagapattinam,2026-04-29 12:48:32,90_DAY_PREVENTIVE_ATTENTION,STABLE,83,INTERSTATE_FREIGHT_DISCREPANCY,NARVEX_TEMPORAL_BAYES_V2.1,Preventive attention priority indicator only; not criminal proof.
FC-HIST-00006,8,Erode,2026-08-11 17:47:38,30_DAY_PREVENTIVE_ATTENTION,INCREASING,90,CAMPUS_SECTOR_MICRO_CLUSTER,NARVEX_TEMPORAL_BAYES_V2.1,Preventive attention priority indicator only; not criminal proof.
FC-HIST-00007,37,Tirupathur,2024-11-11 02:02:24,90_DAY_PREVENTIVE_ATTENTION,INCREASING,85,CAMPUS_SECTOR_MICRO_CLUSTER,NARVEX_TEMPORAL_BAYES_V2.1,Preventive attention priority indicator only; not criminal proof.
FC-HIST-00008,37,Tirupathur,2024-12-13 14:50:48,30_DAY_PREVENTIVE_ATTENTION,HIGH PREVENTIVE ATTENTION,75,INTERSTATE_FREIGHT_DISCREPANCY,NARVEX_TEMPORAL_BAYES_V2.1,Preventive attention priority indicator only; not criminal proof.
FC-HIST-00009,27,Perambalur,2026-05-02 01:40:10,30_DAY_PREVENTIVE_ATTENTION,WATCH,75,INTERSTATE_FREIGHT_DISCREPANCY,NARVEX_TEMPORAL_BAYES_V2.1,Preventive attention priority indicator only; not criminal proof.
FC-HIST-00010,35,Mayiladuthurai,2025-07-05 10:43:19,90_DAY_PREVENTIVE_ATTENTION,WATCH,73,CAMPUS_SECTOR_MICRO_CLUSTER,NARVEX_TEMPORAL_BAYES_V2.1,Preventive attention priority indicator only; not criminal proof.
FC-HIST-00011,37,Tirupathur,2025-12-23 13:33:53,90_DAY_PREVENTIVE_ATTENTION,HIGH PREVENTIVE ATTENTION,76,INTERSTATE_FREIGHT_DISCREPANCY,NARVEX_TEMPORAL_BAYES_V2.1,Preventive attention priority indicator only; not criminal proof.
