alert_id,district_id,district_name,created_at,alert_type,priority_level,status,trigger_summary,confidence_score
ALT-2026-00001,30,Ramanathapuram,2025-01-04 03:44:35,HIGH_RISK_LOW_CONFIDENCE,CRITICAL,ASSIGNED_FOR_TRIAGE,Statistically significant pattern change observed in Ramanathapuram jurisdiction.,65
ALT-2026-00002,25,Karur,2026-07-09 03:51:21,NEW_SIGNAL,MEDIUM,VERIFIED_ACTIONED,Statistically significant pattern change observed in Karur jurisdiction.,94
ALT-2026-00003,38,Tiruvannamalai,2026-08-04 21:30:39,EMERGING_ZONE,MEDIUM,RESOLVED,Statistically significant pattern change observed in Tiruvannamalai jurisdiction.,80
ALT-2026-00004,7,Tiruppur,2025-04-14 02:28:12,CORRIDOR_SURGE,HIGH,VERIFIED_ACTIONED,Statistically significant pattern change observed in Tiruppur jurisdiction.,81
ALT-2026-00005,4,Salem,2026-08-04 07:22:24,RAPID_INCREASE,CRITICAL,VERIFIED_ACTIONED,Statistically significant pattern change observed in Salem jurisdiction.,92
ALT-2026-00006,5,Tiruchirappalli,2024-10-06 10:30:04,HIGH_RISK_LOW_CONFIDENCE,HIGH,RESOLVED,Statistically significant pattern change observed in Tiruchirappalli jurisdiction.,93
ALT-2026-00007,14,Kanniyakumari,2025-01-09 07:49:20,HIGH_RISK_LOW_CONFIDENCE,ADVISORY,VERIFIED_ACTIONED,Statistically significant pattern change observed in Kanniyakumari jurisdiction.,65
ALT-2026-00008,23,Namakkal,2026-01-03 17:34:21,CORRIDOR_SURGE,CRITICAL,VERIFIED_ACTIONED,Statistically significant pattern change observed in Namakkal jurisdiction.,72
ALT-2026-00009,38,Tiruvannamalai,2024-09-20 10:40:34,CORRIDOR_SURGE,ADVISORY,ASSIGNED_FOR_TRIAGE,Statistically significant pattern change observed in Tiruvannamalai jurisdiction.,84
ALT-2026-00010,28,Pudukkottai,2025-05-29 00:23:32,NEW_SIGNAL,ADVISORY,RESOLVED,Statistically significant pattern change observed in Pudukkottai jurisdiction.,80
ALT-2026-00011,27,Perambalur,2025-07-07 19:19:22,NEW_SIGNAL,HIGH,VERIFIED_ACTIONED,Statistically significant pattern change observed in Perambalur jurisdiction.,88
ALT-2026-00012,13,Thoothukudi,2026-03-10 05:14:04,RAPID_INCREASE,HIGH,ASSIGNED_FOR_TRIAGE,Statistically significant pattern change observed in Thoothukudi jurisdiction.,84
