ticket_id,associated_alert_id,district_id,district_name,assigned_officer_id,created_at,action_type,ticket_status,priority
TCK-2026-00001,ALT-2026-00426,28,Pudukkottai,OFFICER-TN-166,2025-09-06 16:44:59,IMMEDIATE_PATROL_DISPATCH,CLOSED,HIGH
TCK-2026-00002,ALT-2026-00450,2,Coimbatore,OFFICER-TN-146,2026-03-03 20:58:48,INTER_AGENCY_COORDINATION,OPEN,HIGH
TCK-2026-00003,ALT-2026-00859,38,Tiruvannamalai,OFFICER-TN-138,2026-04-15 08:55:02,CHECKPOST_ENHANCED_SURVEILLANCE,IN_PROGRESS,MEDIUM
TCK-2026-00004,ALT-2026-00789,6,Tirunelveli,OFFICER-TN-173,2026-06-26 19:58:07,INTER_AGENCY_COORDINATION,ACTION_COMPLETED,HIGH
TCK-2026-00005,ALT-2026-00118,13,Thoothukudi,OFFICER-TN-195,2025-12-11 16:15:44,IMMEDIATE_PATROL_DISPATCH,CLOSED,HIGH
TCK-2026-00006,ALT-2026-00453,11,Dindigul,OFFICER-TN-180,2026-01-12 19:21:28,CHECKPOST_ENHANCED_SURVEILLANCE,OPEN,MEDIUM
TCK-2026-00007,ALT-2026-00207,16,Kancheepuram,OFFICER-TN-148,2025-12-05 10:19:14,HUMAN_INTELLIGENCE_INSPECTION,IN_PROGRESS,MEDIUM
TCK-2026-00008,ALT-2026-00646,8,Erode,OFFICER-TN-197,2025-09-01 12:04:10,INTER_AGENCY_COORDINATION,CLOSED,LOW
TCK-2026-00009,ALT-2026-00305,3,Madurai,OFFICER-TN-182,2025-06-17 03:20:13,HUMAN_INTELLIGENCE_INSPECTION,ACTION_COMPLETED,HIGH
TCK-2026-00010,ALT-2026-00310,23,Namakkal,OFFICER-TN-124,2025-12-16 06:44:40,CHECKPOST_ENHANCED_SURVEILLANCE,ESCALATED,HIGH
TCK-2026-00011,ALT-2026-00286,28,Pudukkottai,OFFICER-TN-191,2026-02-08 12:27:59,HUMAN_INTELLIGENCE_INSPECTION,CLOSED,HIGH
TCK-2026-00012,ALT-2026-00419,21,Kallakurichi,OFFICER-TN-112,2025-05-28 15:39:56,INTER_AGENCY_COORDINATION,ACTION_COMPLETED,LOW
TCK-2026-00013,ALT-2026-00553,37,Tirupathur,OFFICER-TN-147,2025-11-25 16:01:23,IMMEDIATE_PATROL_DISPATCH,ACTION_COMPLETED,HIGH
TCK-2026-00014,ALT-2026-00697,34,Nagapattinam,OFFICER-TN-147,2025-02-06 12:59:33,INTER_AGENCY_COORDINATION,ACTION_COMPLETED,LOW
TCK-2026-00015,ALT-2026-00565,23,Namakkal,OFFICER-TN-151,2025-11-06 10:36:20,HUMAN_INTELLIGENCE_INSPECTION,ACTION_COMPLETED,LOW
TCK-2026-00016,ALT-2026-00012,33,Thiruvarur,OFFICER-TN-119,2025-07-02 17:33:16,HUMAN_INTELLIGENCE_INSPECTION,ACTION_COMPLETED,LOW
TCK-2026-00017,ALT-2026-00818,14,Kanniyakumari,OFFICER-TN-133,2025-12-07 02:20:27,HUMAN_INTELLIGENCE_INSPECTION,IN_PROGRESS,LOW
TCK-2026-00018,ALT-2026-00853,2,Coimbatore,OFFICER-TN-113,2025-05-08 13:35:52,INTER_AGENCY_COORDINATION,IN_PROGRESS,HIGH
TCK-2026-00019,ALT-2026-00962,37,Tirupathur,OFFICER-TN-175,2025-06-10 15:02:08,HUMAN_INTELLIGENCE_INSPECTION,CLOSED,MEDIUM
TCK-2026-00020,ALT-2026-01043,14,Kanniyakumari,OFFICER-TN-194,2025-07-03 17:52:49,CHECKPOST_ENHANCED_SURVEILLANCE,ESCALATED,LOW
TCK-2026-00021,ALT-2026-00792,20,Viluppuram,OFFICER-TN-161,2025-10-11 12:25:11,HUMAN_INTELLIGENCE_INSPECTION,CLOSED,MEDIUM
TCK-2026-00022,ALT-2026-00392,22,Dharmapuri,OFFICER-TN-167,2026-03-26 22:10:35,IMMEDIATE_PATROL_DISPATCH,ACTION_COMPLETED,MEDIUM
TCK-2026-00023,ALT-2026-00050,27,Perambalur,OFFICER-TN-188,2026-08-01 22:52:52,HUMAN_INTELLIGENCE_INSPECTION,CLOSED,LOW
TCK-2026-00024,ALT-2026-00305,25,Karur,OFFICER-TN-191,2025-03-20 12:01:37,CHECKPOST_ENHANCED_SURVEILLANCE,ACTION_COMPLETED,HIGH
TCK-2026-00025,ALT-2026-00952,27,Perambalur,OFFICER-TN-126,2025-08-04 03:10:49,HUMAN_INTELLIGENCE_INSPECTION,ESCALATED,HIGH
TCK-2026-00026,ALT-2026-00893,3,Madurai,OFFICER-TN-105,2025-01-12 01:28:26,HUMAN_INTELLIGENCE_INSPECTION,ACTION_COMPLETED,MEDIUM
TCK-2026-00027,ALT-2026-00056,12,Thanjavur,OFFICER-TN-167,2026-08-02 15:35:02,INTER_AGENCY_COORDINATION,ACTION_COMPLETED,LOW
TCK-2026-00028,ALT-2026-00708,25,Karur,OFFICER-TN-131,2025-04-02 00:33:54,INTER_AGENCY_COORDINATION,ACTION_COMPLETED,MEDIUM
TCK-2026-00029,ALT-2026-01012,38,Tiruvannamalai,OFFICER-TN-186,2025-08-18 02:26:10,HUMAN_INTELLIGENCE_INSPECTION,ESCALATED,HIGH
TCK-2026-00030,ALT-2026-00047,22,Dharmapuri,OFFICER-TN-195,2025-12-25 13:34:31,CHECKPOST_ENHANCED_SURVEILLANCE,OPEN,HIGH
TCK-2026-00031,ALT-2026-00436,14,Kanniyakumari,OFFICER-TN-126,2026-04-19 10:23:35,HUMAN_INTELLIGENCE_INSPECTION,IN_PROGRESS,HIGH
TCK-2026-00032,ALT-2026-00446,27,Perambalur,OFFICER-TN-125,2025-04-12 05:55:09,CHECKPOST_ENHANCED_SURVEILLANCE,OPEN,MEDIUM
TCK-2026-00033,ALT-2026-00519,1,Chennai,OFFICER-TN-117,2025-07-21 10:22:00,INTER_AGENCY_COORDINATION,IN_PROGRESS,MEDIUM
TCK-2026-00034,ALT-2026-00869,20,Viluppuram,OFFICER-TN-162,2025-10-26 21:57:10,INTER_AGENCY_COORDINATION,OPEN,LOW
