outcome_id,ticket_id,resolved_at,operational_outcome,feedback_to_intelligence_model,outcome_confidence
OUT-2026-00001,TCK-2026-00001,2025-05-10 06:16:50,UNSUBSTANTIATED_TIP,MODEL_PREDICTION_VERIFIED,82
OUT-2026-00002,TCK-2026-00002,2025-08-06 13:59:39,SEIZURE_EXECUTED,MODEL_PREDICTION_VERIFIED,91
OUT-2026-00003,TCK-2026-00003,2025-06-17 13:55:09,CIVIL_SUPPORT_REFERRED,MODEL_PREDICTION_VERIFIED,95
OUT-2026-00004,TCK-2026-00004,2026-08-08 01:23:07,SEIZURE_EXECUTED,NEW_CORRIDOR_DISCOVERED,88
OUT-2026-00005,TCK-2026-00005,2025-10-17 15:08:52,UNSUBSTANTIATED_TIP,NEW_CORRIDOR_DISCOVERED,79
OUT-2026-00006,TCK-2026-00006,2026-04-30 03:28:25,PREVENTIVE_DETERRENCE_ACHIEVED,NEW_CORRIDOR_DISCOVERED,81
OUT-2026-00007,TCK-2026-00007,2025-04-22 07:59:49,SEIZURE_EXECUTED,MODEL_PREDICTION_VERIFIED,95
OUT-2026-00008,TCK-2026-00008,2025-10-13 05:06:05,CIVIL_SUPPORT_REFERRED,NEW_CORRIDOR_DISCOVERED,83
OUT-2026-00009,TCK-2026-00009,2025-12-08 00:25:53,SEIZURE_EXECUTED,MODEL_PREDICTION_VERIFIED,91
OUT-2026-00010,TCK-2026-00010,2026-07-30 05:47:44,PREVENTIVE_DETERRENCE_ACHIEVED,NEW_CORRIDOR_DISCOVERED,79
OUT-2026-00011,TCK-2026-00011,2026-03-19 11:36:34,CIVIL_SUPPORT_REFERRED,FALSE_ALARM_REPORTED,75
OUT-2026-00012,TCK-2026-00012,2026-02-17 21:17:16,UNSUBSTANTIATED_TIP,FALSE_ALARM_REPORTED,83
OUT-2026-00013,TCK-2026-00013,2026-08-09 06:34:25,UNSUBSTANTIATED_TIP,MODEL_PREDICTION_VERIFIED,99
OUT-2026-00014,TCK-2026-00014,2025-06-03 11:44:56,UNSUBSTANTIATED_TIP,FALSE_ALARM_REPORTED,83
OUT-2026-00015,TCK-2026-00015,2025-07-26 05:59:35,CIVIL_SUPPORT_REFERRED,MODEL_PREDICTION_VERIFIED,80
OUT-2026-00016,TCK-2026-00016,2026-01-16 14:30:30,SEIZURE_EXECUTED,MODEL_PREDICTION_VERIFIED,82
OUT-2026-00017,TCK-2026-00017,2026-05-22 09:38:08,PREVENTIVE_DETERRENCE_ACHIEVED,NEW_CORRIDOR_DISCOVERED,92
OUT-2026-00018,TCK-2026-00018,2025-06-23 10:40:43,SEIZURE_EXECUTED,FALSE_ALARM_REPORTED,93
OUT-2026-00019,TCK-2026-00019,2026-03-08 13:05:35,PREVENTIVE_DETERRENCE_ACHIEVED,MODEL_PREDICTION_VERIFIED,82
OUT-2026-00020,TCK-2026-00020,2025-07-19 23:21:37,SEIZURE_EXECUTED,FALSE_ALARM_REPORTED,76
OUT-2026-00021,TCK-2026-00021,2026-07-02 21:30:07,CIVIL_SUPPORT_REFERRED,MODEL_PREDICTION_VERIFIED,81
OUT-2026-00022,TCK-2026-00022,2025-09-30 22:05:30,PREVENTIVE_DETERRENCE_ACHIEVED,MODEL_PREDICTION_VERIFIED,97
OUT-2026-00023,TCK-2026-00023,2026-02-25 00:16:43,UNSUBSTANTIATED_TIP,NEW_CORRIDOR_DISCOVERED,83
OUT-2026-00024,TCK-2026-00024,2025-05-14 03:45:55,PREVENTIVE_DETERRENCE_ACHIEVED,FALSE_ALARM_REPORTED,91
OUT-2026-00025,TCK-2026-00025,2025-05-22 06:25:35,SEIZURE_EXECUTED,FALSE_ALARM_REPORTED,94
OUT-2026-00026,TCK-2026-00026,2025-07-04 21:01:11,PREVENTIVE_DETERRENCE_ACHIEVED,NEW_CORRIDOR_DISCOVERED,89
OUT-2026-00027,TCK-2026-00027,2025-11-08 00:49:56,UNSUBSTANTIATED_TIP,FALSE_ALARM_REPORTED,82
OUT-2026-00028,TCK-2026-00028,2026-06-20 17:51:03,UNSUBSTANTIATED_TIP,FALSE_ALARM_REPORTED,81
OUT-2026-00029,TCK-2026-00029,2026-03-02 21:44:50,SEIZURE_EXECUTED,NEW_CORRIDOR_DISCOVERED,86
OUT-2026-00030,TCK-2026-00030,2025-10-10 21:10:40,UNSUBSTANTIATED_TIP,NEW_CORRIDOR_DISCOVERED,85
OUT-2026-00031,TCK-2026-00031,2025-04-11 13:55:38,SEIZURE_EXECUTED,MODEL_PREDICTION_VERIFIED,92
OUT-2026-00032,TCK-2026-00032,2026-03-30 19:24:26,UNSUBSTANTIATED_TIP,MODEL_PREDICTION_VERIFIED,85
OUT-2026-00033,TCK-2026-00033,2025-04-20 21:17:26,CIVIL_SUPPORT_REFERRED,FALSE_ALARM_REPORTED,86
OUT-2026-00034,TCK-2026-00034,2025-06-28 01:18:10,UNSUBSTANTIATED_TIP,FALSE_ALARM_REPORTED,82
OUT-2026-00035,TCK-2026-00035,2025-12-13 11:42:45,SEIZURE_EXECUTED,FALSE_ALARM_REPORTED,93
OUT-2026-00036,TCK-2026-00036,2025-05-03 18:29:33,PREVENTIVE_DETERRENCE_ACHIEVED,NEW_CORRIDOR_DISCOVERED,77
OUT-2026-00037,TCK-2026-00037,2026-06-30 07:50:32,UNSUBSTANTIATED_TIP,FALSE_ALARM_REPORTED,89
OUT-2026-00038,TCK-2026-00038,2026-07-10 20:56:54,CIVIL_SUPPORT_REFERRED,NEW_CORRIDOR_DISCOVERED,81
OUT-2026-00039,TCK-2026-00039,2026-08-03 12:38:48,SEIZURE_EXECUTED,NEW_CORRIDOR_DISCOVERED,98
OUT-2026-00040,TCK-2026-00040,2026-01-20 03:36:10,PREVENTIVE_DETERRENCE_ACHIEVED,NEW_CORRIDOR_DISCOVERED,76
OUT-2026-00041,TCK-2026-00041,2025-11-08 16:36:34,PREVENTIVE_DETERRENCE_ACHIEVED,FALSE_ALARM_REPORTED,93
OUT-2026-00042,TCK-2026-00042,2026-07-18 09:31:02,PREVENTIVE_DETERRENCE_ACHIEVED,MODEL_PREDICTION_VERIFIED,89
OUT-2026-00043,TCK-2026-00043,2025-10-21 15:15:43,CIVIL_SUPPORT_REFERRED,FALSE_ALARM_REPORTED,93
OUT-2026-00044,TCK-2026-00044,2026-03-08 23:13:51,PREVENTIVE_DETERRENCE_ACHIEVED,NEW_CORRIDOR_DISCOVERED,93
