provenance_id,target_record_id,source_origin_dataset,ingested_at,transformation_stage,verification_status,sha256_audit_hash
PRV-000001,SIG-TN-00001,HEALTH_STAT,2026-03-04 20:54:37,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,4e1665bac74657adc0a01c9e276c1061cf34bf2d8671a0934ae021bb6ac50696
PRV-000002,SIG-TN-00002,HEALTH_STAT,2026-05-20 23:41:24,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,7509cf992c6d7f79fd3bf10aad2047c583f84a78aefe15e76dde2a83d858ef17
PRV-000003,SIG-TN-00003,CITIZEN_FEED,2025-11-12 14:42:18,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,6d4f30c3a85d81ea588d60aa271290b2d2209cfedeb5a3f8e63b8f792a7a226e
PRV-000004,SIG-TN-00004,CITIZEN_FEED,2024-09-20 11:45:20,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,e5deca3ea28a402838addcb86e8206d43f908b37588af207cd84fa2fc6868f3b
PRV-000005,SIG-TN-00005,HEALTH_STAT,2025-03-07 09:21:59,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,5d5ced0c80bf4eec125301875b9af94d9c0a0925737a98e0c99c993729fccf79
PRV-000006,SIG-TN-00006,POLICE_LEDGER,2025-02-13 07:46:46,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,39be253bc3e08f930bcd3f19855498eec68df12b8b6b9d3b719f3964fc552868
PRV-000007,SIG-TN-00007,HEALTH_STAT,2024-10-29 20:25:58,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,a2dacca72c865d9f3d91c4c9ec72f1bec839381a10d561a99f1b37f2b658c9a5
PRV-000008,SIG-TN-00008,POLICE_LEDGER,2025-02-26 17:14:38,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,51d7005602dd40725f727abf005fe23ea0d41c06055b5270ccf93865b9718c6d
PRV-000009,SIG-TN-00009,POLICE_LEDGER,2025-03-09 18:29:07,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,2925148f33fdbecdd440d9eb31b654fdcec96950e8a2f1915a3fa757c394e932
PRV-000010,SIG-TN-00010,CHECKPOST_OCR,2025-06-21 07:40:00,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,90c907f72e710ea5fdc32442ce56ebc7be4120a7e8fc5f27e9af306f12a8c498
PRV-000011,SIG-TN-00011,HEALTH_STAT,2026-06-29 19:06:03,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,14f9e4a01866bc51b91e4fb6b0e37c609c8c38c12bed8b44055847a92d84ede5
PRV-000012,SIG-TN-00012,CITIZEN_FEED,2026-02-06 04:21:05,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,77d967bd6bf802b6c8a3a4151017c62b5fa494c5c36feeb0990c24794d0842fe
PRV-000013,SIG-TN-00013,CITIZEN_FEED,2026-02-04 20:40:46,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,24e1fa38a0568a1288e0747c34c0d5e3b54db2a1706e6a042b31a442e557cfa1
PRV-000014,SIG-TN-00014,POLICE_LEDGER,2026-04-10 22:39:41,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,44a36081680c9c5157b7de805ef80bc0b3ebff81449d8f2ead43e6d5ebbbb250
PRV-000015,SIG-TN-00015,CHECKPOST_OCR,2025-05-02 20:53:22,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,1ba0a090dc01e3fc1ef8ae58da1024220d96e8612311e3fb7cf6f7736ebe91fc
PRV-000016,SIG-TN-00016,POLICE_LEDGER,2026-03-23 12:36:41,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,cc84fd33bb25d83f124fe493c8bec31bab839dc286c830ba4638ae4edbd82f6e
PRV-000017,SIG-TN-00017,CITIZEN_FEED,2024-11-12 20:39:39,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,3a01ca9d8b370f38b3736e856ddd0e364a31be607f03b8af7680c23177584942
PRV-000018,SIG-TN-00018,CHECKPOST_OCR,2024-12-15 22:22:24,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,cb052bb7c79339b95b3c5d92f72e0d4520836a72670bd89c5f4d8c95d47fe66a
PRV-000019,SIG-TN-00019,CHECKPOST_OCR,2026-05-18 01:32:17,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,6904c237dee618ec937b22faba420571203b08613be5ad188444bd0e1fd2beca
PRV-000020,SIG-TN-00020,CHECKPOST_OCR,2026-05-20 17:18:48,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,34bf664a37ae59bf5800320081a3c93042ff6c6a17d5e1ca3dd5b4fcd2c89e50
PRV-000021,SIG-TN-00021,POLICE_LEDGER,2024-10-20 18:05:31,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,ac340f6f2a820cddc02ec98e17bf78452766215775a0ed3f74f2e67bfc8333dd
PRV-000022,SIG-TN-00022,POLICE_LEDGER,2025-03-25 22:31:45,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,3b6c36a565533dfb8e903af97ee739c4577e33fec4c35e85277242cc5dd4340f
PRV-000023,SIG-TN-00023,CHECKPOST_OCR,2025-09-02 19:56:29,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,69c3042af057e386a7b44a47b30652e604d4d1b91792cc550d7994c09ddabb67
PRV-000024,SIG-TN-00024,HEALTH_STAT,2026-02-12 09:29:05,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,a4fa9fdbc97a7ca8af3cbc2808863d587a963ed402342fa57b6e07c826e25f16
PRV-000025,SIG-TN-00025,HEALTH_STAT,2024-10-11 03:06:21,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,3cf1ed490eb8f1e9da36a0b6550492a1f861cba8773e71e7d01574f75faec2a2
PRV-000026,SIG-TN-00026,CHECKPOST_OCR,2026-01-31 06:13:22,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,513881c7450924734b83d7b2c8d2dd07e0f85b27637a2c2439d60ad328ae22a8
PRV-000027,SIG-TN-00027,POLICE_LEDGER,2025-10-08 14:03:49,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,7b3756cf0275a530b5f2fb5b32a02f626193bac746f65132bc32abe99a9e6a8c
PRV-000028,SIG-TN-00028,HEALTH_STAT,2024-12-20 08:13:13,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,2a5ccd41d7b8b6fdcd1bba6e553e9b4b03035ed5dce334a423781fd121cdb682
PRV-000029,SIG-TN-00029,CITIZEN_FEED,2025-07-04 09:47:17,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,ca8d2b29030fd5e432cc7fddb7a12aa4bbf76fa3a66691059af1c4d39b056b72
PRV-000030,SIG-TN-00030,CHECKPOST_OCR,2026-06-11 07:49:44,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,f60bae481aaa6f11e6d9d9378f13bf2fe40bca688c00e623ffbea858f836ff38
PRV-000031,SIG-TN-00031,HEALTH_STAT,2025-04-22 04:17:53,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,3860816b6fb0268d419d8a7e1f03fa4a2da5d1cc4822062e2971d2e67734367f
PRV-000032,SIG-TN-00032,CITIZEN_FEED,2025-06-01 09:01:11,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,d39da22739ef3a857ca9c2d8b3cd86f82302367dd63a2550dcdda025b61797d0
PRV-000033,SIG-TN-00033,CITIZEN_FEED,2026-03-05 17:29:16,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,d3386e352e6a498f99e1fb06df5fc26b7339726ee3b8cbdf91e9386cf4137028
PRV-000034,SIG-TN-00034,HEALTH_STAT,2025-12-10 19:37:58,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,30a268a7369dc7e0929420ddbf3b000c2a64c8be5a9ca0f036430590a2091fe5
PRV-000035,SIG-TN-00035,POLICE_LEDGER,2024-12-11 17:01:23,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,10cfb06b42790805eb18370489c4f6a87f0efa8b296da7efa61f793223d69083
PRV-000036,SIG-TN-00036,HEALTH_STAT,2025-01-26 00:20:00,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,deff361ee4af497be81afdf20b69867119390ed2643619bbd7fc78ae77ece36e
PRV-000037,SIG-TN-00037,HEALTH_STAT,2025-08-26 08:48:52,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,764b2b86973bdb4711821dae4a67651d2f8100a93fb0d6cf2303304a1475cfc6
PRV-000038,SIG-TN-00038,HEALTH_STAT,2025-05-09 01:12:55,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,581d9ca5a52e8c6945e64c0391735d4d45db03e1b11a12e18135d46fdc3b3d51
PRV-000039,SIG-TN-00039,CHECKPOST_OCR,2026-01-23 18:53:58,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,d3d3a1b5708a3987e103f969b72f3f42aa57aa5ae5e70f30796910091285aefe
PRV-000040,SIG-TN-00040,POLICE_LEDGER,2026-06-03 05:54:30,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,ee36f7b8cc781530c10955a81e954258a1006fe6d6cd515cd9f9eb1a759e75e1
