eval_id,district_id,district_name,evaluation_timestamp,precision_rate,recall_rate,f1_score,false_alarm_rate,concept_drift_status,model_version
EVAL-00001,16,Kancheepuram,2025-10-08 16:18:09,0.889,0.930,0.933,0.080,CALIBRATED,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00002,15,Tenkasi,2025-12-21 04:15:30,0.880,0.906,0.865,0.060,SLIGHT_DRIFT,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00003,13,Thoothukudi,2024-11-15 14:54:07,0.830,0.875,0.908,0.082,CALIBRATED,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00004,25,Karur,2025-02-11 03:52:55,0.917,0.876,0.813,0.054,CALIBRATED,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00005,32,Theni,2026-01-11 10:06:22,0.960,0.810,0.859,0.080,SLIGHT_DRIFT,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00006,7,Tiruppur,2025-01-09 10:04:10,0.935,0.857,0.846,0.075,OPTIMAL,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00007,11,Dindigul,2026-01-21 22:33:16,0.875,0.908,0.935,0.092,OPTIMAL,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00008,25,Karur,2026-02-26 00:57:48,0.921,0.883,0.837,0.052,OPTIMAL,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00009,31,Virudhunagar,2025-08-08 03:41:38,0.868,0.938,0.935,0.047,SLIGHT_DRIFT,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00010,21,Kallakurichi,2025-03-04 08:17:58,0.884,0.919,0.839,0.058,SLIGHT_DRIFT,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00011,6,Tirunelveli,2025-04-30 00:54:20,0.883,0.859,0.907,0.089,SLIGHT_DRIFT,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00012,2,Coimbatore,2025-09-10 20:15:33,0.901,0.825,0.906,0.047,SLIGHT_DRIFT,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00013,34,Nagapattinam,2026-01-07 04:47:08,0.888,0.932,0.845,0.072,CALIBRATED,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00014,1,Chennai,2024-10-14 05:00:11,0.875,0.886,0.946,0.057,CALIBRATED,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00015,4,Salem,2025-11-11 23:29:31,0.884,0.908,0.855,0.062,SLIGHT_DRIFT,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00016,8,Erode,2024-11-20 15:12:07,0.870,0.885,0.851,0.069,OPTIMAL,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00017,16,Kancheepuram,2026-02-20 01:08:17,0.869,0.834,0.835,0.051,SLIGHT_DRIFT,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00018,22,Dharmapuri,2025-10-20 04:07:01,0.941,0.843,0.899,0.052,CALIBRATED,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00019,1,Chennai,2024-11-10 21:20:35,0.895,0.855,0.894,0.041,OPTIMAL,NARVEX_TEMPORAL_BAYES_V2.1
